Date	Title	Authors	Text
2018-01-02 20:09:04+00:00	Cryptocurrency	[]	
2018-10-29 09:53:54+00:00	Bitcoin, Ethereum, XRP, and Crypto Market Outshines Global Stock Market Aiming for a Historic Reversal	['Achal Arya', 'Achal Is An Entrepreneur', 'A Product Designer With A Bachelors Degree In Computer Science. He Works In The Domain', 'Manages New Developments At Coingape. Follow Him On Twitter At']	"The global stock market is taking a downfall while experts share there is no positive catalyst for the market to go higher in future. Meanwhile, the crypto market is holding the fort as the top cryptos register greens and maintain stability.

Crypto Market Stable while Global Stock Market Seeing Red

The environment of the Crypto market is having gloomy days for some time now. There is almost no activity in the market despite the global share market taking a hit each passing day.

At the time of writing, Bitcoin (BTC) has been trading at $6,748 with 0.00 percent movement in the past 24 hours. The world’s leading cryptocurrency with a market cap of $112 billion is managing a low daily trading volume of $3.5 billion.

With a 0.12 percent rise, Ethereum (ETH) is trading at $204 billion while XRP, the third largest cryptocurrency is in the green by 0.18 percent at $0.4482.

Other cryptos in the green are Stellar (XLM) by 0.04 percent at $0.2299 while Monero (XMR) is up by 0.53 percent at $103 and Dash by 0.69 percent at $155. Bitcoin Cash (BCH), EOS, and Litecoin are rising by 0.34, 0.05 and 0.09 percent respectively.

Out of the top cryptos, Cardano (ADA) is in the red by 0.18% and Tron (TRX) is falling by 0.09 percent while IOTA (MIOTA) is down by 0.56 percent.

The highest gains are made of 13.11 percent by Nxt at $0.0672 and Polymath by 10.62 percent at $0.3259. A number of other cryptos are also up by 2 to 7 percent while the highest loss is of 7 percent.

This has total cryptocurrency market cap stuck at $209 billion in the past 24 hours.

Crypto market is unaffected by the ongoing fall in the global market, unlike the last time when cryptos lost significant value in tandem with the stock market.

Meanwhile, the global stock market is falling at a much higher speed than it lifted off. Chinese market seems to be doing the worst due to its slow economic growth and being in a trade war with the US.

Bloomberg quoted Michael O’Rourke, the chief market strategist at JonesTrading. “What’s the positive catalyst for the future to take this market higher to the next level? Right now, there isn’t one.”

After continuously gaining for approximately nine years, the stock market is taking a U-turn and looks like any factor even a small one can take it to the bottom. While cryptos are maintaining stability and keeping low volatility which has been characterized as a positive phenomenon is expected to have them become an attractive asset for the traditional investors

Mati Greenspan, senior analyst at eToro has been recently quoted as saying,

“The fact that the current stock market rout has not had any effect whatsoever (positive or negative) on the crypto assets is an extremely positive sign. This is a prime example of how cryptos are uncorrelated and it only serves to increase their use case as a powerful tool for asset management.”"
2018-06-10 23:00:59+00:00	Markets Update: Crypto Prices Take a Weekend Beating – Market Updates Bitcoin News	['Jamie Redman', 'Jamie Redman Is The News Lead At Bitcoin.Com News', 'A Financial Tech Journalist Living In Florida. Redman Has Been An Active Member Of The Cryptocurrency Community Since He Has A Passion For Bitcoin', 'Open-Source Code', 'Decentralized Applications. Since September', 'Redman Has Written More Than Articles For Bitcoin.Com News About The Disruptive Protocols Emerging Today.']	"Markets Update: Crypto Prices Take a Weekend Beating

Cryptocurrency markets are suffering from deep losses today, on June 10, 2018, as most digital assets are seeing 24-hour declines between 9 and 25 percent. The number one position, held by Bitcoin Core (BTC), dropped more than a $1,000 just a few hours ago, from $7,600 to $6,600, but prices have rebounded back to $6,787 per BTC. The fourth highest valued market, held by Bitcoin Cash (BCH), dropped around $225 in value after hovering around $1,150 for a while. The currency is now averaging $933 per BCH. It’s safe to say market participants are shaken and many are curious about why the market keeps sliding.

Also Read: CFTC Subpoenas Leading Exchanges for Trading Data

Crypto Markets Take a Jab to the Gut This Weekend

A dump took place today that hit markets below the belt, as most cryptocurrencies lost significant values. Last week, towards the beginning of the weekend, markets were pretty stable and consolidating tightly into a triangular formation. Then, on Saturday, the United States Commodity Futures Trading Commission (CFTC) and the U.S. Justice Department revealed they had subpoenaed four major exchanges while looking into their cryptocurrency price manipulation investigation. Just before that moment on June 9, just like last time when U.S. regulators initially announced the manipulation probe, markets slid about 1-hour before the announcement. Today’s drop was harder to put the blame on as it could have been an after effect from yesterday’s announcement, the fact that market volumes are extremely thin, or some blamed it on the small exchange from South Korea Coinrail being hacked this weekend for $40Mn worth of ICO tokens.

BTC Market Action

On Sunday, June 10, Bitcoin Core (BTC) markets are down 9.8 percent and over the past seven days, BTC markets are under by 11 percent. This means most of the losses have taken place this weekend as BTC volatility was fairly nonexistent at the beginning of the week. Right now BTC’s overall market capitalization is around $115Bn with a dominance level of around 38 percent. Trade volume is super weak and this is why a lot of traders are skeptical these days because 24-hour volumes today were around $4Bn, but since the last drop volumes jumped to $5.5Bn over the past hour. The top exchanges today swapping the most BTC are Bitfinex, Binance, Okex, Huobi, and GDAX. The Japanese yen is dominating BTC currency pairs big time commanding more than 60 percent of BTC trades at the time of publication. This is followed by the USD (19.2%) tether (USDT 13.5%), EUR (2.7%), and the KRW (2.2%). Of course, there was a significant drop in South Korean won-BTC pair action today.

BTC /USD Technical Indicators

Looking at the charts shows BTC bulls had mustered up some strength to push above the $6800 zone but the fight was a real struggle. 4-hour charts show the two Simple Moving Averages (SMA) have a good sized gap between them with the 200 SMA well above the 100 SMA trendline. This means bearish sentiment may continue during the short term and markets are very close to a triple bottom. After the last push the MACd is heading downwards and RSI levels are very low too (15.78) indicating oversold conditions. Daily Bollinger Bands (B-bands) are seeing a significant coil and buyers below the current vantage point are itching for lower prices. Looking at order books shows bears will see pit stops around $6,400 and the triple bottom $5,900 region. If bulls can heal right now, after that intense beating, then they need to overcome big walls around $7,300 and 7,800 to at least catch some fresh air from the onslaught.

BCH Market Action

After a few solid weeks of BTC being the dominant pair with Bitcoin Cash (BCH), today tether USDT has taken the lead at 31.77 percent. This is followed by BTC (31.5%), USD (21.9%), KRW (9.1%), and the EUR (1.9%). Bitcoin Cash has lost around 16.4 percent over the last 24-hours and 19 percent over the last seven days. This Sunday, the total market capitalization for BCH is around $15.9Bn with about $693Mn in 24-hour trade volume. The top trading platforms exchanging the most Bitcoin Cash today include Okex, Binance, Huobi, Bitfinex, and Lbank. The losses in BCH values have been very much correlated with BTC market tumbles but prices have still remained around 0.14 BTC per BCH.

BCH /USD Technical Indicators

Looking at BCH charts on Bitfinex shows similar indicators, as the two Simple Moving Averages have a decent gap like BTC with the 100 SMA below the long-term 200 SMA. Again, this indicates the path of least resistance will be towards the downside. RSI levels show oversold conditions (30) and the MACd is sliding southbound as well at the time of writing. Daily B-bands are also extremely tight, showing a massive consolidation period taking place. Looking at order books indicates that bears will have a hard fight until 910 and then another pit stop at $860. If things go lower than that, markets are going to look ugly all around. BCH bulls need to recharge and bust past $985 but buyers will also be deterred around $1,020, as sell orders are piling up around that region.

The Top Cryptocurrency Markets

Overall, the top cryptocurrencies are down, except for ‘stablecoins’ like tether and the various others allegedly pegged to the USD. The second largest market valuation today belongs to Ethereum (ETH) but its markets are down 13.9 percent. One ETH is trading for $517 and the currency is the most swapped coin on Shapeshift today, but traded for BTC. The third largest market, Ripple (XRP), is down 13.8 percent and one XRP is trading for $0.57 cents per token. Lastly, the fifth highest valued market commanded by EOS is down significantly at 21 percent this Sunday. At the moment, EOS is trading around $11.25 per coin and holds the fourth largest trade volume over the last 24-hours.

The Verdict: Skepticism and the Search for That Confounded Bottom

You can probably guess what our market verdict is today without reading the sub-title above, as things are looking bearish and everyone knows this fact. Because markets keep sliding, then recovering, then sliding downwards, even more, has caused enthusiasts and traders to be skeptical of any bullish signals. Most traders are looking curiously for ‘the bottom’ and when that time will be, so right now many are just playing musical chairs looking for the right positions.

Where do you see the price of BCH, BTC, and other coins headed from here? Let us know in the comments below.

Disclaimer: Price articles and markets updates are intended for informational purposes only and should not to be considered as trading advice. Neither Bitcoin.com nor the author is responsible for any losses or gains, as the ultimate decision to conduct a trade is made by the reader. Always remember that only those in possession of the private keys are in control of the “money.”

Images via Shutterstock, Trading View, and Satoshi Pulse.

Want to create your own secure cold storage paper wallet? Check our tools section."
2018-04-21 18:30:06+00:00	Bitcoin Nears $9,000 As Crypto Buy Orders Compose 92% of Market	['Sam Town', 'Chainwire', 'Samuel Wan', 'Andjela Radmilac', 'News Desk']	"For the first time since March 2017, buy orders now compose over 92% of market activity. Hot on the heels of a massive $120 billion recovery, the massive surge in buy orders heralds an impending bull market that could potentially exceed the monstrous late 2017 run up.

Data from TurtleBC demonstrates that cryptocurrency buy market percentage across a diverse range of coins including Bitcoin, Ethereum, Ripple, Dash, NEM, and money is currently at a massive 92.86%, greater than the December 2017 high of 88%.

Bitcoin Gains $1,000 in One Week

With so many buy orders placing pressure on the cryptocurrency market, a significant price shift is highly likely. Buy order presence isn’t the only indicator that hints toward a massive run up in the near future, however — with Bitcoin exhibiting a meteoric $1,000 jump over the last three days, investors are moving in quickly to capitalize on what is anticipated to be a return to the $10,000 BTC psychological barrier.

Cryptocurrency market observers are calling for a dramatic increase in Bitcoin values sooner rather than later. Notably, Fundstrat co-founder and head of research Thomas Lee has reiterated his frequent bullish predictions, forecasting a year-end target BTC value of $25,000.

In an interview with CNBC last week, Lee predicted a 225% increase from the $7,662 BTC value at the time of his statements:

“We still feel pretty confident that bitcoin is a great risk-reward and we think it could reach $25,000 by the end of the year … It’s overdue. Bitcoin was incredibly oversold”

While Lee is notorious within the cryptocurrency community for his consistently bullish position on Bitcoin, his prediction that selling pressure would ease subsequent to tax day in the US was correct.

Big Business Moves into Blockchain as Traditional Finance Remains Bearish

Early April has also seen a spate of institutional money — including major Wall Street players and financial juggernaut George Soros — enter the cryptocurrency market.

This significant flow of investment capital could contribute to market health as the blockchain industry matures.

While market sentiment is overwhelmingly positive, not all predictions are bullish. One of the most interesting predictions of the last month comes from Harvard economist Kenneth Rogoff, who stated in an interview with CNBC that Bitcoin is likely to trade at $100 per token by 2028 — disappointing news to John McAfee.

“I think Bitcoin will be worth a tiny fraction of what it is now if we’re headed out 10 years from now … I would see $100 as being a lot more likely than $100,000 ten years from now”

Rogoff, the former chief economist of the International Monetary Fund, appears unaware of the utility of BTC or the implications of Lightning Network implementation, stating that “if you take away the possibility of money laundering and tax evasion, its actual uses as a transaction vehicle are very small.”

The sheer level of capital that is currently being invested in the blockchain industry makes it highly unlikely that Bitcoin — the undisputed market cap king — will be falling from grace any time soon. Recent employment statistics demonstrate that blockchain-based job positions have doubled in the last three months as enterprise organizations prepare for the incoming blockchain revolution.

Blockchain is Here to Stay

As the oldest, most valuable, and most liquid crypto-asset, Bitcoin is considered the “gold standard” of the blockchain, and can be exchanged for virtually every other altcoin on the market.

There are now thousands of merchants that accept Bitcoin directly as payment, and with LocalBitcoin volume recently at an all time high, it’s never been easier to exchange BTC directly for fiat currency.

Bitcoin, altcoins, and blockchain technology is here to stay. Interestingly, the Delaware State Senate has recently passed an act that explicitly allows for the use of blockchains to maintain corporate share registries, making it highly likely that crypto-assets will replace traditional securities entirely.

With cryptocurrency buy order ratios reaching an all-time high and tax season finally over, the impending crypto bull run to end all bull runs isn’t just possible — it’s inevitable."
2018-04-24 23:30:01+00:00	‘All Hell Will Break Loose’: 1 in 5 Financial Firms Ready to Enter Crypto Market	['Adam James Lives In Budapest', 'Is The Managing Editor Of Bitcoinist.Com. He Digs Gibson Guitars That Sound Like Tyrannosauruses', 'Romantic', 'Victorian Poetry', 'Franco-Era Spanish Films', 'Lps', 'Chelsea Fc', 'Bob Dylan', 'Pilot', 'Black Coffee']	"How many financial firms are looking to get involved with cryptocurrency? Twenty percent, according to an industry poll conducted by Thomson Reuters — and that’s likely just the start.

The Herd is Approaching

A survey by Canadian multinational mass media and information firm Thomson Reuters found that 20 percent of its more than 400 clients are considering making a concerted push into the cryptocurrency market within the next half year.

Neill Penney, the co-head of trading at Thomson Reuters explained:

Cryptocurrency is still a relatively small part of the trading market, but this survey makes clear this niche segment is starting to enter the mainstream of the financial services industry. This is a major change from a year ago.

Indeed, even those in the financial world uninterested in the cryptocurrency market would be unwise to completely ignore its quick-profit potential. Bill Barhydt, the CEO of American Express-backed cryptocurrency startup Abra, told Business Insider last month:

I talk to hedge funds, high net worth individuals, even commodity speculators. They look at the volatility in the crypto markets and they see it as a huge opportunity. Once that happens, all hell will break loose.

Wall Street is Ready to Join the Party

Thomson Reuters’ results come after Goldman Sachs announced the hiring of former trader Justin Schmidt, who will head the multinational investment bank’s and financial services company’s digital asset markets in Goldman’s securities division.

Schmidt previously served as both a senior VP at Seven Eight Capital and portfolio manager at LMR Partners and has apparently been brought on by an increased interest in cryptocurrency from Goldman’s clients. Said Goldman Sach’s spokeswoman Tiffany Galvin-Cohen:

In response to client interest in various digital products, we are exploring how best to serve them in the space. At this point, we have not reached a conclusion on the scope of our digital asset offering.

The increased interest from Goldman’s clients coincides with a general increase in interest from Wall Street, at large — where many individuals were late to the party after last year’s epic bull run. Don’t expect them to miss the boat this time.

What do you think of the increased interest in Bitcoin and other cryptocurrencies from institutional investors? Do you think a tidal wave of trading is about to hit the market? Let us know in the comments below!

Images courtesy of iStockPhoto, AP"
2018-10-14 02:12:21+00:00	Cryptocurrency Market Update: A Lazy Sunday in Crypto Land	['Martin Is A Southeast Asia Based Info-Tech', 'Cyber Security', 'Cryptocurrency Analyst With Years Working In Web Technology']	"Crypto markets are horizontal today; Only Digitex Futures is pumping.

Cryptocurrency markets are still at the bottom following their mid-week dump. There has been no sign of a bounce back to previous levels as total market capitalization is still hovering just above $200 billion.

Bitcoin has remained on a flat line since its Thursday dump of $300. BTC fell to $6,300 and is currently trading just below that level, it has fallen 5% since the same time last weekend. Ethereum is also very depressed at the moment after falling back to $200 and remaining there for the past 3 days.

Altcoins are mostly in the red this morning, but movements are minimal. Looking at the top ten nothing is really moving more than a percent or so in either direction. Cardano has lost almost 2% on the day to fall back to $0.073. The rest are flat this Sunday during Asian trading.

The top twenty is showing similar lethargy at the moment with most cryptos shifting around a percent up or down on the day. Dash is showing the greatest gain which is just 1.7% bringing it to $161, while Tezos is falling back by a similar amount dropping it to $1.22.

The fomo induced pump of the day in the top one hundred is currently Digitex Futures which has surged 47% in the past 24 hours. These unnatural spikes usually happen when new altcoins increase in market cap but they often dump again just as quickly. Time will tell if DGTX can hold its gains. Aion has also done well since the dump, today it is up 18%. At the red end of the table is Noah Coin dumping all of its recent gains and falling back 26% on the day. MaidSafeCoin is also having a tough Sunday with an 11% slide.

Total crypto market capitalization has not moved over the past 24 hours and is still very low at $202 billion. Trade volume has dipped below $10 billion for the first time since the end of August and crypto markets look very dejected at the moment. Markets are back to the same level they were at this time last month which appears to be the bottom, unless another dump is imminent.

FOMO Moments is a section that takes a daily look at the top 20 altcoins during the current trading session and analyses the best performing ones, looking for trends and possible fundamentals."
2018-12-19 00:00:00+00:00	Are you a robot?	[]	"Why did this happen?

Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy."
2018-11-24 00:00:00+00:00	Bitcoin sinks below $4,000 as the crypto market takes another hefty beating – TechCrunch	['Lucas Matney']	"As we hang out with family and friends this holiday season, it’s interesting to look back on the Bitcoin mania that we endured one Thanksgiving ago. Aunts and uncles asking about internet money as you passed the mashed potatoes while trying to explain the concept of decentralization in a way that made it seem like you knew your stuff.

Well, as we near a year since many of the top tokens hit their all-time highs, we’ve seen the prices come crashing down as more manageable expectations of the crypto market have seemed to prevail. You probably didn’t have quite as many relatives picking your brain this year for crypto investment tips.

Today, we saw another hit to the market. All but eight of the top 100 cryptocurrency tokens are down for the 24-hour period, with most losses averaging around 13 or 14 percent.

Notably, Bitcoin has now fallen beneath the $4,000 threshold, a number it reached in August of last year as its trajectory pointed sharply upward. Ethereum is trading just over $111, while Litecoin has fallen below $30 — far cries from their former glory.

The cryptocurrency space is a volatile one, but the year-long downward trend has been consistent and unrelenting, leaving many to wonder where and when some of these top tokens will settle down."
2018-12-21 12:30:14+00:00	What the hell happened to crypto this year?	['About The Author', 'Cale Is A Brooklyn-Based Reporter. He Writes About Many Things.']	"It seems all too fitting that Facebook’s plans to launch a digital coin were leaked in the second-to-last week of a year that saw the tech giant’s reputation pummeled and cryptocurrencies crash and burn. It’s like grilling a shit sandwich over a dumpster fire.

advertisement

advertisement

Bitcoin–and the cryptocurrency industry as a whole–plunged this year, after a gravity-defying surge in recent years. The price of the digital coin hit nearly $20,000 late last year. And then in early 2018, it began to fall. Though it hit a few plateaus, the price has still tumbled; today it hovers at a little over $3,000. So what happened? And is there any hope for a recovery? To answer both, you have to look at quite a few factors. The bubble When bitcoin was rising last year, it seemed like a trend everyone from your grandmother to your barista was suddenly becoming hip to. Of course plenty of folks cautioned that it could be a bubble, but it’s always hard to realize such a thing when you’re in the midst of it. It’s free money, right? Why not get in on it? (Just don’t remortgage your house!)

advertisement

advertisement

All the signs, however, were there. Like previous bubbles, people were basing their belief in the cryptocurrency on their emotions, not any intrinsic value. Then there was the FOMO element, which only compounded things. Essentially, bitcoin became an international fever. Random companies were “pivoting to blockchain” for no apparent reason other than that it seemed like a way to create buzz. But when the bubble bursts, FOMO turns into fear of losing, which makes for an especially rapid plunge. Among those who called it, hedge fund manager Mark Dow wrote almost exactly a year ago about his decision to short bitcoin after future trading on it first began: But this time feels different. It feels like a bubble. The fever in the post-Thanksgiving moonshot ran hotter than we’d seen before. We also began to see a robust supply response. Bubbles are complex dynamics. What they all have in common, however, is they require emotion to truly go parabolic. Moreover, the less we understand the object of the bubble, the greater the scope for greed and FOMO to fill in the blanks. Dow, at the time, simply could not come up with a good reason for the crypto’s insane performance. The only logical explanation: It’s a bubble. His views were especially prescient. He told Bloomberg this month that he made a profit twice due to this canny call.

advertisement

Other early warning signs But to understand the dynamic that led to this year’s depressing year for crypto, we actually should start a few years before 2018. In bitcoin’s early days, Mt. Gox was the go-to service for handling transactions. Then, in 2014, it halted transactions and slowly copped to a crypto-hack to the tune of $473 million, the biggest hack of its kind at the time, and it gave many people pause. But it was still early enough for people to believe that the blockchain system was still getting all the technical kinks out. But the hacks didn’t stop. In 2016, the DAO–a blockchain organization that was based on Ethereum–lost what was worth $50 million at the time, due to a technical error someone seized upon. This, once again, sent shockwaves through the community–but also had the unfortunate impact of normalizing these types of hacks for some people. At the end of 2017 and beginning of 2018, more people–especially those in the mainstream finance world–were paying attention to bitcoin and cryptocurrency trading. And in early January 2018, the Japanese exchange Coincheck disclosed a hack worth a whopping $534 million. This happened right around the time that bitcoin slipped from its peak value, and it certainly seemed to accelerate its drop.

advertisement

According to Stephen Innes, the head of Asian trading for the foreign exchange Oanda, hacks were the first element to have a chilling effect on crypto. Hearing the amount of money that thieves were able to take, he says, “Consumers got very concerned that their money could go missing.” In the wake of both Coincheck’s hack–as well as a big one that hit the South Korean exchange Coinrail–governments in East Asia began to crack down. Over the course of a few months, China, Japan, and South Korea all announced different measures to better regulate crypto-trading. The world was watching to see if this new technology would hit the mainstream–and government crackdowns following gigantic hacks helped poison the public perception. Indeed, following its nearly $20,000 peak, bitcoin in early 2018 dropped to around $10,000 and hovered there for a while.

advertisement

Lack of institutional support Beyond the clampdown by some governments, what bitcoin really needed to achieve sustained success was overall mainstream acceptance. While some financial institutions announced projects exploring blockchain-based solutions, many others balked. JPMorgan CEO Jamie Dimon, for instance, made multiple comments throughout the year expressing his general antipathy for cryptocurrency. Dimon’s thoughts could most easily be summed with this quote: “I don’t really give a shit about bitcoin.” Warren Buffett also didn’t have kind words–calling it “probably rat poison squared”–which almost certainly sent a clear message to curious investors. When some of the most respected people on Wall Street make comments like that, it “takes a huge element of mainstream out of the market,” says Innes. Essentially, these heavy hitters were telling their minions that bitcoin wasn’t worth their time.

advertisement

Meanwhile, there has been plenty of speculation that bitcoin’s big rise may have been due to a pump-and-dump scheme. One theory that the U.S. Justice Department is reportedly looking into is that the digital coin Tether (which is supposedly pegged to the U.S. dollar to make for a less volatile cryptocurrency) was used to manipulate the bitcoin market and cause a large run-up in price. This theory stems from an academic paper, which cast Tether in a very damning light. And it also led many to believe that the initial bitcoin craze was manufactured and destined to bust. Another institutional hit for bitcoin–which probably had the most sustained effect–was the SEC’s refusal to approve a bitcoin exchange-traded fund (ETF). This would be a path for more mainstream people in finance to dabble with blockchain; it would allow investors to dip their toes in bitcoin without owning the actual asset. Not only that, but it would make bitcoin available on the most prominent financial markets. The U.S. Securities and Exchange Commission (SEC), however, has yet to allow such a fund to exist–mostly because it is unable to monitor crypto-transactions in order to avoid market manipulation. The inability to get SEC approval really held back bitcoin and cryptocurrencies in general. It sent the message, says Innes, “that there wasn’t underlying support from Wall Street.” Meanwhile, the price dropped from around $10,000 to $6,000.

advertisement

Internal battles But it wasn’t just outside pessimism that led to the slump, but infighting as well. Blockchains are decentralized, and democratic systems require buy-in from participants in order to keep the engines running. When there’s a schism that can’t be decided by the majority, all hell breaks loose. In 2016, this became apparent with the DAO hack. One way to fix the problem was to implement what’s known as a “hard fork,” which would essentially update the Ethereum-based software to fix the technical gaffe that caused the hack to begin with. But DAO users had to agree to this change, and there were dissenters. Though the hard fork was approved, it created two active blockchains with two different sets of rules. Ultimately, this hack–coupled with the inability to deal with it–caused the DAO to end in 2016. This year we saw a similar fight break out–this time over bitcoin cash. This coin, mind you, is not bitcoin, though it is built on the same architecture. It was created by a group of miners who disagreed with some of the fundamentals of the initial bitcoin system, and so they forked a new blockchain and went their own way. In terms of market capitalization, bitcoin cash has always been one of the top cryptocurrencies–in the ranks of Ethereum and XRP.

advertisement

This past autumn, the bitcoin cash community–which was created due to a technical disagreement with the larger bitcoin sector–started a civil war. Essentially, bitcoin cash developers had diverging views on the software update for the system, and so they decided to implement another hard fork. This created two new bitcoin cash sects. Internally, the fork caused a lot of strife; one of the most popular bitcoin alternatives was unable to reach a consensus, and instead had to create two different paths that would essentially go to war with each other. When the hard fork arrived–and participants had to choose which path to take–the entire cryptocurrency market dropped. This is very likely what caused bitcoin to drop from the $6,000 range to around the $3,000-$4,000 range. Which brings us to today, with the cryptocurrency bottoming out at less than 80% of what it was a year ago. Is there any hope? We’re certainly in a much different place now than we were 12 months ago. What was a hot commodity has turned into a hot potato nobody wants to touch. Still, this almost certainly won’t be the end for bitcoin, or cryptocurrencies as a whole. Despite the realization that it was a bubble, even the toughest critics see some sort of a future.

advertisement

Dow, the man who first shorted bitcoin, for instance, even mentioned in his initial post that a person can be “simultaneously bullish on blockchain and bearish on bitcoin.” And he just announced that he’s ending his short. Meanwhile, even the most enthusiastic bitcoin evangelists are realizing that a retooling is in order. Michael J. Casey, a senior adviser for blockchain research at MIT’s Digital Currency Initiative, recently wrote about how the crypto-winter has arrived, but it may lead to better things down the line: The good news is that the glare of public opinion will eventually dissipate, and that as the spotlight diminishes, real developers will find themselves in a healthier environment within which to do the work needed to unlock this technology’s potential. We saw a similar period of constructive building during the 2014-2016 hiatus. But whatever new products are produced, they will now have a harder time struggling with acceptance. Whether we like it or not, message and image are important. That seems to be the overall message from most. Even Innes, who has been critical of bitcoin and crypto-trading for quite a while, admits that this doesn’t mean the blockchain is bunk. He, in fact, sees things looking up. “If this base can hold,” he says, “[the price will] start drifting up.” But not because of fervor or blind faith that bitcoin is the future, but due to advances on the technology side.

advertisement

“This is a legitimate technology–it’s going to expand,” he says, “My longer-term view is nowhere near where some of [my current] views are.” It could even perhaps hit $10,000 again, he says. But that will probably take a few years. For now, we wait and see."
2018-02-02 00:00:00+00:00	January's Top Large Cap Crypto? Not Bitcoin or Ether...	[]	Bitcoin, the world's largest currency by market capitalization, dropped close to 30 percent, meaning its market capitalization shaved off billions after a torrid end to 2017. Meanwhile, excitement seemed to fade as the total value of all cryptocurrencies taken together topped out at $830 billion on Jan. 7, ending the month below $500 billion.
