Date	Title	Authors	Text
2021-10-18 21:30:52+00:00	Top Ten Crypto Market Capitalizations Shifted a Great Deal Since the Last Time BTC Hit $60K – Markets and Prices Bitcoin News	['Jamie Redman', 'Jamie Redman Is The News Lead At Bitcoin.Com News', 'A Financial Tech Journalist Living In Florida. Redman Has Been An Active Member Of The Cryptocurrency Community Since He Has A Passion For Bitcoin', 'Open-Source Code', 'Decentralized Applications. Since September', 'Redman Has Written More Than Articles For Bitcoin.Com News About The Disruptive Protocols Emerging Today.']	"Top Ten Crypto Market Capitalizations Shifted a Great Deal Since the Last Time BTC Hit $60K

The price of bitcoin recently jumped above the $60,000 per unit mark on October 15, and the leading crypto asset has not seen prices this high since mid-April six months ago. However, as far as the top digital assets are concerned, in terms of market capitalization, things are a whole lot different. For instance, ether tokens are worth a lot more than they were six months ago and binance coin values were higher back then than they are today.

Six Months Later as Bitcoin Returns to $60K, Some Crypto Coins Trade for More Value, While Others Trade for Less

On April 11, 2021, statistics from coinmarketcap.com’s historical snapshot data show that on that day, bitcoin (BTC) exchanged hands for $60,204 per unit. BTC also reached an all-time high three days later on Apr 14, 2021, at $64,804 per coin that week. The data from the historical snapshot indicates that ethereum (ETH) was swapping for $2,157 per coin on April 11 and today, a single ether is trading for $3,761 per unit.

The stats six months ago show binance coin (BNB) held the third position six months ago and at the time each BNB traded for $525. Prices are a bit lower than they were back then and BNB lost the third position to cardano (ADA) for a few months. Today, metrics show that BNB is swapping for $480 per coin which is 9.375% lower than the price six months ago. At that time, XRP held the fourth position in terms of market cap but today, XRP has slid to the sixth position.

The stablecoin tether (USDT) held the fifth spot back then, today it is sitting at number four. Like ethereum (ETH), cardano (ADA) is another coin that was trading for lower prices on April 11. At the time, ADA exchanged hands for $1.27 per coin and on October 18, ADA trades for $2.12 per unit. Polkadot (DOT) held the seventh position trading for $41.42 per DOT six months ago, today DOT trades for a touch lower at $40.76 and sits in the eighth largest position.

Litecoin, Uniswap, Chainlink Bumped Out of the Top 10 — Theta, Filecoin, Tron, Vechain Slip Out of the Top 20

Litecoin (LTC), uniswap (UNI), and chainlink (LINK) held the last three positions in the top ten respectively. But none of these coins are in the top ten positions anymore and UNI is the closest today. Positioned at 14 today, UNI is trading for $25.39 but on April 11, the token changed hands for $29.98. LTC was holding the eighth largest market valuation six months ago, but today it has slid to the 16th largest. LTC exchanged hands for $253.63 and today its much lower at $185.22.

Chainlink (LINK) was swapping hands for $33.92 per LINK back then, but on October 18, the price is around $25.59. LINK at that time held the tenth-largest spot and it now holds the 18th position. Missing from the top 20 coins that were seen on the list back then include tokens like theta (THETA) filecoin (FIL), tron (TRON) and vechain (VET). One notable gainer is solana (SOL) which moved from the 20th top position to the crypto economy’s seventh-largest spot in terms of valuation.

What do you think about the top ten crypto coin shift and some of the crypto assets that were bumped out of the top ten and twenty market positions during the last six months?

Jamie Redman Jamie Redman is the News Lead at Bitcoin.com News and a financial tech journalist living in Florida. Redman has been an active member of the cryptocurrency community since 2011. He has a passion for Bitcoin, open-source code, and decentralized applications. Since September 2015, Redman has written more than 5,700 articles for Bitcoin.com News about the disruptive protocols emerging today.



Image Credits: Shutterstock, Pixabay, Wiki Commons, coinmarketcap.com, Coingecko.com,

Disclaimer: This article is for informational purposes only. It is not a direct offer or solicitation of an offer to buy or sell, or a recommendation or endorsement of any products, services, or companies. Bitcoin.com does not provide investment, tax, legal, or accounting advice. Neither the company nor the author is responsible, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with the use of or reliance on any content, goods or services mentioned in this article."
2021-10-01 08:52:27+00:00	Bitcoin Eyes $45K: Crypto Market Turns Green on Positive US Fed News (Market Watch)	['Jordan Lyanchev', 'More Posts This Author', 'About The Author', 'Jordan Got Into Crypto In Trading', 'Investing. He Began Writing About Blockchain Technology In He Has Managed Numerous Crypto-Related Projects', 'Is Passionate About All Things Blockchain.']	"The price of bitcoin has jumped to a weekly high of nearly $45,000 amid positive news coming from the US Fed Chair – Jerome Powell. Most alternative coins have also marked substantial daily gains, with ETH rising above $3,100 and BNB jumping to $400.

Bitcoin Eyes $45K

The tides seemed to have turned in the cryptocurrency space in the past 24 hours. On Wednesday, bitcoin had dumped below $41,000 for the third time since the start of the week, and the situation looked grim at best.

However, the bulls managed to intercept this drop just like the previous ones and pushed the asset north. As reported yesterday, this resulted in BTC exceeding $43,000.

The cryptocurrency even attempted to break above $44,000 but was initially stopped. However, BTC shot up in the hours after and neared $45,000. This came shortly after the US Federal Reserve Chairman – Jerome Powell – said during a two-hour House Finance Services Committee meeting that the country has no intentions to ban cryptocurrencies.

As a result, bitcoin spiked to its current level, which is the highest it has been in a week. Consequently, its market capitalization has increased to $850 billion.

Alicia Bakery CMO - A really good agency Did you like this market update?

This is all you need not to miss any price action in the raging crypto markets. Start receiving this recap, for free, every day: Invalid email address Your privacy is guranteed. Thanks for subscribing, you will get your first report in the next hours!

Alts See Nothing But Green

Most larger-cap alternative coins remained stagnant in the past few days. This is not the case now, though. Ethereum had fallen to $2,900 and struggled to reclaim $3,000. However, a 5% daily increase has driven the second-largest cryptocurrency to above $3,100 as of now.

Cardano also dipped hard during the week but currently stands at $2.15 after a 4.5% jump. Binance Coin, which was the best performer yesterday, continues to impress again with an 8.5% increase to over $400.

Ripple (4.5%), Solana (6%), Polkadot (7.5%), Dogecoin (3%), Terra (11%), Avalanche (1.5%), Uniswap (9.5%), and Chainlink (6%) are also well in the green.

Further gains are evident from OMG Network (23%), VeChain (21%), Qtum (19%), Tezos (15%), IOTA (11%), THORChain (11%), AMP (11%), Arweave (11%), and ICON (10%).

The cryptocurrency market cap has increased by roughly $100 billion and is just shy of $2 trillion."
2021-10-15 13:03:18+00:00	Global crypto market revisits May 2021 peak as Bitcoin teases $60,000	[]	"Global crypto market revisits May 2021 peak as Bitcoin teases $60,000

Russian president Vladimir Putin has expressed support for payments in cryptocurrency

Bitcoin and Crypto Market Watch

The global cryptocurrency market continued to grow this week to levels previously seen in May 2021 with the market cap crossing $2.4 trillion. Bitcoin rallied by 8% in the last 7 days to within touching distance of $60,000 today. It is currently trading near $59,400 as of 5 pm IST today. Bitcoin’s dominance of the market has steadily climbed to 46% over the past few weeks as reports of the US Securities and Exchange Commission (SEC) granting approval to the Bitcoin Futures ETF this month continues to lift market sentiment.

In this article, we will track other stories that drove adoption in the crypto market this week.

Governments explore digital currencies

G7 finance leaders recently have set out 13 guiding principles for retail central bank digital currencies (CBDC) to support policy and design deliberations within and beyond the group. G7 is an inter-governmental political forum comprising Canada, France, Germany, Italy, Japan, the United Kingdom and the United States. In this context, blockchain companies Ripple (ticker XRP) and Avalanche (ticker AVAX) have joined an independent group to support the development of a digital UK pound.

Meanwhile, Vladimir Putin, the president of Russia, has expressed support for cryptocurrencies as a means of payment although he remained skeptical of its use for oil contracts. Russia ruled out a blanket ban on crypto trading similar to China.

Investment firms see potential in crypto-based companies

Moonpay, a crypto fintech startup that allows the purchase and sale of cryptocurrencies and digital assets using debit, credit cards and local bank transfers, has reportedly raised $400 million in its first round of funding led by Tiger Global Management and Coatue Management.

Crypto lending firm Celsius network has raised $400 million in a new equity funding round led by Canada’s second largest-pension fund CDPQ and WestCap, an equity firm.

More synergies between crypto and fiat emerge

Bakkt, a US cryptocurrency marketplace, has partnered with Google to allow its debit card users to purchase goods and services using Bitcoin and other cryptocurrencies through the Google Pay wallet.

Strike, a payments company responsible for the Bitcoin tipping feature on Twitter, has released a new product feature called “Pay me in Bitcoin” which allows anyone to convert a portion of their income into Bitcoin with no fees.

With Bitcoin heading towards its all-time high in the near future, more institutional capital and strong retail participation is expected in the upcoming months.

Disclaimer: This article was authored by Giottus Cryptocurrency Exchange as a part of a paid partnership with The News Minute. Crypto-asset or cryptocurrency investments are subject to market risks such as volatility and have no guaranteed returns. Please do your own research before investing and seek independent legal/financial advice if you are unsure about the investments."
2021-10-01 07:06:51+00:00	Cryptocurrency Update: 5 Crypto Coins Gain up to 213% in 24 Hours. Check List	[]	"The global crypto market cap on Thursday stood at $1.94 trillion and it showed that it had surged by 0.57 per cent over the course of the last day. The total crypto market volume over the last 24 hours was $80.16 billion, which indicated that there had been a decrease of 15.19 per cent over the same time period according to information from CoinMarketCap. The total DeFi volume was, at the time of this article, $11.52 billion or 14.37 per cent of the total crypto market’s 24-hour volume. It should also be noted that the volume of all the stable coins was $63.50 billion or 79.22 per cent of the total cryptocurrency market volume.

With that in mind, one should note that there were significant changes to the top market gainers and losers over the course of the last day. In terms of the top gainers in the cryptocurrency market, the top spot went to Defi Connect with a price of $0.0000007457. this altcoin was trading up at 213.33 per cent over the course of the last 24 hours data indicated. Coming in at number two was BitBall with a price of $0.004963 and a surge of 184.22 per cent over the last 24 hours.

Kleekai was another addition to the top five gainers with a price of $0.000000000603. This cryptocurrency was trading up at 121.08 per cent over the last day. Interestingly, a top loser, DogePepsi, did a complete turn-around since yesterday and the once top loser now finds itself at the number four rank of top gainers on Friday. The crypto coin had a price of $0.000000000616 and was trading green at 110.32 per cent over the course of the last day. Last on the top five list was Safe Energy that was trading green at 109.79 per cent, with a price that had surged to $0.00000000335.

As far as the top losers go, the top spot went to VKENAF, an altcoin with a price of $0.1742. This coin slipped by 61.30 per cent over the last day, while at the bottom end of the top five was VeriDocGlobal that slipped at a marginally lower 52.03 per cent over a 24-hour period.

Top 5 Cryptocurrency Gainers (According to data from CoinMarketCap)

1) Defi Connect – $0.0000007457 – 213.33 per cent change over the last 24 hours

2) BitBall – $0.004963 – 184.22 per cent change over the last 24 hours

3) KleeKai – $0.000000000603 – 121.08 per cent change over the last 24 hour

4) DogePepsi – $0.000000000616 – 110.32 per cent change over the last 24 hours

5) Safe Energy – $0.00000000335 – 109.79 per cent change over the last 24 hours

Top 5 Cryptocurrency Losers (According to data from CoinMarketCap)

1) VKENAF – $0.1742 – Traded 61.30 per cent down cent over the last 24 hours

2) MContent – $0.000000000213 – Traded 61.03 per cent over down the last 24 hours

3) MeowSwap – $0.3779 – Traded 56.07 per cent down over the last 24 hour

4) BULLS – $0.01106 – Traded 55.99 per cent down over the last 24 hours

5) VeriDocGlobal – $0.0003038 – Traded 52.03 per cent down over the last 24 hours

Coming to the top cryptocurrencies in the market, Bitcoin was performing decently today as it was trading green at 0.83 per cent over the last 24 hours with a price of $43,925.33. However, over the course of the last week, the coin showed a slippage of 0.69 per cent. The second-place coin, Ethereum, slipped on Friday by 0.13 per cent over the last 24 hours and had a price of $3,019.31. The cryptocurrency was trading down at 1.67 per cent over the past 7 days.

Speaking on the performance of Bitcoin, Siddharth Menon, COO WazirX, said, “Bitcoin continues to remain bearish. However, an interesting point to note is that the RSI indicator has shown a breakout from the current pattern which is an affirmation of a definite buying momentum. The coming weeks may see a pullback from the current value. The dollar index is consolidating at the current levels and may show some weakness in the days to come.”

“With Bitcoin digital currency up 51 per cent this year, and the market capitalization risen above $800 billion, the crypto market is on track towards its projected reach of $4.94 billion by 2030,” said the CoinDCX Research Team

Read all the Latest News, Breaking News and Coronavirus News here. Follow us on Facebook, Twitter and Telegram."
2021-10-04 02:17:12+00:00	Cryptocurrency prices today: Bitcoin gains, ether, cardano slip. Latest rates here	[]	"Cryptocurrency prices today were mixed with Bitcoin trading below $48,000. The largest cryptocurrency by market capitalization jumped by about $2,500 within a matter of minutes on Friday and was trading around $48,000 for most of the weekend, having spent more than a week before that in the lower $40,000s.

Bitcoin prices today were marginally higher at $47,946. The world's largest cryptocurrency by market capitalization is up 65% this year (year-to-date), and much below its record of near $65,000 it had hit in April.

Ether, the coin linked to ethereum blockchain and the second largest crypto, plunged over 1% to $3,378. Cardano prices also fell to $2.22 whereas dogecoin rose marginally to $0.22. The performance of other digital tokens including XRP, Litecoin, Stellar were also mixed over the last 24 hours.

Bitcoin rose on Friday to its highest level since around mid-September, bolstered in part by seasonal factors as well as supportive comments overall from Federal Reserve Chairman Jerome Powell on Thursday.

Bitcoin was hit on multiple fronts in September, including a botched roll-out of the coin as legal tender in El Salvador and tightening of regulatory oversights in the US and China. It delivered a negative return for the fifth straight year for the 30-day period last month. The crypto asset has been on a losing streak in terms of monthly performance in September since 2017.

China's central bank had said all financial transactions involving cryptocurrencies are illegal, sounding the death knell for the digital trade in the country after a crackdown on the volatile digital tokens.

China has been tightening its crackdown on cryptocurrencies, and its efforts to restrain the trading and mining are adding to the wild moves in bitcoin and other markets, which are already down hard from records set earlier this year.

(With inputs from agencies)

Subscribe to Mint Newsletters * Enter a valid email * Thank you for subscribing to our newsletter.

Topics"
2021-10-22 02:13:53+00:00	Bitcoin falls from record high, ether, other cryptos also plunge. Check cryptocurrency prices today	[]	"Cryptocurrency prices plunged today as Bitcoin declined from its all-time high it had hit two days ago after the debut of the first US bitcoin futures exchange-traded fund. The price of the world's largest cryptocurrency by market capitalization was trading 4% lower at $62,740.

Ether, the coin linked to ethereum blockchain and the second largest crypto, was down over 2% to $4,112, as per CoinDesk. Cardano prices fell nearly 3% to $2.16 whereas dogecoin also slipped 3% to $0.24. Other digital tokens like Shiba Inu, Binance Coin, Litecoin, Uniswap, XRP were also trading with cuts over the last 24 hours, though, Solana was up over 10%.

Bitcoin on Wednesday rallied to a record high of $66,974, the recent rally came after six-months from its previous top of $64,895, fueled by the debut of the ProShares Bitcoin Strategy ETF. Investors have bet the long-awaited launch of bitcoin ETFs will lead to greater investment from both retail and institutional investors.

Yet analysts at JPMorgan voiced doubt over how long-lasting the boost to bitcoin's price from the ProShares ETF, which trades under the ticker BITO, would be. ""Will the launch of BITO by itself bring significantly more fresh capital into bitcoin? We doubt it given the multitude of investment choices bitcoin investors already have,"" they wrote in a note, as reported by Reuters.

The ETF doesn’t invest directly in Bitcoin. It instead invests in the futures market tied to Bitcoin. Someone with an old-school brokerage account can buy the ETF, for example, without having to open a trading account for crypto.

(With inputs from agencies)

Subscribe to Mint Newsletters * Enter a valid email * Thank you for subscribing to our newsletter.

Topics"
2021-10-04 00:00:00+00:00	Friday’s Crypto-Market Breakout Caused Massive Short Covering, May Be Technically Significant: FSInsight	[]	It is possible that bitcoin is starting off its “traditionally bullish 4Q seasonal rally,” FSInsight said. The firm’s first upside target is $52,956 – the September high – followed by $64,895. Momentum may be overbought on an hourly basis but “dips are likely buyable” daily momentum is not overbought, FSInsight said.
2021-10-01 00:00:00+00:00	Bitcoin Climbs Above $47K as Stocks Fall and Investors Eye Inflation	[]	After all, October is a seasonally bullish period, and bitcoin’s recent stability amid stock market losses and China’s blanket ban on virtual currency businesses is reminiscent of the cryptocurrency’s resilience in the face of the negative news seen just before the beginning of the bull run from $10,000 in September and October 2020.
2021-09-29 19:25:30+00:00	Regulating the unregulated cryptocurrency market	['Christina Pazzanese', 'Harvard Staff Writer']	"Is cryptocurrency the future of global banking and trade, or a sketchy payment and investment vehicle favored by scammers and speculators, criminal organizations, and any individual or entity shut out of Western banking systems, like North Korea?

The jury is still out. One thing that is clear, however, is that the cryptocurrency market continues to grow as its popularity has become more mainstream since 2019. Even many once-skeptical institutional investors have come around after seeing some of the mind-boggling returns. In January 2019, one Bitcoin traded for $3,441; this week, it hit $43,136.

But that success may have a price. Calls to rein in the industry are at fever pitch. This month China, one of the world’s largest digital currency markets, outlawed all crypto-related transactions. It banned trading them in 2019. The U.S. Treasury said this week it will sanction a cryptocurrency exchange for the first time for facilitating ransomware payments. New tax and trading rules for the industry are included in legislation Congress is scheduled to vote on by week’s end. And the U.S. Securities and Exchange Commission is also pushing for greater enforcement. SEC Chairman Gary Gensler called cryptocurrency an asset class “rife with fraud, scams, and abuse” and said investors don’t have enough regulatory protection from the swarms jumping into crypto finance, issuance, trading, and lending.

Scott Duke Kominers ’09, A.M. ’10, Ph.D. ’11, is the MBA Class of 1960 Associate Professor of Business Administration at Harvard Business School and a faculty affiliate of Harvard’s Department of Economics and the Harvard Center of Mathematical Sciences and Applications. He advises crypto businesses and projects, including Facebook’s digital wallet and payment system, and holds crypto currency and other crypto assets. Interview has been edited for clarity and length.

Q&A

Scott Duke Kominers

GAZETTE: There are thousands of different cryptocurrencies, but no consensus on the precise number. The range is between 5,000 and 12,000, valued at about $2 trillion. What does the landscape look like today?

KOMINERS: Those numbers sound huge, but there are actually many, many more than that because lots of crypto products are not currencies and lots of cryptocurrencies are too small to be part of mainstream exchanges. Many crypto products are effectively just tokens. Sometimes these are representative of ownership in decentralized autonomous organizations, which are organizations that share governance rights and returns to a committee of participants by allocating them tokens — a bit like stock shares. There are project-specific tokens used in specific online games or among individual communities. There are NFTs, which are unique non-fungible tokens that have been used as representing ownership over things like digital artworks. Tons of these are being minted daily at this point. So, there is a very large landscape. The pure currency aspect of it is a huge market on its own, but a drop in the bucket of the total applications of crypto and blockchain technology today.

GAZETTE: What’s the appeal for investors? Is it just the eye-popping returns or is there more to it?

KOMINERS: Some people have gotten interested in cryptocurrency because of the investment returns, unquestionably. But there are also real, practical infrastructure and technology benefits. You’re starting to see countries willing to receive officially recognized crypto payments. And people have been considering whether crypto technology can be used to deliver government aid. This is because when it’s working, crypto is frictionless, and thus creates a much more efficient way of transferring and sharing value among people. And, as a result, there’s a real opportunity to use crypto for large-scale payments, as well as in things like small business payment processing. Also, there’s a big opportunity for enhancing financial inclusion, by providing secure payment networks and cross-border transfers in places that don’t otherwise have well-structured consumer financial systems. So, while some people are interested in this for the short- or medium-term investment opportunity, I think a lot of the investment we’ve seen flow in on the institutional and venture sides is because there are real, valuable technologies that are being built on crypto backbones that can do things we never could do before in markets.

GAZETTE: The SEC chairman called this an asset class “rife with fraud, scams, and abuse.” Is this industry operating in a rule-free, “Wild West” atmosphere, as he suggested?

KOMINERS: I haven’t read the full Gensler remarks, so I can’t comment explicitly on his overall take, but I can comment on some of the individual elements you mention. It’s clear that this space needs much more consumer protection, and we’re starting to see that. Right now, if a hacker gains access to your crypto wallet, they can drain it and you may have no recourse. But the newer waves of wallet technologies and crypto exchanges are thinking hard about all the things consumers expect out of banking products and equities trading accounts. They’re trying to create more security and protections at the consumer-interface level. And then, of course, you also need regulation to prevent financial crime and scams, just like we have in other parts of the financial-services industry.

GAZETTE: Some lawmakers have pointed to the GameStop stock trading frenzy in early 2021 as analogous to the crypto market, saying that most ordinary investors have gotten caught up in hype and don’t fully understand the risks they’re taking.

“I think a lot of the investment we’ve seen flow in on the institutional and venture sides is because there are real, valuable technologies that are being built on crypto backbones that can do things we never could do before in markets.”

KOMINERS: First of all, it’s important to note that the GameStop run-up wasn’t in a new trading arena — it was Internet-hyped trading of a specific stock in the regular stock market. That said, the GameStop story is in some sense analogous to the meme trading of crypto products like Dogecoin — there’s consumer confusion around the idea that these assets could lose value. A lot of people lost a lot of money in the GameStop and Dogecoin run-ups and crashes. They were on a platform that made trading feel like a video game, and didn’t understand the real risks. And so in those ways, it’s analogous. Consumers and investors need to understand that these are high variance, speculative assets.

But when you get to the technology infrastructure pieces, GameStop and crypto can look very different. Cryptocurrency trading now looks a lot like equities trading — you have a brokerage account at an exchange, or potentially on a platform like Robinhood. But for many of the other crypto applications, the infrastructure is very, very new, and the platforms are very, very new, and they’re not heavily protected.

I think we’ll see more regulation around messaging and communication, but there are also more structural questions. For example, one of the regulatory conversations is around stablecoins — crypto assets that hold nominally fixed values because they’re designed to just be used for moving money from one place to another in a fixed denomination. They’re typically backed by reserves in a way similar to how banks back their loans with deposits. But there are questions about how to properly structure those reserves. If everyone simultaneously decided they wanted to divest, will stablecoins have the reserves to support that? I expect to see regulation around allowable assets and reserve design — just like we have with banks.

And finally, we’ll need regulation to ensure open competition among different crypto products and platforms.

GAZETTE: Besides fending off regulations, what are the industry’s other challenges?

KOMINERS: One basic challenge is around taxation of crypto income. This isn’t just about tax avoidance concerns — a lot of people would like to pay taxes on their crypto but have absolutely no idea how to do so. We don’t have clear crypto categories for taxation purposes, so it’s extremely complicated to figure out which parts are ordinary income versus capital gains, as well as when the associated income has accrued. Organizing the tax treatment of all these assets — and then, of course, ensuring tax payment — is essential.

Another challenge is environmental: A lot of the most popular crypto technologies at the moment require tremendous amounts of energy to run. And so, we’re going to start seeing government leadership and regulation driving a shift toward versions of this technology that are more environmentally sustainable.

Bitcoin and other early blockchains use a technology where you have to prove that you solved a very hard computational problem to record transactions securely. And solving those computational problems is taking up absurd amounts of energy. Newer blockchains use much less energy-intensive ways of validating transactions. And so, my guess and hope is that the way we’re going to get away from environmentally harmful cryptocurrency transactions is through continual improvements in the technology, alongside regulation and market forces pushing toward technologies that are much more efficient.

GAZETTE: If new regulations are on the way, what would be the best- or worst-case scenarios for the industry?

KOMINERS: I don’t think it’s a question of ‘no regulation’ versus ‘a lot.’ The real question is the extent to which regulators understand that crypto is a different type of product and tech infrastructure from anything they’ve regulated before. The worst case would be to just treat it like historical financial products or like historical tech platforms without thinking about the ways in which crypto differs, both in terms of its use cases and in terms of its underlying technology."
2021-10-25 00:00:00+00:00	French company Crypto Blockchain Industries to list on Paris stock market	[]	"PARIS, Oct 25 (Reuters) - French company Crypto Blockchain Industries said it would list on the Paris Euronext Growth stock market, highlighting the burgeoning appeal of cryptocurrencies around the world.

The company said it would list its shares at a price of 2 euros, giving it a market capitalisation of around 38.7 million euros ($45 million).

Bitcoin , the world's largest cryptocurrency, hit record highs on financial markets last week. read more

($1 = 0.8593 euros)

Register now for FREE unlimited access to Reuters.com Register

Reporting by Sudip Kar-Gupta; Editing by Kirsten Donovan

Our Standards: The Thomson Reuters Trust Principles."
