Date	Title	Authors	Text
2022-04-11 16:20:06.407000+00:00	Crypto News Roundup for April 11, 2022	[]	"Crypto News Roundup for April 11, 2022

With bitcoin diving out of an ascending trendline and a look at meme coin gamblers, CoinDesk’s Markets Daily is back with its latest news roundup."
2022-04-06 16:45:20.975000+00:00	Crypto News Roundup for April 6, 2022	[]	"Crypto News Roundup for April 6, 2022

With bitcoin dropping as bond yields continue to rise, the Luna Foundation Guard buying the dip and a look at the crypto lifeline to Ukraine, CoinDesk’s Markets Daily is back with the latest news roundup."
2022-04-11 21:11:27+00:00	Crypto Market Melts Down as Bitcoin Drops 15%, Ethereum Loses 14%	['Decrypt', 'Jeff Benson']	"Bitcoin dropped 15% in 24 hours today, falling below $40,000 for the first time since March 15. Meanwhile, Ethereum dipped 14%, finding itself beneath the $3,000 mark for the first time since March 23.

It's part of a larger trend, with crypto markets tumbling 8.5% in the span of 24 hours to hit a market cap of $1.84 trillion, according to CoinMarketCap.

If you're looking for plausible answers as to why, it's worth checking out the equities markets. The S&P 500, an index of 500 top publicly traded companies in the U.S., closed down 1.7%, the Dow Jones Industrial Average ended Monday 1.2% lower, and the tech-heavy Nasdaq lost a full 2.2% of its value.

Bitcoin, which is historically fairly correlated to other cryptocurrency prices is, of late, increasingly correlated with stock prices. In March, BTC's price correlation with the S&P 500 hit 0.49, with -1 meaning they move exactly opposite and 1 meaning they move in perfect tandem. It was the highest rate since October 2020, per Arcane Research.

But what's going on with stock prices?

Take your pick. There's the ongoing Russian war in Ukraine, a new round of COVID lockdowns in China, and, of course, the Federal Reserve's decision to aggressively raise interest rates and choke off the supply of money into the economy.

The Nasdaq was already down nearly 4% from Monday through Friday last week. The weekend hasn't made things much better. With less money pumping into the economy as the Fed seeks to fight inflation, crypto market caps very well may deflate, according to BitMEX founder Arthur Hayes. The billionaire investment banker-turned crypto entrepreneur wrote on Sunday of a ""coming crypto carnage"" and predicted that both Bitcoin and Ether had much further to fall.

""Bitcoin and Ether will bottom well before the Fed acts and U-turns its policy from tight to loose,"" he wrote. He predicted they will test the $30,000 and $2,500 thresholds before the end of June.

Hayes previously predicted, when the price of BTC was below $5,000, that it would reach $10,000 in 2019. That turned out to be prescient, as the price rallied to above $12,000. A year earlier, he suggested that BTC could hit $50,000 that year and would bottom out at between $3,000 and $5,000. While he was way off on the former, the latter prediction was correct.

Bitcoin bulls are hoping Hayes' most recent prediction is wrong. But a look at today's price movements indicates he could be on to something."
2022-04-11 10:00:52+00:00	Crypto Markets Down $250B Weekly: BTC Plunged Below $42K (Market Watch)	['Jordan Lyanchev', 'More Posts This Author', 'About The Author', 'Jordan Got Into Crypto In Trading', 'Investing. He Began Writing About Blockchain Technology In He Has Managed Numerous Crypto-Related Projects', 'Is Passionate About All Things Blockchain.']	"Bitcoin was rejected at $43,000 once again, and the bears pushed the asset to and below $42,000. Most altcoins are also deep in the red, with ETH close to $3,100. The total market cap is down to just over $1.9 trillion.

Bitcoin Tests $42K

It was just a week ago when the primary cryptocurrency was attempting to overcome $47,000 but failed on both occasions. Just the opposite, the asset started to lose value gradually and slipped to $45,000 a day later.

The bears kept control over the market and pushed it south again. At first, BTC dropped to $44,000 before it plummeted to $43,000, which became its lowest price point in more than two weeks.

In the following few days, bitcoin remained stuck between $43,000 and $44,000. However, its inability to climb above the latter meant more trouble. This time, it fell to $42,000 as reported yesterday.

It bounced off hours later and briefly exceeded $43,000, but the bears came back to play and drove it south below the January 2021 ATH of $42,000, where it’s currently situated as well. As such, its market capitalization has slid below $800 billion for the first time in nearly three weeks.

Alicia Bakery CMO - A really good agency Did you like this market update?

This is all you need not to miss any price action in the raging crypto markets. Start receiving this recap, for free, every day: Invalid email address Your privacy is guranteed. Thanks for subscribing, you will get your first report in the next hours!

Altcoins Back in Red

The altcoins calmed yesterday after the recent price declines, but the past 24 hours spelled more trouble. Ethereum is down by 4% on the day and sits just above $3,100. It’s worth noting that ETH jumped above $3,500 to a three-month high last week.

Binance Coin, Solana, Dogecoin, Shiba Inu, and CRO have retraced by similar percentages, while Ripple and Cardano are down by more than 5%.

More losses are evident from Terra (-9%), Avalanche (-7%), Polkadot (-8%), and NEAR Protocol (-8%).

The cumulative market cap of all crypto assets is down to just over $1.9 trillion, meaning that the metric has shed $250 billion in about a week."
2022-02-24 12:11:14+00:00	Bitcoin price: Why is crypto down today? Crypto news and prices of BTC, Ethereum, Solana as Russia invades Ukraine	[]	"Bitcoin’s price has fallen even lower after the cryptocurrency market dipped into a crash this week as the toll of increased conflict in Europe and Russia’s full scale invasion of Ukraine saw markets fall worldwide.

The cryptocurrency market is currently down by more than 10% on Thursday morning, as of 11.20am UK time, according to Coinbase.

Sign up to our daily newsletter Sign up Thanks for signing up! Sorry, there seem to be some issues. Please try again later. Submitting...

After a continued lull for Bitcoin, the world’s largest cryptocurrency, it now looks to be approaching a $30,000 threshold today (Thursday February 24) should market dips continue.

Bitcoin price: Why is crypto down today? Crypto news and prices of BTC, Ethereum, Solana as Russia invades Ukraine (Image credit: Getty Images/Canva Pro)

As of 11.34am on Thursday, Bitcoin’s price was fluctuating at around $34,966.62 (£26,080.62) in a 10.23% fall on the last 24 hours, and a 19% fall on the last seven days, according to Coinbase.

The cryptocurrency market has been struggling to return to highs reached in late 2021 as inflation, looming conflict in Europe and global market uncertainty over crypto risks continue to push crypto price thresholds lower.

The crypto market dip, reflecting a fall on the FTSE 100, comes as Russia increases its attacks on Ukraine and launched a full scale invasion of the country, as the EU, UK and US propose further sanctions on the country.

NATO Secretary General Jen Stoltenberg said in a statement on Thursday afternoon that Russia has launched missile attacks targeting Ukraine’s military infrastructure in an ""unjustified and unprovoked"" attack on the country.

""This is a deliberate, cold-blooded and long planned invasion,"" he added.

The downward slide in crypto prices suggests that the crash which saw prices plummet in early January, as Kazakhstan’s crypto mining empire took a hit during political unrest, could be set to continue amid a wider market sell-off.

Here’s why crypto is down today, what’s happening to crypto at the moment and the latest prices of Bitcoin, Ethereum, Solana, Cardano, XRP, Shiba Inu coin and Dogecoin.

What is Bitcoin’s price today?

Bitcoin’s price is currently trading at $35,452.90 (£26,417.69) in a 9% fall on the last 24 hours as of 11.58am, according to Coinbase.

Bitcoin has been fluctuating between $36,000 and $38,000 in value this week after falling from its $40,000 threshold again on Sunday February 20.

But in the early hours of Thursday morning, Bitcoin’s price dropped from $36,887.71 at 2.30am to $34,787.94 at 4.30am, with this plunging even lower later this morning as its price dropped to $34,322 at 5.45am.

According to data collected by CoinMarketCap, however, Bitcoin is seeing increased trading activity – with its 24 hour trading volume up 55.6% as of 12.03pm on Thursday at $37,439,624,337 as investors buy the dip.

Over the past few weeks, Bitcoin’s price has been fluctuating mostly between $40,000 and $45,000 – hitting a recent high of $52,100 on December 27.

The major cryptocurrency’s price has seen recent gains of almost $20,000 wiped off the board for Bitcoin after it came the closest it ever has to reaching a new landmark threshold of $70,000 in November.

Why is crypto down today?

Bitcoin’s price enjoyed a bullish rise to near $70,000 in value in early November as investors hoped to see the cryptocurrency’s $1 trillion market cap remain firmly in place ahead of a volatile trading period.

But its plummet below $50,000 came in late 2021 as US and UK markets struggled to contend with increased concerns over increasing inflation and looming conflict between Russia and Ukraine.

Such concerns have now come to a head with Russia’s full scale invasion of Ukraine on Thursday February 24 2022, with fears for global market stability, national security and Ukraine’s safety taking hold as oil prices surge, traditional markets drop and more sanctions on Russia are to be declared.

Bitcoin’s price dipped below $40,000 on Friday January 21 after the Russian central bank published a consultation paper which warned that ‘growth of cryptocurrencies use creates threats for Russian retail investors, financial stability and threats associated with the use of cryptocurrencies for illicit activities’.

The report cited estimates that cryptocurrency transactions among Russian citizens totals up to $5 billion a year.

In particular, the report focused on the threats of cryptocurrency’s high volatility and instability for individual citizens, as well as its fraudulent and criminal usage.

However, the Russian central bank also likened the global growth of cryptocurrencies in Russia to ‘dollarisation’, stating that ‘cryptoisation limits monetary policy sovereignty, which might force central bank to permanently maintain a higher key rate to contain inflation’.

It added that ‘the spread of cryptocurrencies could make people withdraw their savings from the Russian financial sector and, subsequently, decrease its capability to finance the real sector and potential economic growth reducing the number of jobs and potential for household income increase.’

Meanwhile, the UK Government outlined a tougher approach to crypto-asset promotion and advertising in a statement in mid-January.

Chancellor Rishi Sunak said: “Cryptoassets can provide exciting new opportunities, offering people new ways to transact and invest – but it’s important that consumers are not being sold products with misleading claims.

""We are ensuring consumers are protected, while also supporting innovation of the cryptoasset market.”

On Monday January 24, US market analysts warned that the rise in inflation could see the US Federal Open Market Committee take faster, earlier action in coming months to tighten US monetary policy – prompting fears in traditional and cryptocurrency markets to take hold in another huge sell-off.

Cryptocurrency market prices today

With cryptocurrencies often moving in tandem with Bitcoin, Ethereum, the cryptocurrency synonymous with the rising crypto trend of NFTs, was trading down by

more than 11% on Thursday after hitting a new record high of almost $5,000 in early November.

Ethereum’s price has dipped further below its previous $3,000 threshold and was trading at $2,388.18 (£1,779.49) at 11.43am on Thursday, in a further 11.14% fall on the last 24 hours.

The hype surrounding popular memecoin Dogecoin has likewise been fluctuating in recent months as new alt and meme coins have stolen the spotlight.

Dogecoin’s price was trading down by more than 17% on the last 24 hours at $0.11 (£0.08) on Thursday morning.

Shiba Inu coin, the so-called ‘Dogecoin killer’, was trading almost 20% down on the last 24 hours at $0.00002170 (£0.00001620) as of 11.46am on Thursday.

Meanwhile, Cardano’s (ADA) price is fluctuating around $0.76 (£0.57) in 18.56% fall on the last 24 hours, XRP was down 13.19% at $0.64 (£0.47) and Solana was down by 12.7% at $81.20 (£60.60) as of 11.47am on Thursday.

When was the last crypto crash?

In June, the Chinese Government cracked down on considerable crypto mining operations taking place in the Sichuan province and demanded that Chinese banks and payment channels stop supporting decentralised and anonymous crypto transactions.

This saw Bitcoin prices tumble to below $30,000 in a dramatic plummet from its soaring success.

The cryptocurrency has continued to rise and fall as other global administrations and regulators mull legislation to curb increased crypto activity often attributed to laundering and crime.

Following the Chinese state’s move, countries like South Korea also pledged to tackle the rise in money laundering taking place via cryptocurrency, while the Metropolitan Police announced that it had successfully closed in on a huge UK cryptocurrency money-laundering operation.

July saw the Met seize a cryptocurrency operation valued at £180million in the UK’s largest cryptocurrency seizure to date.

Cryptocurrency exchange platforms such as Binance have since been feeling the heat across the world as regulators and governments began to turn the screws on the operations of such platforms in the wake of crypto’s global crackdown.

The result of this saw Bitcoin’s highest prices sliced in half in June, with the coin struggling to break out of the low to mid $30k price range until it received a welcome boost from Tesla CEO Elon Musk in his appearance at major Bitcoin conference in July.

The bullish rise and increased confidence in Bitcoin could see it remain at prices fluctuating between $60,000 and $70,000 in future, but with increased resistance as it lurches further away from a previous $100,000 price prediction for 2022.

A message from the Editor:

Thank you for reading this article. We're more reliant on your support than ever as the shift in consumer habits brought about by coronavirus impacts our advertisers."
2022-03-25 06:26:30+00:00	Bitcoin, crypto market on the rise along with global markets	['Lachlan Keller', 'Author Profile', 'Lachlan Is A Journalist', 'Producer At Forkast Working Melbourne', 'Australia. His Work Can Be Found In Numerous Magazines In Australia On Topics Ranging Culture To Science. Lachlan Holds A Bachelor S Degree In Journalism Macleay College In Australia.']	"After weeks of high volatility, the crypto market is on the rise, showing steady gains over the past week as Bitcoin breached US$44,000 for the first time since March 3.

Ethereum and Solana were among the biggest movers on Friday Asia time, each showing double-digit gains, while market leader Bitcoin is up almost 10%.



Cardano was one of the strongest performers this week, gaining almost 40% to trade at US$1.16 at press time — its highest point since early February. Ethereum Classic led the week with nearly 80% gains.

After a market cap peak at over US$3 trillion last November, a series of global shocks have seen crypto prices drop roughly 40%, though experts tell Forkast that may be on the mend.

“Clearly, there’s been a sentiment shift in crypto markets,” Justin d’Anethan, institutional sales director at Amber Group, told Forkast. “How long it will last remains to be seen but, for now, investors are bolstered by positive news.”



In a major milestone for the industry, banking giant Goldman Sachs conducted its first over-the-counter crypto options trade on Monday, becoming the first major U.S. bank to do so.

Additionally, Terra founder Do Kwon announced it was planning on buying US$10 billion worth of Bitcoin for its reserves in its algorithmic stablecoin ecosystem.

“That kind of news impacts perception of the stability of the asset and the long-term view of it,” said Jonathon Miller. The Australian managing director of crypto exchange Kraken told Forkast that Bitcoin’s perception as a reserve asset is growing for both traditional and crypto companies.

Inflationary concerns remain in the market, Miller said, dismissing concerns Bitcoin had not been behaving as a hedge against this inflation in recent months.

“The hedge narrative for Bitcoin still remains true,” Miller said. “It may not have performed as strongly as some other like gold in the very, very short run. But in the medium to long run, Bitcoin is a very high-performing noncorrelated asset class.”

Macro markets have also begun to improve recently, d’Anethan told Forkast, as investors grow accustomed to the state of geopolitical tensions and the recently announced interest rate hikes from the U.S. Federal Reserve to combat inflation, raising the target range to 0.25% to 0.5%.

“It’s created a risk-on atmosphere where investors are happy to put capital to use rather than standing on the sidelines,” d’Anethan said. “And that definitely includes crypto allocation, both from retail and institutional players.”"
2022-03-14 00:00:00+00:00	Cryptocurrencies in the EU: new rules to boost benefits and curb threats	[]	"On Monday evening, the Economic and Monetary Affairs Committee adopted, with 31 votes to 4 and 23 abstentions, its negotiating position on new rules on crypto-assets. They aim to boost users’ confidence and support the development of digital services and alternative payment instruments.

Key provisions agreed by MEPs for those issuing and trading crypto-assets (including asset-referenced tokens and e-money tokens) cover transparency, disclosure, authorisation and supervision of transactions. Consumers would be better informed about risks, costs and charges. In addition, the legal framework supports market integrity and financial stability by regulating public offers of crypto-assets. Finally, the agreed text includes measures against market manipulation and to prevent money laundering, terrorist financing and other criminal activities.

Environmental threats

To reduce the high carbon footprint of crypto-currencies, particularly of the mechanisms used to validate transactions, MEPs ask the Commission to present MEPs with a legislative proposal to include in the EU taxonomy (a classification system) for sustainable activities any crypto-asset mining activities that contribute substantially to climate change, by 1 January 2025.

MEPs stress that other industries (e.g. the video games and entertainment industry, data centres) also consume energy resources that are not climate-friendly. They call for the Commission to work on legislation addressing these issues across different sectors.

Supervision

MEPs want the European Securities and Markets Authority (ESMA) to supervise the issuance of asset-referenced tokens, whereas the European Banking Authority (EBA) will be in charge of supervising electronic money tokens.

Quote

Stefan Berger (EPP, DE), the lead MEP, said: ""By adopting the MiCA report, the European Parliament has paved the way for an innovation-friendly crypto-regulation that can set standards worldwide. The regulation being created is pioneering in terms of innovation, consumer protection, legal certainty and the establishment of reliable supervisory structures in the field of crypto-assets. Many countries around the world will now take a close look at MiCA.""

Next steps

A decision to enter into negotiations with EU governments on the final shape of the bill was adopted with 33 votes to 25.

Background

Crypto-assets, including cryptocurrencies, are neither issued nor guaranteed by a central bank or a public authority. They are currently out of the scope of EU legislation. This creates risks for consumer protection and financial stability, and could lead to market manipulation and financial crime. The draft legislation differentiates between crypto assets in general, asset referenced tokens (ARTs), also called “stable coins”, and e-money tokens primarily used for payments.

Mechanisms used to validate transactions in crypto-assets have a substantial environmental impact, particularly for proof-of-work mechanisms, requiring a lot of energy and resulting in a high carbon footprint and generating electronic waste. According to most estimates, the energy consumption of Bitcoin equals that of entire small countries."
2022-04-05 17:00:50+00:00	Crypto Market Comes To A Standstill As Sentiment Rolls Into Neutral	[]	"The Crypto market has been fluctuating heavily in the past couple of weeks but with last week’s rally had finally landed into the greed territory. However, as the rally had slowed down and the inevitable market correction had begun, sentiment had begun to shift once again into the negative. This had caused the Fear & Greed Index to reverse out of the greed territory, finally ending in neutral. Now, the market remains at a standstill waiting for the next move.

Crypto Fear & Greed Index In Neutral

The crypto Fear & Greed Index helps map out how investors are feeling towards the market. Currently, it is neither good nor bad which has seen the index languishing in neutral territory. It is important to note that sentiment had driven far into greed as bitcoin had made its way to $47,000 but now, most of that positive sentiment seems to have washed away after bitcoin had made a slight decline that brought it back into the $46,000 region.

Related Reading | Dogecoin Soared After Elon Musk Bought 9.2% Of Twitter, What’s Next?

With bitcoin’s decline, the whole market had naturally taken a tumble along with it. This inevitably brought down the total market cap back into the low $2 trillion. Nevertheless, the market has begun to recover once more, which would explain why the index did not completely slip into the fear region.

Last week, the index had finished in greed, a stark contrast to the extreme fear in which the index had closed the previous month. The current location of the index at a neutral 52 suggests that investors are not making any important moves in the market. Mostly, the buys and sells have been balancing out each other and investors are not moving either way at present.

Related Reading | Bitcoin Exchange Outflows Suggest Rally May Only Be Starting

This is easily understandable given that the market had mostly slowed to a crawl in terms of momentum. Top cryptocurrencies like Bitcoin and Ethereum continue to trend in the same region, struggling to make it above the next significant resistance points. While the rest of the market waits to follow what the market leaders do.

However, since the majority of the market continues to trade in the green, the Fear & Greed is skewed towards greed despite being in the neutral territory. With what looks like another bounce-off point for the crypto market, the index may very well be back in greed before the week runs out.

Market cap at $2.098 trillion | Source: Crypto Total Market Cap on TradingView.com

Featured image from Stears Business, chart from TradingView.com"
2022-03-29 00:00:00+00:00	Bitcoin's rise in value has helped a bullish crypto market cruise past $2 trillion	[]	"As a bleak first quarter draws to a close, crypto seems to have the wind in its sails. It has pushed through the $2 trillion (€1.8 trillion) barrier and is proving surprisingly resilient amid global chaos.

At Monday's high of $47,765 (€42,955), market leader Bitcoin broke above the narrow $34,000-$44,000 (€30,500-€39,500) range it's traded in for most of 2022.

Through a steady grind higher from a low just above $40,000 (€35,972) on March 21, it has gained 18 per cent.

Its comparative steadiness, versus previous performance at least, contrasts with stock markets, traditional currencies and even safe-haven gold, which have been shaken by the Russian invasion of Ukraine as well as the Federal Reserve's tightening.

Bitcoin's jumpiness has waned of late.

Its 30-day volatility is around 4 per cent, about two-thirds the level it was in June 2021, according to futures trading platform Coinglass. The highest this year was 4.56 per cent on March 16.

This measures its deviation from its own standard levels, and bitcoin has still had wild swings, such as a 17 per cent jump on March 1. But it's distinctly tamer than in 2021 when it could move as much as 40 per cent in a day.

By comparison, the tech-heavy Nasdaq has whipsawed 5-6 per cent on numerous days in 2022, and was down 20 per cent for the year as of March 14, before it rallied to cut half that loss.

""The largest conflict we've seen in Europe since World War Two has really rocked global markets,"" said Pierce Crosby, General Manager at charting platform TradingView in New York.

""What we have seen across other major assets is a huge fallout - from both the U.S. equity markets as well as global markets,"" he added.

""Bitcoin has more or less stayed in a pretty tight range ... but actually, in terms of the relative strength, it's very bullish"".

Crypto market worth more than $2 trillion

The total value of the cryptocurrency market rose above $2 trillion (€1.8 trillion) on Friday, according to analytics platform CoinMarketCap. To put that in context, the market briefly hit $3 trillion (€2.7 trillion) on November 10, when bitcoin reached $69,000 (€62,000).

The meandering climb back above $2 trillion (€1.8 trillion) has been slow and has also been helped by a mushrooming in coins and tokens - the number CoinMarketCap counts has risen by almost 5,000 since November to stand at 18,511 cryptocurrencies.

Bitcoin's market capitalisation has reached $902 billion (€812.5 billion), but it still has a ways to go to reclaim the $1 trillion (€900 million) it commanded in November. While still the dominant crypto, its market share has also fallen gradually from as much as 70 per cent of the total capitalisation in early 2021 to 42 per cent now.

What lies ahead?

Many a crypto investor has thought they could divine bitcoin's direction before the fickle cryptocurrency left them sprawled in the financial dust.

""Although bitcoin is remaining strong in the short term, rising oil prices increase the likelihood of a recession over the coming year or so,"" said Marcus Sotiriou, analyst at UK-based digital asset broker GlobalBlock.

""Oil has increased by around 25 per cent in the past six days alone, and bitcoin bulls will want to see this tail off for continued strength"".

That said, certain other technical factors are pointing to Bitcoin bullishness.

Funding rates, which measure the cost of holding Bitcoin via futures, have turned marginally positive after being negative for most of this year, indicating investors are prepared to pay to be long.

It stands at 0.003 per cent on analytics platform CryptoQuant, though still below a peak of 0.06 per cent hit in October.

Coinglass's longs-to-shorts ratio has also climbed from 0.95 on March 20 to 1.1, the highest level in at least four weeks.

Blockchain data provider Chainalysis said an increasing proportion of bitcoin – nearly 60 per cent of total supply – was being held for longer than 52 weeks, up from 54.72 per cent in the last 25 weeks.

Yet Ashwath Balakrishnan, vice president of research at Delphi Digital in Bengaluru, cautioned that it was difficult to identify a lasting market direction.

""Everyone's a little cautious,"" he said. ""If [Bitcoin] rejects off of $46k [€41,441] and goes back down then it probably means we're stuck with range-bound conditions for at least another month or so""."
2022-02-24 06:19:39+00:00	Crypto Markets Dump $200B as Russia Begins Military Action in Ukraine	[]	"The total cryptocurrency market capitalization has slumped more than 8% over the past 12 hours or so as Russia commences military action in Ukraine.

Around $200 billion has left the digital asset space over the past 12 hours resulting in a massive market slump which has dropped total market capitalization to a seven-month low.

At the time of press, the total market cap was around $1.64 trillion according to CoinGecko, its lowest level since early August 2021. The selloff escalated around 12 hours ago as news broke that Russia had engaged in military action against Ukrainian targets.

Sponsored Sponsored

Russian President Vladimir Putin announced a military operation in Ukraine early Thursday and explosions have been reported in several cities. ZeroHedge also reported that Moscow has suspended trading on the Russian stock markets and bourses across Asia are slumping at the moment as the specter of war becomes a reality.

Crypto assets in the red

Cryptocurrencies have been hit particularly hard as the market selloff accelerates. Bitcoin has tanked 8.6% on the day and was trading at $34,725 at the time of writing, its lowest level since the dip on January 24.

BTC is currently 49% down from its November all-time high as it compounds the 21% it has dumped over the past seven days. The world’s leading cryptocurrency is playing the pied piper again as all of those below it have tanked even harder.

Sponsored Sponsored

Ethereum has shed a painful 10% on the day with ETH prices dumping to $2,382 at the time of writing. This is the lowest the asset has fallen to since Jan. 24 and it is on track to drop to a seven-month low.

The rest of the crypto market is a sea of red at the moment with Binance Coin (BNB), Ripple (XRP), Solana (SOL), and Cardano (ADA) slumping between 9 and 13 percent. The only tokens in the green at the moment are stablecoins.

Gold prices spike

Gold is one of the few commodities that have increased in value at the moment, and this is usually the case with store of value assets during times of turmoil. The spot price of gold spiked to $1,948/oz a few hours ago, its highest level since early January 2021.

Sponsored Sponsored"
