Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2020-02-01,9392.875,25922656496,183.6739501953125,11569697182,0.019063999876379967,1346616386,18.218320846557617,238461925,0.24145500361919403,1592451417,0.0024220000486820936,78730830,0.056092001497745514,110646744,,,,,70.82001495361328,6009767449,1.0,1,5,True,False,True,False
2020-02-02,9344.365234375,30835736946,188.61753845214844,14054425389,0.01913600042462349,1482162206,18.448184967041016,256209045,0.25073400139808655,2477130012,0.0024679999332875013,91552515,0.055768001824617386,161454527,,,,,70.2315444946289,5482993030,1.0,2,6,True,False,True,False
2020-02-03,9293.521484375,30934096509,189.8650665283203,12392875241,0.019217999652028084,1419005610,18.46275520324707,227749150,0.254626989364624,2156814065,0.0024399999529123306,78856631,0.05697900056838989,106658349,,,,,69.78022003173828,4965069690,1.0,3,0,False,False,True,False
2020-02-04,9180.962890625,29893183716,189.25059509277344,11714191695,0.01926100067794323,1407881433,18.177366256713867,213533737,0.26680800318717957,2900951896,0.0025029999669641256,89790002,0.05599600076675415,108933031,,,,,68.1957778930664,4449652117,1.0,4,1,False,False,True,False
2020-02-05,9613.423828125,35222060874,204.23023986816406,14865434435,0.02077599987387657,1511971143,19.215049743652344,301486499,0.2774679958820343,3332447611,0.0025820001028478146,105741619,0.059230998158454895,138149931,,,,,72.49310302734375,5169585841,1.0,5,2,False,False,False,False
2020-02-06,9729.8017578125,37628823716,212.33908081054688,16425589683,0.02253499999642372,1944165321,20.59526252746582,394704716,0.2822139859199524,3079150333,0.002652999944984913,108711614,0.05975700169801712,136652023,,,,,73.38868713378906,5463272394,1.0,6,3,False,False,False,False
2020-02-07,9795.943359375,34522718159,222.72605895996094,16673443564,0.022060999646782875,1757671584,22.062257766723633,485529457,0.2792840003967285,2372731517,0.002768999896943569,130273878,0.059790000319480896,132154530,,,,,74.35611724853516,5051951258,1.0,7,4,False,False,False,False
2020-02-08,9865.119140625,35172043762,223.14651489257812,16741203125,0.021851999685168266,1566606336,21.782419204711914,376067881,0.2772429883480072,2380993304,0.0031590000726282597,203803814,0.05994400009512901,135969080,,,,,76.46756744384766,5496860399,1.0,8,5,True,False,False,False
2020-02-09,10116.673828125,35807884663,228.5785675048828,15031356241,0.022034000605344772,1466737554,24.308561325073242,523664695,0.28245699405670166,2343599758,0.0032319999299943447,218861527,0.0618089996278286,137945919,,,,,77.09258270263672,5145711108,1.0,9,6,True,False,False,False
2020-02-10,9856.611328125,39386548075,223.522705078125,16210008511,0.02222900092601776,1587320613,25.21831512451172,730144278,0.2740800082683563,2403459577,0.002985999919474125,195582003,0.06039400026202202,137083309,,,,,74.33509826660156,5373709984,1.0,10,0,False,False,False,False
2020-02-11,10208.236328125,37648059389,235.8511962890625,16964695963,0.022679999470710754,1519186217,25.63740348815918,567226060,0.2801409959793091,2383677083,0.0030410001054406166,169747135,0.06322800368070602,203550299,,,,,76.59739685058594,4742120918,1.0,11,1,False,False,False,False
2020-02-12,10326.0546875,43444303830,265.4061279296875,24545049386,0.024015000090003014,1699116541,26.46676254272461,492328618,0.3043929934501648,4092541037,0.0030930000357329845,181406960,0.06837300211191177,220517194,,,,,81.29744720458984,5701884854,1.0,12,2,False,False,False,False
2020-02-13,10214.3798828125,49356071373,268.0992431640625,25801317504,0.023858999833464622,2007884210,25.440099716186523,463998187,0.3267059922218323,6473779289,0.003025999991223216,168543942,0.0685809999704361,251519041,,,,,80.40342712402344,6579062946,1.0,13,3,False,False,False,False
