,Ratio de Sharpe,beta
Anticor,0.6880480560985389,1.003356810386722
BAH,0.9523605460349035,1.0192933412193237
BCRP,1.4845479061721174,1.165256703843334
BestMarkowitz,1.4832696903528013,1.1188411123345687
BestSoFar,0.9278530997708611,1.1783105786036019
BNN,1.2140039628633672,0.5569426980308965
CORN,1.138347723331503,0.8238985895859041
CRP,0.9841337292513934,1.0
CWMR,0.19385494137835418,0.9866226931088639
DynamicCRP,0.30798724459399224,1.0481624060622368
EG,0.9820864963470577,1.0008455827883163
OLMAR,0.31190164100793916,0.9807114016036151
ONS,0.9878666165815236,0.962892332215297
PAMR,0.19778682333263933,0.9852362781218005
RMR,0.07875463489647141,1.0123026702511742
