Date	Date
2017-01-03	25
2017-01-04	37
2017-01-05	32
2017-01-06	44
2017-01-07	19
2017-01-08	17
2017-01-09	30
2017-01-10	28
2017-01-11	32
2017-01-12	30
2017-01-13	32
2017-01-14	17
2017-01-15	16
2017-01-16	28
2017-01-17	30
2017-01-18	32
2017-01-19	30
2017-01-20	35
2017-01-21	17
2017-01-22	16
2017-01-23	30
2017-01-24	30
2017-01-25	32
2017-01-26	35
2017-01-27	27
2017-01-28	17
2017-01-29	16
2017-01-30	39
2017-01-31	40
2017-02-01	32
2017-02-02	30
2017-02-03	27
2017-02-04	17
2017-02-05	16
2017-02-06	30
2017-02-07	29
2017-02-08	31
2017-02-09	32
2017-02-10	27
2017-02-11	17
2017-02-12	16
2017-02-13	28
2017-02-14	29
2017-02-15	29
2017-02-16	31
2017-02-17	30
2017-02-18	17
2017-02-19	14
2017-02-20	19
2017-02-21	32
2017-02-22	33
2017-02-23	36
2017-02-24	29
2017-02-25	15
2017-02-26	7
2017-02-27	26
2017-02-28	30
2017-03-01	35
2017-03-02	29
2017-03-03	35
2017-03-04	17
2017-03-05	14
2017-03-06	29
2017-03-07	27
2017-03-08	28
2017-03-09	29
2017-03-10	41
2017-03-11	17
2017-03-12	16
2017-03-13	28
2017-03-14	30
2017-03-15	28
2017-03-16	30
2017-03-17	18
2017-03-18	19
2017-03-19	15
2017-03-20	29
2017-03-21	27
2017-03-22	28
2017-03-23	27
2017-03-24	22
2017-03-25	17
2017-03-26	16
2017-03-27	27
2017-03-28	31
2017-03-29	21
2017-03-30	29
2017-03-31	29
2017-04-01	18
2017-04-02	16
2017-04-03	27
2017-04-04	29
2017-04-05	29
2017-04-06	25
2017-04-07	28
2017-04-08	17
2017-04-09	16
2017-04-10	31
2017-04-11	31
2017-04-12	31
2017-04-13	31
2017-04-14	27
2017-04-15	17
2017-04-16	16
2017-04-17	28
2017-04-18	29
2017-04-19	33
2017-04-20	30
2017-04-21	31
2017-04-22	13
2017-04-23	11
2017-04-24	24
2017-04-25	33
2017-04-26	31
2017-04-27	28
2017-04-28	30
2017-04-29	17
2017-04-30	16
2017-05-01	31
2017-05-02	30
2017-05-03	32
2017-05-04	30
2017-05-05	27
2017-05-06	17
2017-05-07	13
2017-05-08	35
2017-05-09	33
2017-05-10	31
2017-05-11	29
2017-05-12	32
2017-05-13	17
2017-05-14	16
2017-05-15	28
2017-05-16	33
2017-05-17	29
2017-05-18	23
2017-05-19	22
2017-05-20	18
2017-05-21	15
2017-05-22	88
2017-05-23	72
2017-05-24	32
2017-05-25	23
2017-05-26	25
2017-05-27	17
2017-05-28	16
2017-05-29	20
2017-05-30	31
2017-05-31	30
2017-06-01	27
2017-06-02	26
2017-06-03	17
2017-06-04	12
2017-06-05	23
2017-06-06	38
2017-06-07	20
2017-06-08	30
2017-06-09	31
2017-06-10	17
2017-06-11	17
2017-06-12	28
2017-06-13	32
2017-06-14	31
2017-06-15	29
2017-06-16	28
2017-06-17	17
2017-06-18	13
2017-06-19	27
2017-06-20	27
2017-06-21	30
2017-06-22	29
2017-06-23	29
2017-06-24	17
2017-06-25	11
2017-06-26	29
2017-06-27	28
2017-06-28	24
2017-06-29	31
2017-06-30	30
2017-07-01	18
2017-07-02	16
2017-07-03	18
2017-07-04	17
2017-07-05	24
2017-07-06	23
2017-07-07	23
2017-07-08	16
2017-07-09	16
2017-07-10	28
2017-07-11	30
2017-07-12	27
2017-07-13	28
2017-07-14	27
2017-07-15	17
2017-07-16	17
2017-07-17	31
2017-07-18	28
2017-07-19	29
2017-07-20	31
2017-07-21	27
2017-07-22	11
2017-07-23	8
2017-07-24	28
2017-07-25	35
2017-07-26	46
2017-07-27	45
2017-07-28	28
2017-07-29	15
2017-07-30	9
2017-07-31	25
2017-08-01	54
2017-08-02	28
2017-08-03	28
2017-08-04	33
2017-08-05	15
2017-08-06	10
2017-08-07	30
2017-08-08	37
2017-08-09	40
2017-08-10	36
2017-08-11	26
2017-08-12	5
2017-08-13	9
2017-08-14	22
2017-08-15	32
2017-08-16	28
2017-08-17	26
2017-08-18	29
2017-08-19	15
2017-08-20	11
2017-08-21	26
2017-08-22	20
2017-08-23	29
2017-08-24	25
2017-08-25	24
2017-08-26	16
2017-08-27	10
2017-08-28	28
2017-08-29	36
2017-08-30	35
2017-08-31	22
2017-09-01	24
2017-09-02	7
2017-09-03	4
2017-09-04	13
2017-09-05	36
2017-09-06	28
2017-09-07	19
2017-09-08	27
2017-09-09	7
2017-09-10	2
2017-09-11	21
2017-09-12	25
2017-09-13	26
2017-09-14	24
2017-09-15	38
2017-09-16	2
2017-09-17	2
2017-09-18	20
2017-09-19	21
2017-09-20	23
2017-09-21	18
2017-09-22	28
2017-09-23	3
2017-09-24	3
2017-09-25	17
2017-09-26	25
2017-09-27	26
2017-09-28	21
2017-09-29	25
2017-09-30	5
2017-10-01	3
2017-10-02	14
2017-10-03	21
2017-10-04	15
2017-10-05	18
2017-10-06	19
2017-10-07	6
2017-10-08	2
2017-10-09	15
2017-10-10	29
2017-10-11	20
2017-10-12	22
2017-10-13	21
2017-10-14	7
2017-10-15	5
2017-10-16	25
2017-10-17	25
2017-10-18	23
2017-10-19	27
2017-10-20	27
2017-10-21	2
2017-10-22	2
2017-10-23	20
2017-10-24	24
2017-10-25	25
2017-10-26	19
2017-10-27	20
2017-10-28	2
2017-10-29	3
2017-10-30	18
2017-10-31	25
2017-11-01	26
2017-11-02	23
2017-11-03	17
2017-11-04	6
2017-11-05	4
2017-11-06	22
2017-11-07	18
2017-11-08	32
2017-11-09	20
2017-11-10	17
2017-11-11	2
2017-11-12	4
2017-11-13	21
2017-11-14	22
2017-11-15	22
2017-11-16	24
2017-11-17	21
2017-11-18	3
2017-11-19	2
2017-11-20	25
2017-11-21	17
2017-11-22	16
2017-11-23	9
2017-11-24	8
2017-11-25	3
2017-11-26	6
2017-11-27	16
2017-11-28	91
2017-11-29	23
2017-11-30	15
2017-12-01	26
2017-12-02	6
2017-12-03	4
2017-12-04	17
2017-12-05	23
2017-12-06	21
2017-12-07	15
2017-12-08	22
2017-12-09	3
2017-12-10	11
2017-12-11	25
2017-12-12	25
2017-12-13	27
2017-12-14	21
2017-12-15	27
2017-12-16	8
2017-12-17	5
2017-12-18	17
2017-12-19	24
2017-12-20	36
2017-12-21	25
2017-12-22	40
2017-12-23	7
2017-12-24	10
2017-12-25	4
2017-12-26	6
2017-12-27	17
2017-12-28	19
2017-12-29	21
2017-12-30	15
