Date	Date
2017-12-01	16
2017-12-02	6
2017-12-03	4
2017-12-04	17
2017-12-05	23
2017-12-06	21
2017-12-07	15
2017-12-08	22
2017-12-09	3
2017-12-10	11
2017-12-11	25
2017-12-12	25
2017-12-13	27
2017-12-14	21
2017-12-15	27
2017-12-16	8
2017-12-17	5
2017-12-18	17
2017-12-19	24
2017-12-20	36
2017-12-21	25
2017-12-22	40
2017-12-23	7
2017-12-24	10
2017-12-25	4
2017-12-26	6
2017-12-27	17
2017-12-28	19
2017-12-29	21
2017-12-30	15
2017-12-31	2
2018-01-01	18
2018-01-02	43
2018-01-03	37
2018-01-04	33
2018-01-05	21
2018-01-06	6
2018-01-07	7
2018-01-08	24
2018-01-09	21
2018-01-10	17
2018-01-11	18
2018-01-12	15
2018-01-13	4
2018-01-14	8
2018-01-15	13
2018-01-16	30
2018-01-17	17
2018-01-18	21
2018-01-19	15
2018-01-20	2
2018-01-21	3
2018-01-22	15
2018-01-23	20
2018-01-24	26
2018-01-25	17
2018-01-26	23
2018-01-27	5
2018-01-28	2
