Date	Date
2019-01-05	11
2019-01-06	6
2019-01-07	20
2019-01-08	19
2019-01-09	58
2019-01-10	32
2019-01-11	14
2019-01-12	9
2019-01-13	9
2019-01-14	17
2019-01-15	12
2019-01-16	18
2019-01-17	20
2019-01-18	19
2019-01-19	14
2019-01-20	13
2019-01-21	14
2019-01-22	15
2019-01-23	23
2019-01-24	23
2019-01-25	25
2019-01-26	11
2019-01-27	13
2019-01-28	13
2019-01-29	12
2019-01-30	32
2019-01-31	25
2019-02-01	28
2019-02-02	10
2019-02-03	8
2019-02-04	14
2019-02-05	23
2019-02-06	14
2019-02-07	33
2019-02-08	24
2019-02-09	13
2019-02-10	6
2019-02-11	15
2019-02-12	23
2019-02-13	18
2019-02-14	25
2019-02-15	26
2019-02-16	13
2019-02-17	8
2019-02-18	21
2019-02-19	19
2019-02-20	29
2019-02-21	19
2019-02-22	14
2019-02-23	3
2019-02-24	4
2019-02-25	17
2019-02-26	33
2019-02-27	13
2019-02-28	30
