	Date	User	Tweet
0	2017-12-30 23:21:57+00:00	CoinDesk	China on a Blockchain? Maybe in 2018 https://t.co/5Z88REWMFI https://t.co/Y9Zss7Cj0h
1	2017-12-30 16:23:16+00:00	CoinDesk	What DAO? Charting Ether's Epic 2017 Price Climb https://t.co/qJYQ3FADbL https://t.co/thwnk0hKog
2	2017-12-30 16:18:10+00:00	CoinDesk	Crypto moves fast… https://t.co/U8vLDYwQhP
3	2017-12-30 14:06:18+00:00	CoinDesk	2017: The Year Crypto Became a New Asset Class https://t.co/KB8kumoDXe by @HHorsley https://t.co/xBOU82NBLL
4	2017-12-30 14:00:14+00:00	CoinDesk	The Strait Times – The Taming of Bitcoin https://t.co/7IswssizWW
5	2017-12-30 13:15:28+00:00	CoinDesk	The price of Ripple's XRP token is up just $0.05 on the day after a week of stellar gains: https://t.co/649YHg9YU6 https://t.co/GNZ0JKbd3O
6	2017-12-30 13:14:32+00:00	CoinDesk	The price of ETH just slipped below $700, dropping just over $50 on the day: https://t.co/LvnFeKT5tQ https://t.co/er3S83Yp6S
7	2017-12-30 13:08:20+00:00	CoinDesk	Bitcoin just dropped below $13k, and is down $1.5k on the day's trading: https://t.co/GX49zz1Qkb https://t.co/IeFfRA5Xm9
8	2017-12-30 13:00:14+00:00	CoinDesk	CNBC – 6 Must-Read Books About Bitcoin https://t.co/dqI83qApBf by @ali–montag
9	2017-12-30 12:47:26+00:00	CoinDesk	Blockchain Asset Registries: Entering the Slope of Enlightenment? https://t.co/08zLm6vyJs by @SGabrielaAndra and Juan Ketterer https://t.co/n3a0y4MOpa
10	2017-12-30 11:00:42+00:00	CoinDesk	"Return of the DAOs? 

@TekinSalimi predicts the three-letter word will return in 2018: https://t.co/jFLAhaZtYT"
11	2017-12-30 09:00:23+00:00	CoinDesk	Nikkei – 'Mr. Watanabe' Hit Hard By Bitcoin Crash, But Not Losing Heart https://t.co/5OPOgIXqJi by @konakira
12	2017-12-30 07:00:17+00:00	CoinDesk	"zk-what? 

@iamSamsterdam believes this crypto tech is a key ingredient to better supply chains: https://t.co/Mw8e3k6slI"
13	2017-12-30 03:00:00+00:00	CoinDesk	"A solution to wealth disparity? 

Financial crime attorney @cduhaime sees a bright future, but troubled 2018, for ICOs: https://t.co/uFAo5qDXp4"
14	2017-12-30 00:02:38+00:00	CoinDesk	2017 Review: What Bankers Think of Bitcoin https://t.co/9gQSBohFKq https://t.co/XUAHGGdeQN
15	2017-12-29 23:00:21+00:00	CoinDesk	"The suits return? But to a decentralized business? 

@cduhaime, @TekinSalimi, @CaitlinLong_ chart crypto's future in CoinDesk's #2017inReview: https://t.co/sHvKX00v68 https://t.co/c3bTPrKQuU"
16	2017-12-29 21:12:57+00:00	CoinDesk	The price of XRP is now over $2, up more than 50% on the day: https://t.co/RhECAjU0kh https://t.co/BLqD1t9mLr
17	2017-12-29 21:11:53+00:00	CoinDesk	With today's XRP price rise, this Ripple-R3 lawsuit is now for over $10 billion in cryptocurrency funds: https://t.co/9sQcbdYfbC
18	2017-12-29 19:17:27+00:00	CoinDesk	Blockchain in Healthcare: 2017's Successes https://t.co/KztitA07gX by @kkuzmesk https://t.co/2GRWI76A35
19	2017-12-29 19:00:01+00:00	CoinDesk	Delaware County Daily Times – Letter to the Editor: Bitcoin? Blockchain? It’s a Cryptomystery to me  https://t.co/Bv7LBaDaxX
20	2017-12-29 18:03:57+00:00	CoinDesk	Indian Finance Ministry: Cryptocurrencies Are 'Like Ponzi Schemes' https://t.co/5uHHbG8lV6 https://t.co/FCJrjaYsbA
21	2017-12-29 17:06:28+00:00	CoinDesk	Avoiding Digital Feudalism Built on Blockchains https://t.co/0bTOZ04AQ4 https://t.co/wj0Whza2ij
22	2017-12-29 17:00:02+00:00	CoinDesk	"Private blockchains solve data privacy? 

Not so, according to team @ChronicledInc, in CoinDesk's #2017inReview: https://t.co/6zXMZ8ecj0"
23	2017-12-29 15:41:08+00:00	CoinDesk	Ripple Approaching $2 as XRP Price Doubles in Weekly Trading https://t.co/piIWX9CJNz https://t.co/GoUvWUWPrS
24	2017-12-29 15:00:12+00:00	CoinDesk	"Significant upheaval? More scrutiny? 

@cduhaime lays out a tough 2018 for ICOs in CoinDesk's #2017inReview: https://t.co/e26VkoEzKU"
25	2017-12-29 14:00:01+00:00	CoinDesk	"What is the ""communal business model?"" 

@TekinSalimi argues tokens could unlock a productivity revolution in CoinDesk's #2017inReview: https://t.co/HqLOmHnaNX"
26	2017-12-29 13:32:07+00:00	CoinDesk	From $900 to $20,000: Bitcoin's Historic 2017 Price Run Revisited https://t.co/XUuBu6lhYX https://t.co/UPnjNYVEso
27	2017-12-29 13:00:09+00:00	CoinDesk	"More regulation, less innovation? 

@jp_koning charts 2018's trajectory for blockchain in central banks for CoinDesk's #2017inReview https://t.co/coSfkY8meR"
28	2017-12-29 12:13:08+00:00	CoinDesk	Bitcoin or Blockchain? Bet That Both Will Thrive in 2018 https://t.co/mNLp4sTlAM by @CaitlinLong_ https://t.co/woD8TFVFrb
29	2017-12-29 09:00:08+00:00	CoinDesk	"""2017 was all about replicating Wall Street’s infrastructure around crypto.""

@_jillruth offers crypto a critique in CoinDesk's #2017inReview: https://t.co/9resnCy9O2"
30	2017-12-29 07:00:24+00:00	CoinDesk	"""2018 is not a make it or break it year for bitcoin.""

– @NotASithLord joins CoinDesk's #2017inReview https://t.co/KnfBXQIwWF"
31	2017-12-29 05:30:13+00:00	CoinDesk	"Central bankers holding bitcoin? 

@jp_koning argues it's a pipe dream in 2018: https://t.co/JnNDHAiH98"
32	2017-12-29 04:06:20+00:00	CoinDesk	Back at $15k? Not quite. Bitcoin price hits $14,997 before bouncing lower https://t.co/cTdLvbk0mQ
33	2017-12-29 04:03:43+00:00	CoinDesk	Crypto Exchange Poloniex to Impose Customer ID Requirements https://t.co/akCpCxeGmT https://t.co/cZKxc1L7qX
