	Date	User	Tweet
0	2018-01-28 11:29:06+00:00	CoinDesk	Latest Zcash Ceremony Took Chernobyl Nuclear Waste to 3,000 Feet https://t.co/sTlrXySm17 https://t.co/m8dYdmZeU3
1	2018-01-28 09:15:31+00:00	CoinDesk	The Periodic Table of Blockchain: How to Classify Tokens https://t.co/Pe8Bbi8LQd https://t.co/mpVcSBgaBg
2	2018-01-27 23:49:00+00:00	CoinDesk	"BREAKING: Tether Confirms Its Relationship With Auditor Has 'Dissolved'
https://t.co/lzMSZZMWMp"
3	2018-01-27 22:46:43+00:00	CoinDesk	"Clarification: statement says Tether's relationship with Friedman ""has dissolved."" Statement is vague about who broke up with who. Story coming $USDT"
4	2018-01-27 22:33:27+00:00	CoinDesk	"Breaking: Tether has ""dissolved"" relationship with auditor Friedman LLP, according to spokesperson for the company behind $USDT token. Story to come."
5	2018-01-27 12:36:54+00:00	CoinDesk	A Haven for Blockchain: The Case for Wyoming https://t.co/PpxEshOg4C https://t.co/aYziO1IPzE
6	2018-01-27 11:06:34+00:00	CoinDesk	The Opportunity for Interoperable Chains of Chains https://t.co/VAVruQUqkc https://t.co/ZBnm9TEezl
7	2018-01-26 23:06:34+00:00	CoinDesk	"Numbers or Not, Coincheck Isn't Another Mt. Gox
 https://t.co/trGrBLmhGz"
8	2018-01-26 21:44:30+00:00	CoinDesk	Starbucks Chairman Is Hot on Blockchain, Cold on Bitcoin https://t.co/WQsIHf5qfv https://t.co/2VJoOUiCgt
9	2018-01-26 19:32:55+00:00	CoinDesk	Roubini Doubles Down on Crypto Criticism, Calls Blockchain 'Overhyped' https://t.co/ni0RifAwi1 https://t.co/J427M1SvtH
10	2018-01-26 18:32:39+00:00	CoinDesk	Philippines Securities Regulator Orders Halt to ICO https://t.co/6Fx3eBTzqc https://t.co/W4NiyMHbYL
11	2018-01-26 17:11:43+00:00	CoinDesk	Vitalik: First Part of Ethereum's Sharding Roadmap Is Nearly Done https://t.co/V6gfFSc987 https://t.co/QOi7ffJGjZ
12	2018-01-26 16:13:57+00:00	CoinDesk	"2/2 ""We’re helping with tagging the stolen XEM and we’re relaying the affected addresses to exchanges."" -- NEM team (XEM is the name of the token)"
13	2018-01-26 16:13:15+00:00	CoinDesk	"""We will not hard fork to restore funds. The NEM blockchain is a transparent immutable ledger."" -- statement from NEM team 1/2"
14	2018-01-26 16:12:09+00:00	CoinDesk	Coincheck Confirms Crypto Hack Loss Larger than Mt Gox https://t.co/pecPNOUr27 https://t.co/vImLoCAdJz
15	2018-01-26 15:47:18+00:00	CoinDesk	Bloomberg’s @ynakamura56 reporting live from @coincheckjp press conference https://t.co/zpeWIJCrCr
16	2018-01-26 15:45:21+00:00	CoinDesk	Back at $1,500: Bitcoin Cash Could See Further Dip https://t.co/7PvB1WFH0o https://t.co/vBascH4rdg
17	2018-01-26 15:20:56+00:00	CoinDesk	Nikkei on @coincheckjp: “Not determined” when trading might resume at Japan-based exchange https://t.co/i9X9Ygn6Rm
18	2018-01-26 15:18:09+00:00	CoinDesk	"Nikkei on @coincheck_en: ""Illegal transfers announced 58 billion yen. Compensation is now under consideration.” https://t.co/c0zb20YaX7"
19	2018-01-26 13:41:50+00:00	CoinDesk	Bitcoin Price Seeks Direction as Trading Range Narrows https://t.co/UGGSLBWg2s https://t.co/jcKnB3kwhB
20	2018-01-26 13:22:59+00:00	CoinDesk	EXCLUSIVE: Wall Street Vets Raise $50 Million for Crypto Fund of Funds https://t.co/hTk5Urf16n https://t.co/1jMJDiwSXa
21	2018-01-26 12:34:04+00:00	CoinDesk	Japan's Coincheck Exchange Suspends Cryptocurrency and Yen Withdrawals https://t.co/r7yttOU1Qt https://t.co/otEKSgyVDl
22	2018-01-26 12:01:35+00:00	CoinDesk	Brisbane Airport to Launch In-Terminal Cryptocurrency Payments https://t.co/BvzF8s7bj5 https://t.co/iCrCUc8Af8
23	2018-01-26 11:10:50+00:00	CoinDesk	Chinese Finance Association Cautions on Overseas ICOs and Crypto Trading https://t.co/BJ8YONuM7F https://t.co/sITPQZvrFw
24	2018-01-26 10:02:46+00:00	CoinDesk	ICE Exploiting Blockchain to Expose Crypto Use in Drug Trafficking https://t.co/AagjcmodXM https://t.co/kw27dS5uqc
25	2018-01-26 09:09:34+00:00	CoinDesk	PBoC Official Pushes for Centralized State Digital Currency https://t.co/FZaqEVSe3o https://t.co/eaeMnWFeAO
26	2018-01-26 07:04:24+00:00	CoinDesk	Coinbase's GDAX Links Up With Trading Software Provider https://t.co/KiHku8ksPo https://t.co/9KY46ybdHq
27	2018-01-26 05:30:16+00:00	CoinDesk	a16z Podcast: Mental Models for Understanding Crypto Tokens https://t.co/9OclrE5nCL
28	2018-01-26 05:04:31+00:00	CoinDesk	Bitcoin’s Lightning Network Has a Problem: People Are Already Using It https://t.co/JCnxYxMewp https://t.co/EfetHrcCJy
29	2018-01-26 03:00:12+00:00	CoinDesk	Bloomberg – Ripple Wants XRP to Be Bitcoin for Banks. If Only the Banks Wanted It https://t.co/6HeaPoFvIy by @mattleising and @EddieRob235
30	2018-01-25 22:21:40+00:00	CoinDesk	Bitcoin Startup BitGo to Buy Asset Custodian https://t.co/uOPhVo178O https://t.co/h8xzZWZheZ
31	2018-01-25 21:16:41+00:00	CoinDesk	Bitcoin Takes the Stage at Davos in Currency Panel Debate https://t.co/a7W59xdJUF https://t.co/rjCLfHAsVo
32	2018-01-25 20:17:52+00:00	CoinDesk	Lawmaker Says 'Tennessee Is Ready for Blockchain' at Bill Hearing https://t.co/C6x2IriCxM https://t.co/xHG2BnbtMi
33	2018-01-25 18:01:58+00:00	CoinDesk	May, Lagarde, Mnuchin: World Leaders Are Talking Crypto at Davos https://t.co/vpJigtqhut https://t.co/ZeWrcbgrRw
34	2018-01-25 17:22:32+00:00	CoinDesk	Bitcoin Won't Cause Lehman-Style Meltdown, Says MAS Fintech Chief https://t.co/TXlJh8jc5g https://t.co/qBAc4zj7CU
35	2018-01-25 16:27:55+00:00	CoinDesk	Wyoming Lawmakers Want Exemptions for ICO Utility Tokens https://t.co/a2DACfhIZG https://t.co/b0jLSxilMN
36	2018-01-25 16:02:45+00:00	CoinDesk	BREAKING: 'Micro' Finance Giant Robinhood Makes Big Bet on Bitcoin Trading https://t.co/gkIvfW0Tyn https://t.co/AdraO3hQOQ
37	2018-01-25 15:20:07+00:00	CoinDesk	Security Firm Guardtime Unveils Crypto Asset Storage Product https://t.co/O8CGMEwSgt https://t.co/DNsgRJkIfn
38	2018-01-25 14:02:46+00:00	CoinDesk	Why a $39 Million ICO Chose Stellar Over Ethereum https://t.co/gMrG6bZ4Y3 https://t.co/vcx5bULs3M
39	2018-01-25 13:01:48+00:00	CoinDesk	Bitcoin Dev Jimmy Song Is Now a Blockchain Capital Partner https://t.co/p3akV3Yar8 https://t.co/rc0wmx1CMY
40	2018-01-25 12:56:23+00:00	CoinDesk	Bitcoin Bull Reversal Sighted, But Momentum Proves Weak https://t.co/3I6LQnSghb https://t.co/o2N7ClWRpO
41	2018-01-25 12:31:27+00:00	CoinDesk	BREAKING: Former Ripple Exec Invests $57.5 Million in Digital Money Platform Uphold https://t.co/199CzeIuNo https://t.co/u5RVdhPxxv
42	2018-01-25 11:31:34+00:00	CoinDesk	SEC, CFTC Chiefs Eye Closer Scrutiny of US Cryptocurrency Industry https://t.co/1HH2KaC1Yu https://t.co/U7y8YA7xZ1
43	2018-01-25 10:48:08+00:00	CoinDesk	Arsenal Football Club to Promote iGaming Firm ICO https://t.co/SL0s7tHMrK https://t.co/3tdTRrR4Vm
44	2018-01-25 09:29:13+00:00	CoinDesk	Investors File Class Action Against BitConnect Following Abrupt Closure https://t.co/t03kI6FDX5 https://t.co/RTI2JE2YOU
45	2018-01-25 08:35:02+00:00	CoinDesk	Ex-CFTC Commissioner Joins Crypto Exchange as Regulatory Adviser https://t.co/w8qFv6oCjE https://t.co/FQLLKupaRj
