	Date	User	Tweet
0	2021-11-29 23:41:55+00:00	CoinDesk	"Bitcoin led the crypto market to its third straight day of gains, after a steep 8% drop on “Black Friday.” The No. 1 crypto by market cap rose to nearly $59,000 on Monday before it sank toward the $58,000 level again.

@MuyaoShen and @JPRubin23 report

https://t.co/K4IhlLHbWs"
1	2021-11-29 21:57:32+00:00	CoinDesk	"This $10 million yacht is for sale, and its owners will accept $DOGE and NFTs as payment.

@mikeybellusci reports

https://t.co/nOhCGAXxrR"
2	2021-11-29 21:52:13+00:00	CoinDesk	"The @NewYorkFed and @BIS_org are launching an ""innovation center"" to test new fintech tools, including central bank digital currencies, stablecoins and cross-border payments.

@iamsandali reports

https://t.co/YhbMmZHUTD"
3	2021-11-29 21:34:04+00:00	CoinDesk	"Kelly Strategic Management, a firm headed by Kevin Kelly, has filed for an ETF tied to Ether futures. 

@BrandyBetz reports

https://t.co/DrCqaSMwNO"
4	2021-11-29 21:30:43+00:00	CoinDesk	"MARKET WRAP: Bitcoin $BTC bearish sentiment is starting to wane as prices rebound. Analysts expect seasonal strength to continue despite pullbacks. @0x_bae reports.
https://t.co/dMb86rHQRk"
5	2021-11-29 21:28:14+00:00	CoinDesk	"Here's another quiz question to test what you've learned during #CryptoLiteracyMonth: What is the maximum supply of #bitcoin that will ever be created?

Find the answer on https://t.co/yHMYaDyzNy's ""All About Bitcoin"" or take the @crypto_literacy quiz: https://t.co/6NFYo5mpEf https://t.co/dyz231vPDj"
6	2021-11-29 20:58:28+00:00	CoinDesk	"The @BoredApeYC template has created real cultural impact beyond crypto and will have its place in the canon. But it may not always remain king of the mountain, says @lil_smush

Opinion for The Node newsletter.
https://t.co/Ah88MWVDSz"
7	2021-11-29 20:35:03+00:00	CoinDesk	"""Crypto is the third revolution in accounting. Just like the two that came before, it will mean a huge surge forward in new ideas and technologies that we’re only beginning to understand.""

Essay by futurist @Dan_Jeffries1 for ""Future of Money Week""

https://t.co/fvhVlidjw4"
8	2021-11-29 20:26:19+00:00	CoinDesk	"Here's the next question to test what you've learned during #CryptoLiteracyMonth: What is an NFT?

Find the answer on https://t.co/yHMYaDyzNy's ""The Hash"" or take the @crypto_literacy quiz yourself: https://t.co/6NFYo5mpEf https://t.co/romIouH1qS"
9	2021-11-29 20:03:32+00:00	CoinDesk	".@krakenfx said in a blog post that $SHIB will begin trading tomorrow; the popular memecoin surged in trading. 

@mikeybellusci reports.

https://t.co/LBUgA21cPO"
