	Date	User	Tweet
0	2021-10-26 23:00:16+00:00	CoinDesk	"99Pay, the digital wallet of Brazilian ride-hailing company 99, will enable the purchase and sale of bitcoin on its platform. 

@andresengler reports

https://t.co/KhPDfVsj5f"
1	2021-10-26 22:17:17+00:00	CoinDesk	"SCAM ALERT: If you or someone you know received an email like this, it's fake. DON'T SEND ANY MONEY. 

We are a news site, not an exchange. No one “trades with us.” 

There’s no Linda Xie at CoinDesk (the phisher may be impersonating @ljxie). 

Read more: https://t.co/sUbioknitI https://t.co/xg2aQ7M8tg"
2	2021-10-26 22:00:32+00:00	CoinDesk	"“In the next 5-10 years, you’re going to see advisers get really comfortable with moving a lot faster as they begin to trust more in technology,” says @lacey_shrum.

The @smart_kx CEO on how the modernization of billing helps advisers. @TR401 

Listen:  https://t.co/46Uy36jwWF https://t.co/TxT5WuGMrp"
3	2021-10-26 21:59:34+00:00	CoinDesk	"JUST IN: Direxion has filed for a short bitcoin futures ETF with the SEC.

@DirexionLETFs @SECgov

@nikhileshde @realDannyNelson report

https://t.co/kASLyHz9hq"
4	2021-10-26 21:48:26+00:00	CoinDesk	"Leveraged funds on @CMEGroup are raising their bets against bitcoin, possibly to profit from the widening gap between futures and spot market prices.

Watch Chart of the Day, sponsored by @cryptocom: https://t.co/oK4P8K9Ilz https://t.co/EvoU872UTL"
5	2021-10-26 21:46:47+00:00	CoinDesk	"U.S. regulatory bodies have been fighting for authority over crypto – and specifically, stablecoins.

Will a report from the Treasury this week reveal the SEC has won the battle?

Listen:
https://t.co/OMbuaO5Kil https://t.co/Ha9bWC6oW0"
6	2021-10-26 21:25:15+00:00	CoinDesk	"A new survey shows that most crypto users don't fit the mould of crusaders working outside the conventional financial system. 

Opinion @RaphAuer @bis_org and @David_III_L

https://t.co/xaWvhV07rw"
7	2021-10-26 21:01:24+00:00	CoinDesk	"Over the past few years, the industry has assumed ""if only we had an ETF ... everything would be wonderful,"" @lvlewitinn points out.

What happens when these ETFs aren't generating expected interest?

Watch the markets discussion, presented by @Grayscale: https://t.co/18sz9J1zqZ https://t.co/LQ8Qn7qsbA"
8	2021-10-26 20:49:07+00:00	CoinDesk	"Robinhood ($HOOD) shares fell 7% after reporting that its crypto trading revenue in the third quarter declined sharply. 

By @mikeybellusci
https://t.co/5NHCU3LI9V"
9	2021-10-26 20:41:36+00:00	CoinDesk	"MARKET WRAP: Bitcoin is roughly flat over the past 24 hours as blockchain data shows long-term holders are starting to take some profits.

https://t.co/XHl83bb0aC"
