Date	User	Tweet
2020-10-29 13:03:39+00:00	Bloomberg	As #ESG investments grow, so too does the need to set global standards for sustainable finance.  https://t.co/9VrSDs4VQe
2020-10-27 14:12:28+00:00	Bloomberg	Our own Joe McHale, Head of European Government and Regulatory Affairs, has joined the Next Generation Leadership Council, which aims to challenge thinking and provide fresh perspectives on the big strategic issues facing the financial industry. https://t.co/A9TaJRO6mp
2020-10-26 14:55:52+00:00	Bloomberg	For decades, women have fought against bias within finance. In recognition of these challenges, #BloombergNewVoices partnered with @Smithsonian to bring together three trailblazing women to discuss the nuances of working in a male-dominated industry. #BecauseOfHerStory
2020-10-23 14:24:38+00:00	Bloomberg	In a moment when so much is changing so quickly, there’s no doubt that accurate reporting and reliable data are critically important -- as well as journalists with unique experiences and various points of view. #InclusionInAction https://t.co/4iyeNncPFr
2020-10-21 13:25:14+00:00	Bloomberg	At a time when accurate information can save lives, Bloomberg Media Initiative Africa is helping build media capacity in the region. In doing so, we're improving access to the independent data and analysis that can inform policy and public opinion.
2020-10-20 22:03:28+00:00	Bloomberg	A report today about Bloomberg LP ownership is not true.  The company is not for sale.
2020-10-20 13:59:58+00:00	Bloomberg	If you don't include everyone, you don't know what you're missing. #AbilitiesAwarenessMonth #InclusionInAction
2020-10-16 12:00:07+00:00	Bloomberg	The agenda for the four-day, live-streamed event, happening from November 16-19th, will focus on five core topic areas: finance, trade, climate, health and cities. https://t.co/hvvA5Dc7UQ
2020-10-14 13:32:07+00:00	Bloomberg	How it started:            How it's going: https://t.co/uHkPLGpMzg
2020-10-13 18:01:31+00:00	Bloomberg	"""There aren't a lot of companies that can credibly claim to be world-class tech infrastructure builders on par with the cloud giants. But Bloomberg, at the heart of the world's financial system, wouldn't have it any other way."" https://t.co/ajhkSOxSGS"
