	Date	User	Tweet
0	2022-04-21 23:36:57+00:00	CoinDesk	"First Mover Asia: Listed crypto companies have underperformed bitcoins's price moves over the past year. Meanwhile, BTC retreated from $42K after Fed comments. 

@thesamreynolds, @DantesOutlook, @Liqquidity report.

https://t.co/kfbEjyJYmv"
1	2022-04-21 22:43:57+00:00	CoinDesk	"“Clients are doing it away from you. And if they are, they are going to continue to speculate. They're going to continue to trade. They're going to continue to invest without your guidance. None of us as advisers want that.”

🎙""On Purpose"" with @TR401.

https://t.co/KWnTbfiXTl"
2	2022-04-21 22:12:58+00:00	CoinDesk	"“It's very clear that this move has ratcheted up the political game theory around bitcoin mining. It's not as simple as the easy conversations about banning it or not.” 

@NLW covers new sanctions on mining firm BitRiver.

https://t.co/ShKswirxU5"
3	2022-04-21 22:07:02+00:00	CoinDesk	"#Consensus2022 speakers @brianeklein, @sheila_warren and @jerrybrito will join us to speak on regulation and government involvement in the crypto space. 

Register: https://t.co/q52qm4Ng4A https://t.co/4zuv8WAoTn"
4	2022-04-21 22:01:01+00:00	CoinDesk	".@Filecoin is a decentralized storage solution. Open-source and cloud based, Filecoin is a marketplace, protocol and incentive layer. 

The team joins us for Foundations at #Consensus2022 to speak directly with stakeholders about what the future holds.  https://t.co/rleMvGINr9 https://t.co/O2w87Es2rv"
5	2022-04-21 21:13:21+00:00	CoinDesk	"In mainland China, we don't have onshore transactions, says @Hex_Trust's @AleQgl. Yet the same leading players are still Asia-based.

""The blockchain business in Asia is exploding in different perspectives,"" he adds.

Presented by @Nexo: https://t.co/MYFHwIOLoK https://t.co/TrWZFnPowO"
6	2022-04-21 20:57:30+00:00	CoinDesk	"Binance asked to be removed from a crypto romance scam lawsuit that allegedly cost the plaintiff $8 million.

@camlearnscrypto reports. 

https://t.co/W00SH1R2GN"
7	2022-04-21 20:49:17+00:00	CoinDesk	"The @USOCC found that @Anchorage ""failed to adopt"" a Bank Secrecy Act compliance program that met federal rules, according to a consent order published Thursday in which Anchorage neither admits nor denies the regulator's findings.

@nikhileshde reports

https://t.co/OVJ8g5k0PF"
8	2022-04-21 20:46:46+00:00	CoinDesk	"NFT project @theaeternals gamifies the protection of a plot of land in the Amazon rainforest.

@IanAllison123 reports

https://t.co/X8QZP9pk4r"
9	2022-04-21 20:35:08+00:00	CoinDesk	"MARKET WRAP: Bitcoin $BTC pulled back later in the New York trading day after the Fed signaled higher rates, but price indicators are positive over the short term.
https://t.co/M5sCBYZPVT"
10	2022-04-21 20:12:34+00:00	CoinDesk	"Climate-change fighter @GainForestNow is gathering crypto donations on @solana to save Paraguay's rainforests.

@IanAllison123 reports

https://t.co/aoHDnUZdxy"
11	2022-04-21 20:10:42+00:00	CoinDesk	"A general request to call out discrimination when it happens, and a reproach of @Rand0mGuest2's latest article mocking @CryptoFinally.

Opinion by @danielgkuhn for ""The Node"" newsletter.
https://t.co/AKcsInPJxV"
12	2022-04-21 20:00:27+00:00	CoinDesk	"LIVE on ""Community Crypto"": Is hip-hop reshaping the game for crypto?

NFT entrepreneur Cordell Broadus, @jimjonescapo and @DisruptArt's @RobforOHIO join @bitcoinzay on https://t.co/yHMYaDyzNy to explore the impact of hip-hop culture on crypto and NFTs.

https://t.co/aN0uKT5oSE"
13	2022-04-21 19:52:20+00:00	CoinDesk	".@warnerbros is betting on 200,000 Batman NFTs to draw on the Caped Crusader's 83-year history.

""It's a much bigger storytelling play for us than 'let's just drop a bunch of NFTs,'"" says Josh Hackbarth.

He and @preston_woo discuss the collection: https://t.co/aKyD16SQeH https://t.co/2GDC95qyBT"
14	2022-04-21 19:48:44+00:00	CoinDesk	"“My argument is not that [Terra] cannot be stable, my argument is that in order for it to be stable there are a number of assumptions that have to hold,” @ryanjclements said on CoinDesk TV's ""First Mover.""

Story by @_franvela
https://t.co/xYYcvsUCkc"
15	2022-04-21 19:19:27+00:00	CoinDesk	"""If bitcoin moves outside and above that 200-day [moving average] ... you can see that inspiring some additional corporate purchasing and sheet additions,"" says @MXLESQ of @Strategic_Funds.

Watch the markets analysis, presented by @kucoincom: https://t.co/xpovhlcMRX https://t.co/seMDm74eBj"
16	2022-04-21 19:10:43+00:00	CoinDesk	"The Federal Reserve chair spoke on a panel about the global economy presented by the International Monetary Fund. Bitcoin ($BTC) traders were monitoring @HeleneBraunn reports

https://t.co/h2qm77sxT2"
17	2022-04-21 19:00:23+00:00	CoinDesk	"LIVE: Argentinian exchange @lemonapp_ar expands to Brazil amid crypto boom. Co-founder @lemonborja explains its plans.

Plus, altcoins begin to outperform #bitcoin as sentiment improves. CoinDesk's @DantesOutlook joins ""All About Bitcoin"" with an analysis.
https://t.co/63UUKyDCLj"
18	2022-04-21 18:17:32+00:00	CoinDesk	"The @NewYorkFBI has arrested a 37-year-old New York man who allegedly defrauded would-be buyers of crypto mining equipment out of $1.8 million, instead blowing funds on private jet flights, online gambling and lavish parties.

@cheyenneligon reports

https://t.co/Tve7SbZt5P"
19	2022-04-21 18:09:12+00:00	CoinDesk	"With #bitcoin continuing to ascend as German institutions revive hopes of faster mainstream crypto adoption, plus a look at what kind of asset do markets think bitcoin really is, CoinDesk’s Markets Daily is back with the latest news roundup.

Tune in here: https://t.co/4tDIjzfkgH"
20	2022-04-21 18:09:12+00:00	CoinDesk	"Bitcoin $BTC is holding support similar to what occurred in late March before a 16% price rise. Short-term momentum is turning positive.
https://t.co/Fm2Ww8FSNl"
21	2022-04-21 18:09:03+00:00	CoinDesk	"Rap icons and recent NFT converts @MethodMan and @therealredman join the #Consensus2022 music lineup!

Those with Pro and Piranha passes can catch them on Thursday, June 9:
https://t.co/bmvNcq1kDj https://t.co/1fZ9eBUJ6w"
22	2022-04-21 17:15:16+00:00	CoinDesk	"A San Francisco-based tech executive loves his crabbing, and uses the Helium Network to track his crab pots. His homemade tracking devices have saved him thousands of dollars each year in lost crabs and equipment. @LedesmaLyllah reports.
https://t.co/Vff4Vq2RUo"
23	2022-04-21 17:08:07+00:00	CoinDesk	"CoinDesk is seeking a Vice President of Product to lead the company through all its strategic, product and operational decisions as CoinDesk creates a world-class experience for the next generation of investors.

Apply: 
https://t.co/kTAQ5TgHAh https://t.co/Nq5cYYUCFx"
24	2022-04-21 17:02:04+00:00	CoinDesk	"Investing giant @a16z has launched a new crypto research team to work on ""solving the important problems in the space.""

@BrandyBetz reports

https://t.co/tNGj5Ay5FQ"
25	2022-04-21 16:18:43+00:00	CoinDesk	".@binance has tapped former regulators as it strengthens its global surveillance capabilities and aims to comply with regulators around the world. By @camomileshumba

https://t.co/elnb3XgcOJ"
26	2022-04-21 16:01:25+00:00	CoinDesk	"LIVE: @elonmusk confirms $46.5 billion funding to buy @Twitter, @Coinbase in talks to acquire @btcturk and @Binance unveils, and quickly abandons, new Twitter emoji.

""The Hash"" has today's top stories on https://t.co/yHMYaDyzNy: https://t.co/dPBWw0h4Ua"
27	2022-04-21 15:46:57+00:00	CoinDesk	"Several House Democrats wrote an open letter to the Environmental Protection Agency asking it to look at the potential greenhouse gas and pollution impact from crypto mining. @jesseahamilton reports
https://t.co/P3ykSxYdV9"
28	2022-04-21 15:44:25+00:00	CoinDesk	"Australia's financial regulator @APRAinfo said it plans to have crypto regulation in effect by 2025. 
By @JamieCrawleyCD
https://t.co/rGPecXkE9V"
29	2022-04-21 15:22:51+00:00	CoinDesk	"The Government of the Bahamas has published a whitepaper detailing its digital asset strategy until 2026. It includes information on how citizens can pay tax with digital assets. Reporting by @oknightcrypto

https://t.co/1AROM2O1Od"
30	2022-04-21 15:02:57+00:00	CoinDesk	"NEW: @zhusu’s Three Arrows Capital led a $9 million Series A for @NEARProtocol DeFi project @BastionProtocol.

@0x_bae reports

https://t.co/8XtXefWff0"
