,Gold_Close,Gold_Volume,Oil_Close,Oil_Volume,Gas_Close,Gas_Volume,VIX,FED,PMI,Michi,Unemploy
2017-01-03,1160.4000244140625,52.0,55.470001220703125,42688.0,3.3269999027252197,254134.0,12.850000381469727,0.65,54.3,98.5,4.7
2017-01-04,1163.800048828125,36.0,56.459999084472656,27804.0,3.2669999599456787,171528.0,11.850000381469727,0.65,54.3,98.5,4.7
2017-01-05,1179.699951171875,500.0,56.88999938964844,32833.0,3.2730000019073486,208432.0,11.670000076293945,0.65,54.3,98.5,4.7
2017-01-06,1171.9000244140625,16.0,57.099998474121094,24948.0,3.2850000858306885,140075.0,11.319999694824219,0.65,54.3,98.5,4.7
2017-01-07,1171.9000244140625,16.0,57.099998474121094,24948.0,3.2850000858306885,140075.0,11.319999694824219,0.65,54.3,98.5,4.7
2017-01-08,1171.9000244140625,16.0,57.099998474121094,24948.0,3.2850000858306885,140075.0,11.319999694824219,0.65,54.3,98.5,4.7
2017-01-09,1183.5,62.0,54.939998626708984,25860.0,3.1029999256134033,163393.0,11.5600004196167,0.65,54.3,98.5,4.7
2017-01-10,1184.199951171875,8.0,53.63999938964844,33801.0,3.2780001163482666,178594.0,11.489999771118164,0.65,54.3,98.5,4.7
2017-01-11,1195.5999755859375,20.0,55.099998474121094,45944.0,3.2239999771118164,145250.0,11.260000228881836,0.65,54.3,98.5,4.7
2017-01-12,1198.9000244140625,110.0,56.0099983215332,36424.0,3.385999917984009,202396.0,11.539999961853027,0.65,54.3,98.5,4.7
2017-01-13,1195.300048828125,65.0,55.45000076293945,25417.0,3.4189999103546143,155200.0,11.229999542236328,0.65,54.3,98.5,4.7
2017-01-14,1195.300048828125,65.0,55.45000076293945,25417.0,3.4189999103546143,155200.0,11.229999542236328,0.65,54.3,98.5,4.7
2017-01-15,1195.300048828125,65.0,55.45000076293945,25417.0,3.4189999103546143,155200.0,11.229999542236328,0.65,54.3,98.5,4.7
2017-01-16,1195.300048828125,65.0,55.45000076293945,25417.0,3.4189999103546143,155200.0,11.229999542236328,0.65,54.3,98.5,4.7
2017-01-17,1212.0,79.0,55.470001220703125,44899.0,3.4119999408721924,137695.0,11.869999885559082,0.65,54.3,98.5,4.7
2017-01-18,1211.300048828125,114.0,53.91999816894531,40148.0,3.302000045776367,128820.0,12.479999542236328,0.65,54.3,98.5,4.7
2017-01-19,1200.9000244140625,26.0,54.15999984741211,33327.0,3.368000030517578,145476.0,12.779999732971191,0.65,54.3,98.5,4.7
2017-01-20,1204.300048828125,38.0,55.4900016784668,29231.0,3.2039999961853027,138918.0,11.539999961853027,0.65,54.3,98.5,4.7
2017-01-21,1204.300048828125,38.0,55.4900016784668,29231.0,3.2039999961853027,138918.0,11.539999961853027,0.65,54.3,98.5,4.7
2017-01-22,1204.300048828125,38.0,55.4900016784668,29231.0,3.2039999961853027,138918.0,11.539999961853027,0.65,54.3,98.5,4.7
2017-01-23,1215.0,16.0,55.22999954223633,33859.0,3.243000030517578,108564.0,11.770000457763672,0.65,54.3,98.5,4.7
2017-01-24,1210.300048828125,24.0,55.439998626708984,32411.0,3.2790000438690186,99030.0,11.069999694824219,0.65,54.3,98.5,4.7
2017-01-25,1197.300048828125,403.0,55.08000183105469,34247.0,3.3320000171661377,51139.0,10.8100004196167,0.65,54.3,98.5,4.7
2017-01-26,1189.5,19.0,56.2400016784668,45145.0,3.381999969482422,75883.0,10.630000114440918,0.65,54.3,98.5,4.7
2017-01-27,1188.0999755859375,234352.0,55.52000045776367,20964.0,3.3910000324249268,188600.0,10.579999923706055,0.65,54.3,98.5,4.7
2017-01-28,1188.0999755859375,234352.0,55.52000045776367,20964.0,3.3910000324249268,188600.0,10.579999923706055,0.65,54.3,98.5,4.7
2017-01-29,1188.0999755859375,234352.0,55.52000045776367,20964.0,3.3910000324249268,188600.0,10.579999923706055,0.65,54.3,98.5,4.7
2017-01-30,1193.199951171875,50503.0,55.22999954223633,9982.0,3.2320001125335693,135654.0,11.880000114440918,0.65,54.3,98.5,4.7
2017-01-31,1208.5999755859375,3212.0,55.70000076293945,578.0,3.117000102996826,198006.0,11.989999771118164,0.65,54.3,98.5,4.7
2017-02-01,1205.5999755859375,1145.0,55.65999984741211,34772.0,3.1679999828338623,136176.0,11.8100004196167,0.66,55.0,96.3,4.6
2017-02-02,1216.699951171875,1512.0,56.560001373291016,31371.0,3.187000036239624,149327.0,11.930000305175781,0.66,55.0,96.3,4.6
2017-02-03,1218.5,865.0,56.810001373291016,26703.0,3.062999963760376,179658.0,10.970000267028809,0.66,55.0,96.3,4.6
2017-02-04,1218.5,865.0,56.810001373291016,26703.0,3.062999963760376,179658.0,10.970000267028809,0.66,55.0,96.3,4.6
2017-02-05,1218.5,865.0,56.810001373291016,26703.0,3.062999963760376,179658.0,10.970000267028809,0.66,55.0,96.3,4.6
2017-02-06,1230.0,908.0,55.720001220703125,26706.0,3.049999952316284,124252.0,11.369999885559082,0.66,55.0,96.3,4.6
2017-02-07,1234.199951171875,1177.0,55.04999923706055,32659.0,3.130000114440918,177005.0,11.289999961853027,0.66,55.0,96.3,4.6
2017-02-08,1237.5999755859375,288.0,55.119998931884766,44864.0,3.125999927520752,159476.0,11.449999809265137,0.66,55.0,96.3,4.6
2017-02-09,1235.0999755859375,885.0,55.630001068115234,29628.0,3.1410000324249268,162281.0,10.880000114440918,0.66,55.0,96.3,4.6
2017-02-10,1234.4000244140625,391.0,56.70000076293945,30763.0,3.0339999198913574,188162.0,10.850000381469727,0.66,55.0,96.3,4.6
2017-02-11,1234.4000244140625,391.0,56.70000076293945,30763.0,3.0339999198913574,188162.0,10.850000381469727,0.66,55.0,96.3,4.6
2017-02-12,1234.4000244140625,391.0,56.70000076293945,30763.0,3.0339999198913574,188162.0,10.850000381469727,0.66,55.0,96.3,4.6
