Date, PMI
01-12-2016, 54.1
01-01-2017, 54.3
01-02-2017, 55
01-03-2017, 54.2
03-04-2017, 53.3
01-05-2017, 52.8
01-06-2017, 52.7
03-07-2017, 52
01-08-2017, 53.3
01-09-2017, 52.8
02-10-2017, 53.1
01-11-2017, 54.6
01-12-2017, 53.9
02-01-2018, 55.1
01-02-2018, 55.5
01-03-2018, 55.3
02-04-2018, 55.6
01-05-2018, 56.5
01-06-2018, 56.4
02-07-2018, 55.4
01-08-2018, 55.3
04-09-2018, 54.7
01-10-2018, 55.6
01-11-2018, 55.7
03-12-2018, 55.3
02-01-2019, 53.6
01-02-2019, 54.9
01-03-2019, 53
01-04-2019, 52.4
01-05-2019, 52.6
03-06-2019, 50.5
01-07-2019, 50.6
01-08-2019, 50.4
03-09-2019, 50.3
01-10-2019, 51.1
01-11-2019, 51.3
02-12-2019, 52.6
02-01-2020, 52.4
03-02-2020, 51.9
02-03-2020, 50.7
01-04-2020, 48.5
01-05-2020, 36.1
01-06-2020, 39.8
01-07-2020, 49.8
03-08-2020, 50.9
01-09-2020, 53.1
01-10-2020, 53.2
02-11-2020, 53.4
01-12-2020, 56.7
04-01-2021, 57.1
01-02-2021, 59.2
01-03-2021, 58.6
01-04-2021, 59.1
03-05-2021, 60.5
01-06-2021, 62.1
01-07-2021, 62.1
02-08-2021, 63.4
01-09-2021, 61.1
01-10-2021, 60.7
01-11-2021, 58.4
01-12-2021, 58.5
02-01-2022, 57.7
01-02-2022, 55.5
01-03-2022, 57.3
01-04-2022, 58.8
02-05-2022, 59.2
01-06-2022, 57
01-07-2022, 52.7
01-08-2022, 52.2
 

