;Year;Month;Unemployment Rate;;;
;2017;1;4.7;;;
;2017;2;4.6;;;
;2017;3;4.4;;;
;2017;4;4.4;;;
;2017;5;4.4;;;
;2017;6;4.3;;;
;2017;7;4.3;;;
;2017;8;4.4;;;
;2017;9;4.3;;;
;2017;10;4.2;;;
;2017;11;4.2;;;
;2017;12;4.1;;;
;2018;1;4.0;;;
;2018;2;4.1;;;
;2018;3;4.0;;;
;2018;4;4.0;;;
;2018;5;3.8;;;
;2018;6;4.0;;;
;2018;7;3.8;;;
;2018;8;3.8;;;
;2018;9;3.7;;;
;2018;10;3.8;;;
;2018;11;3.8;;;
;2018;12;3.9;;;
;2019;1;4.0;;;
;2019;2;3.8;;;
;2019;3;3.8;;;
;2019;4;3.6;;;
;2019;5;3.6;;;
;2019;6;3.6;;;
;2019;7;3.7;;;
;2019;8;3.7;;;
;2019;9;3.5;;;
;2019;10;3.6;;;
;2019;11;3.6;;;
;2019;12;3.6;;;
;2020;1;3.5;;;
;2020;2;3.5;;;
;2020;3;4.4;;;
;2020;4;14.7;;;
;2020;5;13.2;;;
;2020;6;11.0;;;
;2020;7;10.2;;;
;2020;8;8.4;;;
;2020;9;7.9;;;
;2020;10;6.9;;;
;2020;11;6.7;;;
;2020;12;6.7;;;
;2021;1;6.4;;;
;2021;2;6.2;;;
;2021;3;6.0;;;
;2021;4;6.0;;;
;2021;5;5.8;;;
;2021;6;5.9;;;
;2021;7;5.4;;;
;2021;8;5.2;;;
;2021;9;4.7;;;
;2021;10;4.6;;;
;2021;11;4.2;;;
;2021;12;3.9;;;
;2022;1;4.0;;;
;2022;2;3.8;;;
;2022;3;3.6;;;
;2022;4;3.6;;;
;2022;5;3.6;;;
;2022;6;3.6;;;
;2022;7;3.5;;;
;2022;8;3.5;;;
