Date	Title	Authors	Text
2020-02-29 18:00:29+00:00	Rising Bitcoin dominance may spell the end for altcoin crypto market rally for now	['Joseph Young', 'Chainwire', 'Samuel Wan', 'Andjela Radmilac', 'News Desk']	"The dominance of Bitcoin is on the rise once again, amidst declining momentum in the crypto market.



It puts the so-called “altseason” at risk of a falloff as bearish sentiment ensues.

To read the rest of this article, sign in or join CryptoSlate Edge."
2020-03-12 13:45:54+00:00	3 Reasons For Today’s Monster Crypto Market Crash	[]	"Bitcoin plummeted -29.71% overnight from yesterday’s high of $7967 to a low of $5600 in an epic sell off. The leading crypto has stabilized for the moment at $6065, but we may see further downside price movement as investors panic and a global recession looms.

Crypto Market Sees Catastrophic Losses

Bitcoin has had an apocalyptic sell off in the last 24 hours, while investors in many of the world’s financial markets are panic selling everything as fear and uncertainty from the impact of Coronavirus shakes the world financial markets. Even the safe haven investment of gold is down.

Bitcoin shed $22 billion overnight as investors pulled $68 billion from the crypto markets. In one hour Bitcoin had fallen by 17%. Let’s take a look at 3 major reasons for why the crash happened.

1. Traditional Markets Experience Worst Day Since 2008

Traditional markets are a trainwreck, the Dow Jones and S&P 500 have lost trillions in value in the last week. Bonds are tanking, as the yield curve risks going inverse. Goldman Sachs has declared the bull market over, and Oil has been plummeting due to a price war between Russia and OPEC.

Much of the fear and uncertainty surrounding the impact of Coronavirus on traditional markets has caused a sell off in riskier assets like Bitcoin as traders cover margin calls. The Fed has been increasing repo market operations to the tune of $175 billion per day to provide liquidity. President Trump has called for a huge stimulus plan to reassure the tumbling markets. Wall St. may shut down over fears of infection. We have a black swan impacting every aspect of the economy.

2. Bitcoin Market Cap Drops 50%

Bitcoin lost half its market cap since yesterday. Bitcoin’s market cap was $260 billion yesterday, and today its market cap sits at $110,780,057,889. This is a reduction in market cap of -57.69%. The rest of the crypto markets have fared much worse.

As the flash crash took place altcoin investors saw altcoins fall at an even more accelerated pace than Bitcoin. This caused many investors to flee to Bitcoin pushing Bitcoin dominance 65.3%. Every single coin on the first page of coinmarketcap is in the red at the moment. Other top coins have lost more than Bitcoin. Bitcoin Cash, Bitcoin SV, Ethereum, Binance, Tezos, Link, and many other leading altcoins lost 20-30% in the crash as well.

3. PlusToken Scammers Triggered the Crypto Selling Frenzy

The Plus Token scammers started dumping 13,000 Bitcoin which sparked the initial sell off. We reported on a huge movement of coins from wallets known to be connected to the Plus Token scam over the weekend.

The Plus Token wallets have been dumping around 12,000 Bitcoin per month, and each time they start selling they crash the price of the market. This latest round of Plus Token Bitcoin sales just happened to coincide with the coronavirus black swan event which has been wreaking havoc across the entire global economy. The virus is causing manufacturing in China to run at half capacity and is provoking fears of supply chain disruptions, as well as a global recession. The worst part is that the plus token scammers still have over 60,000 BTC to get rid off, according to blockchain data tracking the wallets containing the stolen funds.

What do you think was the biggest cause for today’s crypto market crash? Let us know in the comments!



Images via Shutterstock"
2020-01-27 18:00:15+00:00	Crypto Market Gains $17 Billion in 48 hours, Are Bulls Back?	[]	"The global crypto market cap has risen over $17 Billion USD in the last 48 hours, driving Bitcoin tantalizingly close to $9,000. Could this be an early indication that the bulls are back?

Has the crypto market turned long-term bullish?

In the last 48 hours, the overall crypto market cap has seen a stunning cash injection of over $17 billion USD. This could be an exciting early indicator that the pendulum of market sentiment has swung back to favor bullish traders. As of this writing, the market currently sits at $246 billion USD, if it can keep this positive momentum and cross the $250 billion USD mark, then this could be a strong reversal signal.

The crypto market has not crossed the $250 billion market cap threshold since last November. This would signal the end of a 7 month bearish decline in market capital, and breathe new life into long positions. The bearish sentiment has been in effect since last July when Bitcoin hit it’s yearly high for 2019 of $14,000 USD.Bitcoin right now, however, is up 5% for the day, and is approaching a price of $9,000 USD.

If the total crypto market cap can cross the $250 billion level, we may see a higher high for the first time since last June.

This could be a hint of the start of an explosive breakout in anticipation of Bitcoin’s halving scheduled to take place in May.

Bitcoin analysts can’t seem to agree on what stage of the market cycle we are in

Bitcoin is a very small, nascent market with a high degree of volatility, so making predictions on price is never easy. In the past week, crypto analysts have predicted a bearish decline which was expected due to the yearly decline in price and volume seen from the Chinese New Years celebrations. However, it seems these predictions did not pan out as expected, and Bitcoin has gone on to have its best January since 2012.

In another price forecast from the last week, several high profile traders, including the legendary Peter Brandt, predicted that the expected Chinese New Years slump would not occur, and that the market could break out in a bullish direction. So far, it seems like they might be on to something.

If the Bitcoin market can continue it’s bullish momentum and cross the $250 Billion mark, it could be the corroborating evidence needed by traders to confirm their bullish suspicions. The looming spectre of Bitcoin’s halving may be having an unseen impact, as institutional investors load up on cheap BTC, as it fluctuates in the heavy accumulation zone of $6000-$8000 reported by Tuur Demeester of Adamant Capital.

If we do see the crypto market make a reversal of the 7 month decline, we can possibly expect to see some fireworks as traders position themselves for front running the hype surrounding Bitcoin’s halving.

Has the market gone bullish, or are we going to see more bearish price action? Let us know in the comments!



Images via Shutterstock, Chart by Coinmarketcap"
2019-11-21 15:54:24+00:00	Bitcoin crashes to $7,500 as crypto market dumps	['Decrypt', 'Daniel Phillips']	"In the last hour, practically the entire cryptocurrency market witnessed a sudden crash, wiping more than $5 billion of the total market capitalization of all cryptocurrencies. As it stands, the global market cap currently sits at $209.2 billion, down from over $222 billion this time yesterday.

Looking at the top 30 cryptocurrencies by market capitalization (barring stablecoins), all except a single outlier are experiencing significant losses. As it stands, Tezos (XTZ) is the only cryptocurrency that has resisted the trend, gaining almost 4%—though this might not be for long.

Among the top 10 cryptocurrencies, Ethereum (ETH), Litecoin (LTC), EOS and Binance Coin (BNB) are all down more than 8%, whereas Bitcoin (BTC) and XRP are down 5.8% and 4% respectively. The value of Bitcoin is rapidly changing, but currently sits at around $7,600—after briefly dropping to under $7,500 following a flash dump.

This continues a week of almost incessant decline from most major cryptocurrencies, with the entire market shrinking by more than 10% in this time. As for the exact cause behind the move, this remains uncertain but is likely linked to Bitcoin breaking below the $8,000 threshold yesterday. After a period of uncertainty owed to recent hacks, Bitcoin and the rest of the market could have either recovered or dropped further—however, it appears to be the latter."
2020-04-10 00:00:00+00:00	News-Driven Peer Co-Movement in Crypto Markets	['Schwenkler', 'Zheng']	"61 Pages Posted: 6 May 2020 Last revised: 7 Sep 2021

Date Written: April 10, 2020

Abstract

When large idiosyncratic shocks hit a cryptocurrency, some of its peers experience unusually large returns of the opposite sign. The co-movement is concentrated among peers that are co-mentioned with shocked cryptos in the news, and that are listed in the same exchanges as shocked cryptos. It is a form of mis-pricing that vanishes after several weeks, giving rise to predictable returns. We propose a profitable trading strategy that exploits this predictability, and explain our results with a slow information processing mechanism. To establish our results, we develop a novel natural language processing technology that identifies crypto peers from news data. Our results highlight the news as a key driver of co-movement among peer assets."
2020-07-27 00:00:00+00:00	Crypto News Roundup for July 27, 2020	[]	By signing up, you will receive emails about CoinDesk product updates, events and marketing and you agree to our terms of services and privacy policy
2020-02-10 16:15:36+00:00	Bitcoin Whale Gives Warning About Inflated Market	[]	"One of the leading traders on Bitfinex and a notable Bitcoin whale has given a warning about the impact of ‘phantom money’ on the market.

How much of cryptocurrency trading is real? By some estimates, only a small fraction of the entire market. A bombshell report in March 2019 found that around 95% of the entire market is fake, as BeInCrypto has previously reported. Since then, exchanges and various exchange data sites have put in stricter reporting standards with metrics like ‘real liquidity.’

Despite these changes, however, one whale claims that the market is still incredibly ‘inflated.’ Joe007 (@J0E007) is a prominent Bitcoin whale in the cryptocurrency world. Often known for topping Bitfinex leaderboards, he’s also been outspoken on rumors in the industry—and often doesn’t hold back criticism.

Sponsored Sponsored

As Bitcoin breaks the $10,000 price point and the entire market rallies, Joe007 criticized the amount of so-called “phantom money” in the market. He writes: “At some point, people would want to cash out their mad gainz only to find no one on the other side of the market. That would be the show.”

You can push the price only so long with fantom money. At some point, people would want to cash out their mad gainz only to find no one on the other side of the market. That would be the show. — Joe007 signals·alerts·funds are scams, all of them (@J0E007) February 9, 2020

Sponsored Sponsored

However, recent metrics seem to contradict Joe007’s claim about this rally being based on the so-called ‘phantom money.’ On-chain investor activity has increased significantly parallel to this rally, as also reported by BeInCrypto. This didn’t happen when Bitcoin broke $10,000 in the summer of 2019, so there’s no reason to believe that this rally is less legitimate than others.

Joe007 is known for stirring the pot on Twitter and causing controversy. For example, last month Joe007 claimed that Binance was outright faking their numbers. He’s also taken issue with Huobi and OKEx faking their reported trading stats as well. A known critic of Bitcoin SV (BSV), Joe007 has also said that BSV delistings may have helped the coin ‘scam pump’ much easier due to low liquidity.

Sponsored Sponsored

Whether or not Joe007 is correct about the cryptocurrency market’s current rally remains to be seen. As of now, Bitcoin has dropped down under the $10,000 price point and is currently trading at around $9,800."
2020-01-02 20:15:33+00:00	Bears In Control As Cryptocurrency Market Turns Lower	['Nathan Batchelor']	"Share this article URL Copied

The broader cryptocurrency market came under pressure on the second trading day of 2020, as Bitcoin and other major cryptocurrencies slipped into negative territory for the month.

The first cryptocurrency fell back towards $7,050 after being rejected from its 200-period moving average on the four-hour time frame.

BTC/USD shorts on the Bitfinex trading exchange were at their highest level since Dec 20, while BTC/USD longs were at their weakest since Dec 16

Bitcoin Cash tested towards $200 and is currently the worst performer inside the top 5 with losses of around 2.5%, while Bitcoin SV was the biggest loser inside the top 10, and traded down by around -3.5%

The total cryptocurrency market capitalization is currently $184 billion as measured by TradingView, a loss of $2 billion since Jan 1.

Bitcoin

Bitcoin has slipped back under the $7,100 support level and remains vulnerable to further losses while trading below the $7,250.

Despite the recent decline, bullish reversal patterns on the lower time frame highlights that a rally towards the $8,000 and beyond remains possible while the December low, around $6,450, holds firm.

Looking at the downside potential for BTC/USD, a bearish break under the $7,000 could trigger heavy BTC/USD technical selling towards the $6,780 support level.

Total Market Capitalization

The daily chart of the total market capitalization is looking increasingly bearish while price trades below the $187 billion level.

The lower time frames show highlight that the $180 billion support level remains a possible downside target while price trades under the $187 billion level.

A recovery towards the $207 billion level is required to ignite a bullish reversal pattern with substantial upside potential. The reversal pattern highlights the $230 billion level as a possible upside target.

Overall Sentiment

According to the latest data from The TIE, sentiment toward the cryptocurrency market is neutral, at 46 percent.

Bitcoin Cash has the strongest sentiment among the top 10 at 66 percent. Meanwhile, Tezos has the weakest at 37 percent."
2020-03-18 12:31:34+00:00	Which Crypto News Should I Trust?	['The Coinmetro Team']	"Recent weeks have been very eventful and news alerts keep coming in from every direction. It is now more important than ever to distinguish reliable information from fake news. With so many publications out there, it is sometimes hard to recognise the un-biased ones. But don’t worry, we are helping you out – here are our recommendations for reliable crypto news to trust to keep you well informed in the midst of the recent crisis.

Cointelegraph publishes about a wide range of blockchain, cryptocurrency and emerging fintech news. They aim to deliver accurate news from both the centralized and decentralized worlds on a daily basis.

Cointelegraph takes pride in being unbiased and delivering insightful content, such as in-depth analytics and comprehensive crypto price charts. To make things more versatile for the average reader, they also publish opinion pieces and reports on the social transformation that digital currencies bring along.

The publication was founded in 2013 and it has since reached considerable popularity. Cointelegraph is also known for its characteristic illustrations that accompany every article – way to focus on the visuals!

CoinDesk covers news about cryptocurrencies and digital assets and is aimed at the next generation of investors. The news site works to inform, educate and connect the global investment community through news, events and education.

CoinDesk was founded in May 2013 and has since reached millions of crypto and blockchain enthusiasts. They are also known for creating the Bitcoin Price Index – a price reference rate that became widely used by traditional finance journals like the Financial Times, Wall Street Journal and CNBC.

CoinDesk has recently moved away from focusing on sponsored articles in their revenue model so they are crypto news to trust, honouring unbiased press standards.

CoinDesk news covers rather sophisticated topics, from regulation to technical updates, while keeping the news reader-friendly and fluent.

If you are interested in numbers more than you are in actual reports or opinion stories – CoinMarketCap is your place to be. Regarding price movements, they are the crypto news to trust.

The site reports on trading activities of thousands of markets, lists accurate data about legions of digital assets – including their market cap, price, volume and circulating supply. CoinMarketCap has built a reputable name in the industry and they add to their credibility by not accepting payments on their site.

CoinMetro’s very own XCM is also listed on CoinMarketCap! You can go ahead and check out the latest data from the site.

This Week In Crypto

Another reliable and informative source for getting crypto market news is CoinMetro’s weekly video podcast. This Week In Crypto is a show where our CEO Kevin Murcko discusses the latest crypto and blockchain market news.

Kevin has years of experience in finance and digital assets and he comments on crypto news in the show. You can expect to hear him explain complicated topics in a practical way. You can participate in the podcast yourself by posting a question on Reddit. This is a great way to get an expert’s opinion on a crypto topic that interests you.

That’s it for this time’s news suggestions! If you are looking for some more practical activities, go ahead and start trading for real on our platforms! If you have any questions about our platforms or CoinMetro in general, reach out to our support team. They are here to help 24/7."
2020-05-01 06:42:21+00:00	Top 9 Global Crypto News and Crypto Data Websites in 2020	['Fintechnews Switzerland']	"Since Bitcoin was released back in 2009, a whole industry has emerged, with now over 6,000 so-called altcoins and a plethora of exchanges, wallets, and other services providers to choose from.

With so many websites available out there, we look today at the top 10 crypto news and data websites to get all your critical metrics and breaking news from this year.

CoinDesk

Founded in May 2013, CoinDesk is a leading news site specializing in cryptocurrencies and digital assets.

The company created the original price reference rate known as the Bitcoin Price Index in 2013 which is now widely sourced in the media including The Wall Street Journal, Financial Times, CNBC, and many others.

It also hosts the annual Consensus summit each May, one of the largest blockchain technology gatherings of stakeholders in the global blockchain ecosystem from around the world, and is the anchor event and co-host of Blockchain Week NYC.

CoinDesk was acquired by Digital Currency Group in January 2016 for an estimated amount of US$500K-600K.

The Block

Founded in 2018, The Block is an American research, analysis and news brand in the digital asset space. Through its website, newsletter, the Genesis research brand, The Scoop podcast, as well as live events and community participation, The Block claims it interacts daily with tens of thousands of crypto natives, financial market participants, Fortune 500 professionals, global service providers, government leaders and more.

The Block has raised US$3.5 million in funding so far, according to Crunchbase. It is backed by Fenbushi Capital and Pantera Capital, among other investors.

TechCrunch

Founded in 2005, TechCrunch is a leading American online publisher focusing on the tech industry that regularly reports on blockchain and cryptocurrency.

TechCrunch specifically reports on the business related to tech, technology news, analysis of emerging trends in tech, and profiling of new tech businesses and products. It was one of the earliest publications to report extensively on tech startups and funding.

TechCrunch hosts the annual tech conference, TechCrunch Disrupt, and used to operate Crunchbase, a database of the startup ecosystem, before it spun out to become a private entity in 2015. TechCrunch is owned by AOL.

Bloomberg Crypto

Bloomberg is a leading financial, software, data, and media company that delivers business and markets news, data, analysis, and video to the world, featuring stories from Businessweek and Bloomberg News, its international news agency division.

Bloomberg News frequently covers cryptocurrencies and blockchain technology under the Bloomberg Crypto brand, and publishes The Bloomberg Crypto Outlook, a monthly publication that brings readers the latest fundamental and technical analysis, data, and insight on the broad market, Bitcoin and top cryptos.

Forbes Crypto

Forbes is an American business magazine published bi-weekly. It features original articles on finance, industry, investing, and marketing topics, and also reports on related subjects such as technology, communications, science, politics, and law.

Forbes.com, part of the company’s Forbes Digital division, covers a variety of topics, including crypto assets, blockchain technology, Bitcoin, Ethereum, ICOs and tokens.

Forbes is also well known for its lists and rankings, among which Blockchain 50, an annual list featuring the top 50 billion-dollar companies and organizations that are leading the blockchain revolution.

South China Morning Post

The South China Morning Post (SCMP), with its Sunday edition, the Sunday Morning Post, is an English-language newspaper founded in 1903, and Hong Kong’s newspaper of record.

Apart from its flagship newspaper, SCMP publishes news 24/7 on SCMP.com, its online service. SCMP.com often reports on blockchain and cryptocurrencies, two topics that have been widely talked about in mainland China and Hong Kong over the past couple of years. SCMP also runs Abacus, a digital news brand focused on China’s tech industry.

CoinMarketCap

Founded in 2013, CoinMarketCap is a popular website for tracking the price of cryptocurrencies. The platform provides users with various data about exchanges and listed coins, such as their price, available supply, trade volume over last 24 hours, and market capitalization.

CoinMarketCap claims it is the world’s most-referenced price-tracking website for crypto assets, and is commonly cited by CNBC, Bloomberg, and other major news outlets.

CoinMarketCap is owned by Binance Capital Mgmt.

CoinGecko

Behind CoinMarketCap is CoinGecko, a Malaysia-based and run crypto data aggregator and market data platform. Founded in 2014, CoinGecko allows users to track cryptocurrency prices, volume and market capitalization. The company also follows community growth, open-source code development, major events and on-chain metrics.

CoinGecko currently tracks nearly 7,140 tokens from more than 418 cryptocurrency exchanges. The company produces regular reports covering the state of the crypto market.

CryptoCompare

Founded in 2014, CryptoCompare is a global cryptocurrency market data provider, giving l investors access to real-time market and pricing data on 5,300+ coins and 240,000+ currency pairs.

By aggregating and analyzing tick data from globally recognized exchanges, and integrating different datasets in the cryptocurrency price, CryptoCompare aims to offer a comprehensive, holistic overview of the market. At a granular level, CryptoCompare produces cryptocurrency trade data, order book data, blockchain and historical data, social data, reports and a suite of cryptocurrency indices.

Companies including Refinitiv, a provider of financial software and risk solutions, and Quandl, the largest provider of alternative data for financial professionals, currently use CryptoCompare’s data and solutions."
