Date	Title	Authors	Text
2020-06-10 00:00:00+00:00	Bitcoin News Roundup for June 10, 2020	[]	More than 85 U.S. institutions bought crypto futures last year, more than double the number touching the space in 2018, according to a new survey by Fidelity.
2020-06-08 16:00:02+00:00	Why An Even Deeper Correction Is Expected For The Crypto Market’s Hottest Altcoin	"[""I'M Tony Spilotro. Behind The Pseudonym"", ""I'M A Global Remote Work Leader With A Decade Of Award-Winning Content Experience"", 'Excellence. Here', 'I Explore My Newfound Passions Pertaining To Privacy', 'Finance', 'Economics', 'Politics', 'Cryptography', 'Property Rights', 'Other Libertarian-Esque Views. I Am A Bitcoin Evangelist']"	"The crypto asset known as Theta was the hottest altcoin in the space during May, but false rumors of a partnership with Google led to a strong selloff.

The downside in the cryptocurrency looks to continue, as two highly accurate sell signals have triggered on weekly timeframes on both the USD and BTC trading pairs.

Theta Pumps Nearly 400% Against the Dollar in May, 350% Against Bitcoin

At the start of May to the peak of the pump, the altcoin known as Theta rallied over 360% against Bitcoin. There was a matching nearly 400% rise on the USD trading pair.

The rally was fueled by false information spreading about a partnership with Google, however, it was later revealed that the partnership was simply Theta relying on Google’s cloud services on the client-side.

While no true partnership exists, the massive surge brought back memories of the crypto hype bubble.

Related Reading | Theta Cryptocurrency Plunges 50% As Traders Question Google Partnership

During that time, it wasn’t uncommon to see altcoins rally hundreds of percent against Bitcoin or the dollar.

While those days are long gone, and money won’t be as easy to come by during the next cycle, Theta’s recent explosion provides much-needed hope that a return to a crypto bull market may soon be coming.

But before any sustained bullish advance or uptrend begins, Theta is due for a stronger correction, according go a duo of highly accurate sell signals across the THETAUSD and THETABTC trading pairs.

USD & BTC Sell Signals Could Cause The Attractive Altcoin To Dump Further

Over the last month, few altcoins were discussed as highly as Theta. The asset quickly became the crypto industry’s hottest token.

But as soon as overly eager investors realized the partnership news was a non-event, a selloff cut the gains back significantly.

More downside is also very likely, given a set of sell setups signaled by the TD Sequential indicator on weekly timeframes.

The TD Sequential indicator is a market-timing tool developed by Thomas Demark. After a specific sequence of candles form, it often is a sign that a reversal or pullback is near.

Related Reading | Venture Capitalist: Crypto Gains Won’t Come As Easy During Next Bull Run

The signal has called many Bitcoin and altcoin tops and bottoms over the last several years, dating back to Bitcoin’s all-time high. It’s proven that its a tool that should never be underestimated.

The 9 sell setup has appeared on both THETAUSD and THETABTC price charts, suggesting that not only is a collapse in USD value expected, but the altcoin will underperform against Bitcoin in the days ahead.

TD 9 sell signals have appeared across most cryptocurrency assets, including Bitcoin, Ethereum, Chainlink, and countless others. The crypto market’s best performer, Theta, also sharing this signal doesn’t bode well for the entire asset class.

Crypto as a whole often follows Bitcoin’s lead, and while sentiment and fundamentals have never been more bullish for Bitcoin, the asset is also facing its strongest resistance yet.

Should another crash happen in Bitcoin ahead of a clean breakout from the downtrend, a lower high could cause extreme panic and a selloff will soon follow.

Bitcoin crashing from here would carry the entire crypto market down with it, Theta included."
2020-06-15 20:00:32+00:00	Ethereum Likely to Dive Towards $200 as Overnight Selloff Rattles Market Structure	['Cole Is A Cryptocurrency Analyst Based In Los Angeles. He Studied At The University Of California Irvine', 'Has Been Interested In Bitcoin', 'The Crypto Markets Since']	"Ethereum has decline today alongside Bitcoin and the aggregated crypto market, breaking below a key support level that was previously being defended by buyers

It now appears that ETH could be well positioned to see even further downside in the days and weeks ahead

One technical indicator is forecasting that it will plunge to $200 before it is able to garner any notable buying pressure

This could lead it to break below a key support level, and catalyze a far-reaching downtrend

Prior to yesterday evening, Bitcoin, Ethereum, and the aggregated crypto market had been caught within a consolidation phase that persisted for many weeks.

Although the overnight decline seen by most major cryptocurrencies did cause them to shatter the lower boundaries of these consolidation channels, it is important to note that buyers have still defended several key levels.

In the case of Etheereum, although the crypto was previously flashing some signs of immense strength, its dependence on Bitcoin has made it prone to the weakness seen by the entire crypto market today.

That being said, one technical indicator is now suggesting that it will continue plunging until it reaches $200.

This would force it below a key support level, and potentially kick off a notable downtrend in the weeks ahead.

Ethereum Declines Alongside Entire Crypto Market; Key Support Fast Approaches

At the time of writing, Ethereum is trading down just under 6% at its current price of $222.65. It has been flashing some intense signs of weakness throughout the past 12 hours, as it has also declined by over 2% against its Bitcoin trading pair.

It does appear that this weakness will extend further in the near-term, as this latest decline forced it below $230 – the level that marked the lower boundary of its previous trading range.

One analyst also explained that $215 is an important level for it to maintain above. This happens to be around the point at which it was finding significant resistance throughout most of May – as seen in the below chart.

Here’s Why ETH Could Soon Reel Towards $200

There is one respected technical indicator that suggests Ethereum is poised to post a notable decline in the days and weeks ahead.

Another prominent analyst spoke about this technical indicator in a recent tweet, explaining that it shows ETH is likely to reel towards $200 before finding any notable support, while also showing that Bitcoin could soon hit $8,500.

“BTC and ETH Cloud pretty clear on targets here. 8.5 and 200. Another way to think of this: HH less probable than retrace/mean reversion,” he explained while pointing to the below chart.

How Ethereum trends in the days ahead should provide valuable insights into just how much technical damage was done by its recent price decline.

Featured image from Shutterstock. Charts from TradingView."
2020-06-10 15:11:29+00:00	Cryptocurrency News Roundup for June 10, 2020	[]	"In the past 24 hours, Bitcoin has been range-bound between $9,570 and $9,870. The flagship crypto broke out above the $9,800 level, giving many traders hope that the $10,000 milestone was in sight. However, it was pushed back shortly afterwards and is trading at $9,750 at press time.

While Bitcoin is yet to make a decisive move, some other cryptos are on the up and up. DOGE and LINK have been some of the most promising, with the latter looking set to hit its all-time high price.

Bitcoin’s Indecisive Movement

Bitcoin’s price is up by a mere 0.6% in the past 24 hours. As BeInCrypto reported earlier today, the price broke out from a short-term descending resistance line that has been in place since June 5. This suggests that the price is likely to move up in the short-term. It is, however, unlikely to affect the crypto’s long-term price movements.

Sponsored Sponsored

A breakout from its current level could take it up to $9,950. However, if a rejection occurs, the price could drop to the $9,450 support level. This would most likely lead the crypto to test the $9,000 support level in the short-term.

Read the full analysis here.

ChainLink and Dogecoin on the Uptrend

Despite Bitcoin’s indecisive movement, some altcoins have shown great promise. One of these is Dogecoin (DOGE) which seems to be on the verge of a breakout after bouncing on the support line of a bullish pattern. According to one expert, the current surge will see Dogecoin hit $0.0032. The just-for-laughs coin is trading at $0.00257.

Sponsored Sponsored

ChainLink (LINK) is yet another altcoin that seems poised to break out. The crypto has been on an uptrend in the past two months but is approaching a crucial resistance level that will determine its short-term future. The price looks set to test its all-time high, which it achieved on March 3. The price is expected to hit $4.9 shortly.

Read the full analysis here and here.

Bitcoin Could Lose Its Throne in a Few Years

Bitcoin has remained perched on top of the crypto world since launch, but this may not be the case for much longer. BTC’s dominance has been dwindling since September last year and currently sits at 64.7%. According to one expert, Bitcoin’s inefficiencies, lack of smart contracts and slow transaction speed will be its ultimate downfall.

Sponsored Sponsored

Bitcoin’s dominance has also broken away from its price. In the past, its price was positively correlated to its dominance, but as BeInCrypto recently reported, the trend has changed.

Read more on the analysis here and here.

A Third of European Investors Own Crypto

In confirmation of the rise of crypto ownership in Europe, a new report has revealed that a third of European investors own crypto. The report by Fidelity showed that European investors are more confident in cryptos than their American counterparts. Bitcoin is still the most popular crypto in Europe with a 25% holding, while Ethereum comes in second at 11%.

Sponsored Sponsored

There are several concerns, however, for investors with price volatility being the most common one. Market manipulation is also a major concern, according to the study.

Read the full article here."
2020-06-02 08:42:04+00:00	Cryptocurrency This Week: Indian Crypto Exchanges Witness Surge In New Users, Bitcoin Sees $1000 Spike & More	['Amit Raja Naik', 'Hemant K.', 'Laxitha M.', 'Chetan T.']	"OKEx’s visits from India saw the highest increase, reaching 545.56% Bitcoin (BTC) and Ethirum (ETH) prices are at $ $10,103.5 and $247, respectively BTC, on Monday, witnessed a price surge by almost $1,000 in less than 12 hours

According to cryptocurrency research platform Coinpaprika and global crypto exchange OKEx, India is poised to gain considerable global market share of crypto transactions this year.

The report published last week showcased that the trading volume of Indian crypto exchange platforms, CoinDCX and WazirX, witnessed an increase in the trading volume since the ease of cryptocurrency trade policy in the country. As per Similarweb, the website traffic of major crypto exchanges from India has increased during 2020 Q1.

Furthermore, the report revealed that OKEx’s visits from India saw the highest increase, reaching 545.56%. It claimed that newly registered users from India rose by 4100% during the same period. The global crypto exchange platform is now eyeing India and has plans to launch P2P trading platform in the country soon, which will allow Indian users to buy Bitcoins, Etherium and other digital currencies with INR via multiple payment channels.

Previously, another global crypto exchange platform Kraken had also announced that it will be expanding to the Indian market this year. With this, the crypto market in India is expected to get fierce in the coming months.

However, the crypto market still faces challenges in terms of lack of clear regulatory policies, including tax obligations. Also, there is no clarity in terms of how cryptocurrency can be used for cross-border transactions or for conversion into more stable currencies such as Bitcoin and Etherium. More than anything, the market is influenced by political factors, and any fluctuation or move towards a decentralised market, Bitcoin may no longer be necessary for Indians.

At the same time, as a utility token, the demand for Bitcoin has significantly increased in countries where the fiat currency has depreciated in value.

The price of Bitcoin (BTC) at the time of writing was $10,103.5, with a market cap of $185 Bn, compared to last week (May 26, 2020) which stood at $8,821.92, with a market cap of $162 Bn. Interestingly, Bitcoin on Monday (June 1) the price increased by almost $1,000 in less than 12 hours.

Ethereum (ETH), on the other hand, was priced at $247, with a market cap of $27 Bn at the time of writing, compared to last week (May 26, 2020), where the price of the cryptocurrency was $202, with a market cap of $22 Bn.

Cryptocurrency News Of The Week:

Zebpay Partners With Chainalysis To Monitor Transactions In India

Singapore-based crypto exchange and wallet provider Zebpay recently announced that it has commissioned blockchain forensics firm Chainalysis to monitor transactions executed across its platforms in India. Through this partnership, Chainalysis will provide Zebpay real-time alerts in case of any suspicious or high-risk transactions across the platform. Avinash Shekhar, CFOat ZebPay said that they wanted to build a best-in-class compliance program in India from the start.

Swiss Regulator Allows B2B Bank Crypto Trading

The Swiss Financial Market Supervisory Authority (FINMA) approved Swiss bank InCore to perform B2B digital trading as a measure to create a blockchain-friendly environment across the EU banking sector. Also, the financial regulator has allowed the bank to develop its tokenization capabilities. Mark Dambacher, CEO of InCore Bank told Finews.ch that their customers will benefit from the expansion to the new asset class without having to invest in infrastructure and new processes.

Kraken Adds Support To US-Dollar Pegged Stablecoin, Tether

Crypto Exchange Platform Kraken announced that it is adding support for the Ethereum version of US-dollar pegged stablecoin Tether (USDT-ERC20). The company in its official blog post said that crypto traders using Kraken will now be able to tap into the biggest market for the USDT as the exchange will enable deposit and withdrawal for the stablecoin. With this, it expects to see an increase in trade volumes across its different markets once support for the stablecoin is enabled."
2020-06-07 00:00:00+00:00	How Bitcoin will hit $100,000?	['Olumide Adesina']	"For the flagship currency to hit $100,000, Bitcoin will need to have a market capitalization of $2.1 trillion. That is about a quarter of the market capitalization of gold.

According to Option trader, Theta Seek stated that for this incredible feat to happen is to envision consistent buying demand from retail investors. The trader said:

“At 100K per BTC, the market has to absorb a miner supply of $90 Million USD daily. Assuming that there are 10 million people worldwide buying BTC on a regular basis. It would cost them each $9 daily to sustain those price levels. I’ve met people who spend more than $9 on coffee.”

READ MORE:

Theta Seek added that hodlers—a term used to define long time Bitcoin holders, most of them have not sold throughout the past three all-time highs of BTC, noting:

News continues after this ad

“Data suggests otherwise though, hodlers throughout the past three all-time highs have not been selling in significant portions. 60% of BTC has not moved for more than 2 years. Even if that were to be true, the longtime supply of BTC will eventually equal the mining (new) supply.”

(READ MORE:

News continues after this ad

Data recently obtained from Coinmarketcap, shows the flagship currency having a market capitalization of about $177.5 Billion and at the time this report was drafted, it was trading at $9,648.

Just recently Bitcoin has received incredible support from top-class global financial brands, strengthening the argument as a store of value in recent weeks.

America’s most valuable bank JPMorgan became the first major bank to open accounts for cryptocurrency exchanges (Coinbase and Gemini) and Grayscale a leading American hedge fund experienced record institutional trading on Bitcoin and other crypto assets in the first quarter of 2020."
2020-06-15 22:04:40+00:00	Crypto map reveals the most ‘Bitcoin maximalist’ country on earth	['Decrypt', 'Mat Di Salvo']	"An interactive map of cryptocurrency interest has been compiled by a researcher at Blockchaincenter.net.

Using data from Google Trends, the map shows where in the world Bitcoin interest is most concentrated, and where altcoin searches thrive.

The results may be unsurprising to those who have been keeping a close eye on Bitcoin in developing economies.

A new, interactive map created by Blockchaincenter.net is taking a look at cryptocurrency search interest by country of 10 of the most popular cryptocurrencies—Bitcoin, Ethereum, Ripple, Litecoin, Bitcoin Cash, IOTA, Monero, Tron, Dogecoin, and Cardano—with data sourced from Google Trends.

According to the data, by far the most searched for coin in all countries is Bitcoin, with a dominance of 80.8%. Ethereum falls far behind in second place, at 13.7%.

And the country where Bitcoin most dominates search interest is, perhaps surprisingly to some, Kenya—where 94.7% of cryptocurrency searches within the country were related to the biggest coin by market cap.

The news that Kenya is the most ""Bitcoin maximalist"" country may not come as a shock at all to those keeping a close eye on the region, given that several crypto industry players consider Africa to be the future of Bitcoin.

The continent has been using Bitcoin for years, in part because it is full of emerging economies and there is little resistance to new financial technology. Jack Dorsey, CEO of Twitter and payment provider Square, last year said that the continent would define the future of Bitcoin.

Sad to be leaving the continent…for now. Africa will define the future (especially the bitcoin one!). Not sure where yet, but I’ll be living here for 3-6 months mid 2020. Grateful I was able to experience a small part. 🌍 pic.twitter.com/9VqgbhCXWd — jack (@jack) November 27, 2019

Kenya in particular is witnessing a digital revolution. The East African country has a booming startup scene and it was there that the M-Pesa, a mobile payment system for Kenyans without bank accounts, was created.

Other African countries made the top 10 Bitcoin maximalist list—with Nigeria (89.4%) and South Africa (89%) in fifth and sixth place respectively. Nigeria and South Africa, incidentally, have seen considerable growth in terms of local Bitcoin trading as of late. In fact, according to data from metrics site Useful Tulips, Africa once again broke its weekly BTC trading volume record in late May, with Nigeria leading the way.

Elsewhere on the globe, however, is where altcoins get their shine. According to the interactive map, it is Eastern Europe that appears to be the most interested in altcoins. Russia and Ukraine top the list for countries where altcoins are most searched for in Google, with Serbia in third place.

Despite Bitcoin topping the most-searched coin in all countries, market cap ranking does not mirror search volume ranking, Blockchaincenter.net says. For example, Dogecoin is not in the top 30 by market cap but makes the cut in the top 10 of most searched cryptocurrencies.

Disclaimer The views and opinions expressed by the author are for informational purposes only and do not constitute financial, investment, or other advice."
2020-06-01 10:05:02+00:00	India to Significantly Increase Crypto Market Share This Year: Report – Bitcoin News	['Kevin Helms', 'A Student Of Austrian Economics', 'Kevin Found Bitcoin In', 'Has Been An Evangelist Ever Since. His Interests Lie In Bitcoin Security', 'Open-Source Systems', 'Network Effects', 'The Intersection Between Economics']	"India to Significantly Increase Crypto Market Share This Year: Report

India’s cryptocurrency market is set to gain significant market share this year, according to an industry report. The regulatory environment, the instability of the rupee, and remittances are key drivers that will send the Indian crypto industry soaring.

Indian Crypto Sector Flourishing

The Indian cryptocurrency market is poised to gain considerable global market share starting this year, according to a report published last week by Coinpaprika and Okex. The former is a cryptocurrency research platform while the latter a global crypto exchange. They analyzed the Indian crypto sector, major players, the challenges they face, and the rapid development of the country’s crypto ecosystem.

“India is one of the fastest-growing crypto markets, gradually catching up on cryptocurrency development,” the two companies wrote, elaborating:

We attribute the driving force of the Indian cryptocurrency market development to three significant factors, namely immigrants, finance, and government policies … It is expected that the global market share of crypto transactions in the Indian market will increase significantly in 2020-2022.

Key Factors Behind Rapid Growth of Indian Crypto Sector

The report attributes the rapid growth of the Indian crypto industry to three key factors. The first is cross-border remittances. “The amount of remittances by Indian immigrants has been the highest in the world over the years,” the report details, citing that the country had more than 17 million immigrants in 2019. Since cross-border transactions traditionally carry high fees, Coinpaprika and Okex believe that “Using bitcoin or other cryptocurrencies as a cross-border payment medium, Indians can save a large number of remittance fees,” adding:

Cryptocurrency as a cross-border payment medium will make a big difference in the Indian market. Due to great remittance demand, it will drive the prosperity of digital currency growth in India for a long time.

The next factor concerns the instability of the Indian rupee and Indians’ strong demand for U.S. dollars, the report outlines. “The value of Indian rupee is not stable, especially during the covid-19 epidemic … The exchange rate between rupee and USD continued to rise, causing the former to enter constant depreciation … with the constant depreciation of the rupee, the Indians have a strong need to convert their rupee into a more stable fiat currency,” the report describes, noting:

However, due to strict foreign exchange regulations, it is complicated to convert rupee directly to US dollars. Therefore, most Indians will choose to convert rupee to bitcoin and then to US dollars through C2C trading platforms such as Localbitcoins and Paxful.

“Many rupees are exchanged to bitcoin through chat groups, such as Whatsapp, Telegram, and Facebook, which then converted into US dollars,” research by Coinpaprika and Okex shows. “To maintain their asset’s value, cryptocurrency is being used as a vehicle to convert rupee into more stable fiat currency in India.”

The third factor is the regulatory environment for cryptocurrency in India. In March, the country’s supreme court quashed the banking restriction imposed by the central bank which has had profound effects on the local crypto industry. The Reserve Bank of India (RBI) recently confirmed in a reply to a Right to Information (RTI) request that there is no longer any banking ban on crypto exchanges, companies, or traders.

“After the policy was loosened, the increase in trading volume was not only reflected in local exchanges, but also the major global exchanges,” the report continues. According to Similarweb, a website analytics data provider, traffic on major crypto exchanges from India increased many-fold in Q1 2020. The report further highlights:

Okex’s visits from India saw the highest increase, reaching 545.56%. According to Okex, newly registered users from India rose 4100% during the same period.

Besides Okex, several other crypto exchanges have reported huge growth in trading volumes and new users. For example, two prominent local exchanges, Wazirx and Unocoin, independently told news.Bitcoin.com that they experienced 10X volume growth as Indians explored crypto trading during the extended nationwide lockdown. Moreover, new crypto exchanges are launching in India, global exchanges are expanding in the country, and more venture capitalists are investing in Indian crypto startups.

Okex is preparing to launch a P2P trading platform in India where a number of cryptocurrencies, such as bitcoin (BTC) and tether (USDT), can be traded against the Indian rupee via several payment channels. Kraken also said that it plans to expand into India this year. “The competition between local and global major crypto exchanges in the Indian market will become increasingly fierce,” the report concludes. “Exchanges are expected to steer their focus on enhancing the stability of their derivatives products and offering more diverse depositing channels for users.” As for the entire Indian economy, Goldman Sachs’ strategists have predicted that the country’s recession will be its worst ever.

Do you think India will lead the crypto revolution? Let us know in the comments section below.

Kevin Helms A student of Austrian Economics, Kevin found Bitcoin in 2011 and has been an evangelist ever since. His interests lie in Bitcoin security, open-source systems, network effects and the intersection between economics and cryptography.



Image Credits: Shutterstock, Pixabay, Wiki Commons, Coinpaprika, Okex

Disclaimer: This article is for informational purposes only. It is not a direct offer or solicitation of an offer to buy or sell, or a recommendation or endorsement of any products, services, or companies. Bitcoin.com does not provide investment, tax, legal, or accounting advice. Neither the company nor the author is responsible, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with the use of or reliance on any content, goods or services mentioned in this article."
2020-06-12 00:00:00+00:00	12 Best Cryptocurrency News Websites in 2020	[]	"2 min read

Many people get their news about cryptocurrency by searching for it and clicking the first site that pops up, assuming the news doesn’t find them first. While there are generally some good options available at the top of the search engine results, here are the 12 best cryptocurrency news websites in 2020 that you can seek out when you want to be sure you are reading a high-quality trusted cryptocurrency news site.

1. DailyCoin

DailyCoin covers crypto news, as well as opinions and educational articles about Fintech, digital assets, and blockchain technology. They have a multinational team that is dedicated to introducing newcomers to cryptocurrency and blockchain with high-quality and relevant content.

Visit the website.

2. CoinDesk

CoinDesk was founded in May 2013. CoinDesk provides news and articles, as well as videos, educational materials, newsletters, and events coverage. CoinDesk is recognised as a leader in blockchain and cryptocurrency news. This reputation is bolstered by the fact that it hosts the Annual Consensus Summit in May of each year.

Visit the website.

3. CoinTelegraph

CoinTelegraph is a highly regarded site that was founded in 2013. The site offers news on cryptocurrency, blockchain, business, technology, and regulatory issues. Market analysis and expert opinion are also provided. The site also offers a substantial section of educational articles. The authors and management team are globally distributed, providing opinion that is international in scope.

Visit the website.

4. NewsBTC

NewsBTC provides Bitcoin news, technical analysis, and market forecasts for Bitcoin and altcoins. The site has been in existence since October 2013. The site started out educating readers about Bitcoin and its possible effects on the traditional financial system but has grown to include a whole array of digital media coverage of altcoins, crowdfunding, regulatory news, and the convergence of technologies like the blockchain, IoT, AI and more.

Visit the website.

5. AMBCrypto

Founded in 2018, AMBCrypto is an independent news publishing platform that specialises in blockchain and cryptocurrency news. The AMBCrypto team takes pride in being independent and unbiased in its coverage. The site covers Bitcoin and altcoins with price analysis, forecasts, and outlooks. The site also has an events section that lists all the cryptocurrency events happening for the coming year.

Visit the website.

6. CryptoSlate

Begun in 2017, CryptoSlate provides data, news, and analysis to support the cryptocurrency community. The site delivers real-time price and data information for thousands of cryptocurrencies and delivers localised news and data to 26 different regions the site calls blockchain hubs. CryptoSlate also maintains a large directory of crypto-related companies, products, and people.

Visit the website.

7. Bitcoinist

Operating since 2013, Bitcoinist reaches 2 million readers each month and offers countless insights through its coverage of Bitcoin, digital currency, and blockchain technology. The site provides everything from business news, technical analysis, and coverage of community events.

Visit the website.

8. Bitcoin Magazine

Bitcoin Magazine is one of the oldest sources of Bitcoin news and information. Started in 2012, Bitcoin Magazine actually published a print edition until 2015. Founded by Mihai Alisie and future Ethereum creator Vitalik Buterin, the site has long provided analysis, research, educational materials, and thought leadership that intersect the spheres of technology and finance.

Visit the website.

9. 99Bitcoins

99Bitcoins is one of the largest repositories of non-technical information about Bitcoin and altcoins. The site offers guides, tutorials, reviews, and videos about cryptocurrency and cryptocurrency-related topics. 99Bitcoins gives its readers reviews of wallets, exchanges, and various other cryptocurrency-related products. It also has guides on mining various cryptocurrencies.

Visit the website.

10. Inside Bitcoins

Started in 2015, Inside Bitcoins began with the goal of offering the most reliable and informative news about finance, along with the best how-to guides and reviews. Their site produces content that appeals to both cryptocurrency newbies and professional investors.

Visit the website.

11. CryptoBriefing

CryptoBriefing was founded in 2017. The original goal consisted of “highlighting the builders and calling out the scammers.” The site has now expanded to report on cryptocurrency trends and innovators. This growth has not dimmed the site’s passion for providing information to help distinguish legitimate products from scams. CryptoBriefing seeks to address “information asymmetry” where cryptocurrency insiders have more information than you do.

Visit the website.

12. CryptoDaily

Founded in 2017, CryptoDaily is a free-to-publish media network which states as its mission to “cover and inspire the crypto and blockchain economy across the world.” The site publishes coin updates, technical analysis, and guides to coins, exchanges, and wallets.

Visit the website.

What Makes These Sites Better?

These websites have a history of providing trustworthy information to its readers. Its articles and information are high-quality and exhibit high journalistic integrity. These sites are held in high regard by members of the cryptocurrency community. Many of them go back to the early 10s and some, like Bitcoin Magazine, were founded by cryptocurrency luminaries.

These websites provide not only news, but they also give us company directories, reviews, and event calendars that help you help support the Bitcoin community. In an industry where things change so rapidly, it’s important to rely on news sites that have been around and seen the ups and downs of Bitcoin and cryptocurrency. This is a list of the 12 most seasoned Bitcoin sites to give you the depth of coverage and insight that you need to make sense of Bitcoin, whether as an investment or a transactional currency."
2020-06-02 09:33:41+00:00	Total Market Cap Breaks Critical Resistance Level: Altcoin Season 2020 Incoming?	"['George Georgiev', 'More Posts This Author', 'About The Author', ""Georgi Georgiev Is Cryptopotato'S Editor-In-Chief"", 'A Seasoned Writer With Over Two Years Of Experience Writing About Blockchain', ""Cryptocurrencies. Georgi'S Passion For Bitcoin"", 'Cryptocurrencies Bloomed In Late', ""He Hasn'T Looked Back Since. Crypto S Technological"", 'Economic Implications Are What Interest Him Most', 'He Has One Eye Turned To The Market Whenever He S Not Sleeping.']"	"Bitcoin surged above $10,000 for the first time since February, and it took the entire market with it. Altcoins are all flashing in green, as the total capitalization increased by more than $13 billion overnight.

Now, a popular cryptocurrency trader pointed out that the chart of the total market cap went through the same pattern it did back in 2017, months before altcoins shot off through the roof.

Altcoin Season 2020 Incoming?

Bitcoin is up 6% in the past 24 hours as it trades at around $10,100 for the first time since February. As the leading cryptocurrency makes its way above this coveted level, altcoins are also blossoming.

All of the large-cap projects are seeing notable gains. Ethereum is up more than 4%, Bitcoin Cash – more than 7.5%, Litecoin – 6.3%, and so forth.

The total market capitalization increased by as much as $13 billion during the past hours, and this has given a popular cryptocurrency trader reason to believe that it may be time for a new altcoin season.

ADVERTISEMENT

Well-known crypto trader Kaleo thinks that we are on the brink of the next altcoin outburst.

As seen in the above chart, the total market cap went through a similar pattern it did back in March 2017. Needless to say, in 2017, altcoins marked their all-time highs across the board while the total market cap exceeded $800 billion.

What’s Different This Time?

When it comes to determining whether or not the market is in a state of the so-called “altcoin season,” the key metric to look at is Bitcoin’s dominance – its share of the cryptocurrency relative to the total market capitalization.

Back in March 2017, BTC’s dominance was at a high point of around 85% – this is 20% more than what it currently stands at.

Going forward in 2017, Bitcoin’s dominance continued to decrease while altcoins increased their share, as evident in the chart above.

In January 2018, which was arguably the peak of the parabolic altcoin season, BTC’s dominance was at around 33%, while altcoins were surging.

If we are to see anything remotely close to what happened back then, Bitcoin would need to lose about 30% of its current market share. This doesn’t mean that its price has to decline – it simply means that altcoins need to surpass its growth."
