Date	Date
2021-03-05	39
2021-03-06	11
2021-03-07	17
2021-03-08	34
2021-03-09	37
2021-03-10	47
2021-03-11	57
2021-03-12	39
2021-03-13	12
2021-03-14	9
2021-03-15	37
2021-03-16	45
2021-03-17	47
2021-03-18	51
2021-03-19	38
2021-03-20	10
2021-03-21	9
2021-03-22	35
2021-03-23	34
2021-03-24	43
2021-03-25	37
2021-03-26	29
2021-03-27	6
2021-03-28	7
2021-03-29	32
2021-03-30	44
2021-03-31	46
2021-04-01	41
2021-04-02	25
2021-04-03	7
2021-04-04	3
2021-04-05	32
2021-04-06	43
2021-04-07	47
2021-04-08	39
2021-04-09	33
2021-04-10	13
2021-04-11	9
2021-04-12	35
2021-04-13	44
2021-04-14	59
2021-04-15	42
2021-04-16	39
2021-04-17	13
2021-04-18	10
2021-04-19	30
2021-04-20	44
2021-04-21	34
2021-04-22	51
2021-04-23	43
2021-04-24	12
2021-04-25	12
2021-04-26	31
2021-04-27	47
2021-04-28	39
2021-04-29	42
2021-04-30	34
2021-05-01	18
2021-05-02	13
2021-05-03	37
2021-05-04	38
2021-05-05	42
2021-05-06	46
2021-05-07	36
2021-05-08	10
2021-05-09	15
2021-05-10	46
2021-05-11	54
2021-05-12	42
2021-05-13	60
2021-05-14	38
2021-05-15	16
2021-05-16	14
2021-05-17	42
2021-05-18	56
2021-05-19	44
2021-05-20	57
2021-05-21	43
2021-05-22	12
2021-05-23	15
2021-05-24	104
2021-05-25	135
2021-05-26	107
2021-05-27	106
2021-05-28	55
2021-05-29	8
2021-05-30	9
2021-05-31	12
2021-06-01	36
2021-06-02	35
2021-06-03	40
2021-06-04	41
2021-06-05	16
2021-06-06	9
2021-06-07	38
2021-06-08	42
2021-06-09	50
2021-06-10	52
2021-06-11	35
2021-06-12	12
2021-06-13	8
2021-06-14	38
2021-06-15	43
2021-06-16	43
2021-06-17	49
2021-06-18	32
2021-06-19	8
2021-06-20	9
2021-06-21	26
2021-06-22	48
2021-06-23	48
2021-06-24	54
2021-06-25	34
2021-06-26	6
2021-06-27	12
2021-06-28	43
2021-06-29	46
2021-06-30	51
2021-07-01	44
2021-07-02	34
2021-07-03	11
2021-07-04	5
2021-07-05	22
2021-07-06	44
2021-07-07	41
2021-07-08	67
2021-07-09	33
2021-07-10	9
2021-07-11	7
2021-07-12	36
2021-07-13	41
2021-07-14	43
2021-07-15	41
2021-07-16	31
2021-07-17	9
2021-07-18	7
2021-07-19	38
2021-07-20	54
2021-07-21	44
2021-07-22	50
2021-07-23	30
2021-07-24	8
2021-07-25	10
2021-07-26	31
2021-07-27	46
2021-07-28	35
2021-07-29	49
2021-07-30	30
2021-07-31	7
2021-08-01	5
2021-08-02	36
2021-08-03	37
2021-08-04	51
2021-08-05	52
2021-08-06	39
2021-08-07	9
2021-08-08	8
2021-08-09	40
2021-08-10	51
2021-08-11	73
2021-08-12	46
2021-08-13	37
2021-08-14	6
2021-08-15	7
2021-08-16	36
2021-08-17	48
2021-08-18	48
2021-08-19	45
2021-08-20	39
2021-08-21	8
2021-08-22	8
2021-08-23	40
2021-08-24	46
2021-08-25	50
2021-08-26	37
2021-08-27	31
2021-08-28	8
2021-08-29	8
2021-08-30	34
2021-08-31	35
2021-09-01	44
2021-09-02	35
2021-09-03	24
2021-09-04	7
2021-09-05	8
2021-09-06	19
2021-09-07	36
2021-09-08	34
2021-09-09	42
2021-09-10	38
2021-09-11	7
2021-09-12	8
2021-09-13	46
2021-09-14	47
2021-09-15	36
2021-09-16	35
2021-09-17	44
2021-09-18	11
2021-09-19	5
2021-09-20	42
2021-09-21	42
2021-09-22	32
2021-09-23	46
2021-09-24	48
2021-09-25	9
2021-09-26	9
2021-09-27	42
2021-09-28	45
2021-09-29	41
2021-09-30	48
2021-10-01	44
2021-10-02	10
2021-10-03	10
2021-10-04	50
2021-10-05	59
2021-10-06	74
2021-10-07	55
2021-10-08	43
2021-10-09	5
2021-10-10	7
2021-10-11	38
2021-10-12	33
2021-10-13	55
2021-10-14	51
2021-10-15	43
2021-10-16	12
2021-10-17	11
2021-10-18	54
2021-10-19	57
2021-10-20	59
2021-10-21	45
2021-10-22	47
2021-10-23	8
2021-10-24	7
2021-10-25	33
2021-10-26	42
2021-10-27	51
2021-10-28	51
2021-10-29	30
2021-10-30	7
2021-10-31	7
2021-11-01	48
2021-11-02	32
2021-11-03	43
2021-11-04	38
2021-11-05	34
2021-11-06	9
2021-11-07	9
2021-11-08	45
2021-11-09	58
2021-11-10	54
2021-11-11	42
2021-11-12	33
2021-11-13	12
2021-11-14	13
2021-11-15	41
2021-11-16	40
2021-11-17	45
2021-11-18	50
2021-11-19	27
2021-11-20	12
2021-11-21	22
2021-11-22	33
2021-11-23	45
2021-11-24	39
2021-11-25	19
2021-11-26	21
2021-11-27	5
2021-11-28	10
2021-11-29	42
2021-11-30	52
2021-12-01	49
2021-12-02	40
2021-12-03	35
2021-12-04	14
2021-12-05	10
2021-12-06	31
2021-12-07	36
2021-12-08	48
2021-12-09	47
2021-12-10	40
2021-12-11	16
2021-12-12	11
2021-12-13	45
2021-12-14	42
2021-12-15	56
2021-12-16	57
2021-12-17	35
2021-12-18	10
2021-12-19	9
2021-12-20	24
2021-12-21	41
2021-12-22	36
2021-12-23	33
2021-12-24	13
2021-12-25	7
2021-12-26	7
2021-12-27	16
2021-12-28	21
2021-12-29	26
2021-12-30	30
