	Date	User	Tweet
0	2018-09-27 14:00:23+00:00	Bloomberg	Is @Twitter data a crucial part of your algorithmic trading strategy? We've developed a curated Twitter Event Driven Feed to cut through the noise, better identifying early trends and sentiment. https://t.co/Y0UX27XfDf
1	2018-09-26 15:30:30+00:00	Bloomberg	For the visually impaired, working in finance is nearly impossible. Our UX designers are working to change that. https://t.co/Qd5USDlLDM https://t.co/acpAE4EmeS
2	2018-09-25 14:30:12+00:00	Bloomberg	The new feature, available on the homepage of the mobile app, makes it easy for users to get a snapshot of the most timely and important news stories, presented it in a way that can be read in less than a minute. https://t.co/ReEiraAI2k
3	2018-09-24 13:00:24+00:00	Bloomberg	As an avid promoter of sustainability accounting standards, @MikeBloomberg is one of the leaders setting the agenda when it comes to sustainable investing. https://t.co/pOjFPWfWvM
4	2018-09-21 12:30:12+00:00	Bloomberg	Proud to have our chairman, Peter Grauer, recognized as a leading male executive championing women in business. #FTHERoes18 https://t.co/nqwdojaFFe
5	2018-09-20 16:00:24+00:00	Bloomberg	Businesses can't ignore these numbers. Join us this #HispanicHeritageMonth to create #unavoz -- one voice around the importance of inclusion in the workplace. https://t.co/1vN5hQvE18
6	2018-09-19 14:45:05+00:00	Bloomberg	Next week, #BloombergGBF will convene the world's public and private sector leaders to collaborate on common goals and foster prosperity for future generations. https://t.co/ncLgshr0ot
7	2018-09-18 13:30:09+00:00	Bloomberg	ICYMI: our fifth annual #d4gx brought together participants from academia, industry, government and NGOs to discuss solving social problems by applying modern machine learning and data science methods. Get a recap of the workshops here: https://t.co/ikVY1Cwr1Y
8	2018-09-17 12:50:02+00:00	Bloomberg	The #fintech industry currently employs about 3 million people directly and indirectly in the region. https://t.co/sigvXV9Qix
9	2018-09-14 17:30:09+00:00	Bloomberg	"""But last month when I dropped by the in-plant at Bloomberg, near Princeton, N.J., I was blown away by nearly every­thing I saw,"" says @IPGBob.  https://t.co/zFo2ZYtmm9"
10	2018-09-13 15:15:00+00:00	Bloomberg	With #PRIinPerson underway in San Francisco, hear @cravenel explain why sustainability is just good business. (Hint: It’s helped us avoid more than $100 million in operating costs.)
11	2018-09-12 17:45:08+00:00	Bloomberg	For the first time, our clients can directly program against our comprehensive historical data, servicing the growing needs of #datascience. https://t.co/3Mc7warqov
12	2018-09-11 16:30:15+00:00	Bloomberg	It’s not every day we come across large public companies with a strong representation of women at all levels of their workforce. @KierstenBarnet sits down with @AMNHealthcare's CEO to discuss the importance of championing gender equality in the industry. https://t.co/V755Qtjlbp
13	2018-09-10 19:00:20+00:00	Bloomberg	The initiative aims to advance financial education and journalism in Saudi Arabia through training conducted by @Matthew_Winkler and more than 20 Bloomberg journalists and analysts from London and the Middle East. https://t.co/Hb9ACuHKTD
14	2018-09-10 12:00:11+00:00	Bloomberg	Grants from the Bloomberg Media Initiative Africa and @FordFoundation aim to elevate voices from local communities and further the development of citizen journalism on the continent. https://t.co/FpYzJcId3s
15	2018-09-07 16:00:25+00:00	Bloomberg	"Our ""highly-innovative"" European HQ has been shortlisted for architecture's highest accolade.  #StirlingPrize @FosterPartners @RIBA https://t.co/RJUfWMgdqN"
16	2018-09-06 16:00:20+00:00	Bloomberg	Is @Twitter data a crucial part of your algorithmic trading strategy? We've launched a curated Twitter Event Driven Feed to cut through the noise, better identifying early trends and sentiment. https://t.co/BfmDjlCuiB
17	2018-09-05 16:00:23+00:00	Bloomberg	Companies can no longer ignore gender-related issues in the workplace. The 2019 Bloomberg Gender-Equality Index highlights those committed to moving the needle towards an equitable workplace. https://t.co/bipGJpstnk
18	2018-09-04 12:45:05+00:00	Bloomberg	As an avid promoter of sustainability accounting standards, @MikeBloomberg is one of the leaders setting the agenda when it comes to sustainable investing. https://t.co/4mfDPiHSm0
