	Date	User	Tweet
0	2021-11-22 15:51:55+00:00	Bloomberg	Introducing the Bloomberg New Economy Gateway, a series of regional events with global audiences, starting with Panama in 2022. The inaugural event will bring regional &amp; global leaders together for action on sustainable investments and the future of trade. https://t.co/43v05lUh2G
1	2021-11-11 16:44:51+00:00	Bloomberg	Service doesn’t stop at the military; it extends into the civilian world. Members of our military &amp; veterans community share their stories and what they think companies can do to further engage with veterans. https://t.co/tXgw5gQoXg https://t.co/utLjxcBexS
2	2021-11-10 20:26:21+00:00	Bloomberg	Proud to see our Head of APAC Legal, Amin Kassam, &amp; Director of Govt Relations, @deanna_hallett (who co-leads our #LGBT and Ally Community in EMEA), recognized as top role models and allies for the LGBT+ community in the workplace. #OUTRoleModels21 #InclusionInAction https://t.co/hof0bn6aRt
3	2021-11-10 17:38:03+00:00	Bloomberg	To demonstrate our ongoing support for those who serve or have served in the Armed Forces - and their families - and the value they bring to our business, we recently signed the #ArmedForcesCovenant. #forourforces #InclusionInAction #RemembranceDay https://t.co/o7G2z5KQky
4	2021-11-09 14:15:00+00:00	Bloomberg	Climate finance is key to building a low-carbon economy. See how we’re taking action to unlock investment and accelerate the energy transition. https://t.co/4v2H5ktzmx https://t.co/at4obrXt7J
5	2021-11-08 15:34:13+00:00	Bloomberg	As a global company, it’s critical to develop, promote and retain multilingual employees. Three of our London-based, German-speaking colleagues share insights into their roles and explain how being multilingual enhances their client relationships. https://t.co/NYcu8dHfB3
6	2021-11-05 18:15:42+00:00	Bloomberg	Bloomberg's Nadia Humphreys discusses the EU Taxonomy's impact on different industries and how financial services firms can – and should – report against it. Watch the full interview: https://t.co/q6ywNqay9G https://t.co/EvPXwXuq7P
7	2021-11-05 14:25:09+00:00	Bloomberg	How do policy makers keep up in the race to #netzeroemissions? NetZero Pathfinders, a new public resource provided by Bloomberg, lights the way by providing concrete, actionable policy solutions to address the #climatecrisis. Learn more: https://t.co/SAt5mFY9Ek https://t.co/Q6MB7UyoPY
8	2021-11-04 16:25:51+00:00	Bloomberg	We cannot tackle climate change without empowering cities. See how we're taking action to help local leaders worldwide win the Race to Zero. https://t.co/1RhITbUcBE https://t.co/B3RCJk6J2R
9	2021-11-03 21:48:55+00:00	Bloomberg	Air pollution sits at the intersection of the critical issues of climate change and public health. To address this issue, Bloomberg Philanthropies launched an ambitious clean air effort that aims to improve air quality through support for pilot projects. https://t.co/kFzB9uPoBL
