	Date	User	Tweet
0	2021-12-23 17:59:39+00:00	Bloomberg	Wishing you all the best in this holiday season. #HappyHolidays from Bloomberg. ⛄ https://t.co/EqvW0Abh61
1	2021-12-09 21:45:03+00:00	Bloomberg	Bloomberg is committed to furthering diversity. Bloomberg Japan has won a Gold Award for the second consecutive year in the PRIDE Index 2021, and an ACE Award in the Environment Creation Category from the Accessibility Consortium of Enterprises (ACE).  https://t.co/MUkmWHJf0d
2	2021-11-30 15:43:53+00:00	Bloomberg	The @CountUsInSOCIAL Employee Challenge aims to inspire 100M employees to take #climate action in the next 5 years. At @Bloomberg we’re empowering our teams to make changes that matter. Learn more and join us: https://t.co/uigGgn1OvM #CountUsInEmployees https://t.co/gTshE0cj8T
3	2021-11-22 15:51:55+00:00	Bloomberg	Introducing the Bloomberg New Economy Gateway, a series of regional events with global audiences, starting with Panama in 2022. The inaugural event will bring regional &amp; global leaders together for action on sustainable investments and the future of trade. https://t.co/43v05lUh2G
4	2021-11-11 16:44:51+00:00	Bloomberg	Service doesn’t stop at the military; it extends into the civilian world. Members of our military &amp; veterans community share their stories and what they think companies can do to further engage with veterans. https://t.co/tXgw5gQoXg https://t.co/utLjxcBexS
5	2021-11-10 20:26:21+00:00	Bloomberg	Proud to see our Head of APAC Legal, Amin Kassam, &amp; Director of Govt Relations, @deanna_hallett (who co-leads our #LGBT and Ally Community in EMEA), recognized as top role models and allies for the LGBT+ community in the workplace. #OUTRoleModels21 #InclusionInAction https://t.co/hof0bn6aRt
6	2021-11-10 17:38:03+00:00	Bloomberg	To demonstrate our ongoing support for those who serve or have served in the Armed Forces - and their families - and the value they bring to our business, we recently signed the #ArmedForcesCovenant. #forourforces #InclusionInAction #RemembranceDay https://t.co/o7G2z5KQky
7	2021-11-09 14:15:00+00:00	Bloomberg	Climate finance is key to building a low-carbon economy. See how we’re taking action to unlock investment and accelerate the energy transition. https://t.co/4v2H5ktzmx https://t.co/at4obrXt7J
8	2021-11-08 15:34:13+00:00	Bloomberg	As a global company, it’s critical to develop, promote and retain multilingual employees. Three of our London-based, German-speaking colleagues share insights into their roles and explain how being multilingual enhances their client relationships. https://t.co/NYcu8dHfB3
9	2021-11-05 18:15:42+00:00	Bloomberg	Bloomberg's Nadia Humphreys discusses the EU Taxonomy's impact on different industries and how financial services firms can – and should – report against it. Watch the full interview: https://t.co/q6ywNqay9G https://t.co/EvPXwXuq7P
10	2021-11-05 14:25:09+00:00	Bloomberg	How do policy makers keep up in the race to #netzeroemissions? NetZero Pathfinders, a new public resource provided by Bloomberg, lights the way by providing concrete, actionable policy solutions to address the #climatecrisis. Learn more: https://t.co/SAt5mFY9Ek https://t.co/Q6MB7UyoPY
11	2021-11-04 16:25:51+00:00	Bloomberg	We cannot tackle climate change without empowering cities. See how we're taking action to help local leaders worldwide win the Race to Zero. https://t.co/1RhITbUcBE https://t.co/B3RCJk6J2R
12	2021-11-03 21:48:55+00:00	Bloomberg	Air pollution sits at the intersection of the critical issues of climate change and public health. To address this issue, Bloomberg Philanthropies launched an ambitious clean air effort that aims to improve air quality through support for pilot projects. https://t.co/kFzB9uPoBL
13	2021-10-29 20:14:24+00:00	Bloomberg	Bloomberg is proud to support Generation Earthshot, a way for the younger generation to join in with the mission of The Earthshot Prize by developing innovative new ideas to help repair our planet. To learn about the program, click here. https://t.co/zCLvGWbWXR #ImpactinAction
14	2021-10-29 15:06:32+00:00	Bloomberg	Pride, whether it’s professional or personal, focused on heritage or culture, is essential to who we are. The Bloomberg Black Professional Community is sharing some members’ thoughts on what makes them proud. https://t.co/YNa1IAlO4w
15	2021-10-28 19:53:45+00:00	Bloomberg	Reaching net zero is crucial to fight climate change. See how we’re taking action to move the world to a clean energy economy. https://t.co/4v2H5ktzmx https://t.co/epgQ59uSdN
16	2021-10-28 16:44:23+00:00	Bloomberg	With @COP26 fast-approaching, NetZero Pathfinders, an online public resource provided by Bloomberg provides real-world guidance to help governments strengthen their climate strategies and move faster in the #racetozero. Find out more: https://t.co/mPwTZe4ybM
17	2021-10-27 14:28:51+00:00	Bloomberg	When addressing the Abilities community, words matter and people come first. Language plays an essential role in inclusion and can increase visibility and empathy for groups that have historically been marginalized or misunderstood. https://t.co/Ktq4M2DT0P https://t.co/WU5N5DZt3w
18	2021-10-12 13:39:31+00:00	Bloomberg	Black, Asian, and other ethnic groups across the labor market are estimated to bring £24 billion in annual economic benefits to the UK economy. While we've seen progress, there's still work to be done to bridge the Black wealth gap. Learn more: https://t.co/sHPLb2qfX4 https://t.co/8eR2Ofubtr
19	2021-10-06 16:20:28+00:00	Bloomberg	At Bloomberg, we devote almost all of our profits to @BloombergDotOrg. See how we're working with partners around the world to transform lives through the power of data. https://t.co/x1xHNNyWcO https://t.co/lh1Z4W6nmk
20	2021-09-22 18:27:27+00:00	Bloomberg	In a move that strengthens its commitment to creating a workplace culture that values difference, fosters inclusion and promotes collaboration, Bloomberg today announced Fatima Shama as the company’s new Head of Diversity &amp; Inclusion, Americas. https://t.co/7FPMmHjIC7
21	2021-09-14 14:48:52+00:00	Bloomberg	Our European headquarters in London was recently awarded an ‘Outstanding’ rating for its sustainable building management and operations under the BREEAM In-Use assessment. https://t.co/pClDFnhV3H
22	2021-09-11 13:00:07+00:00	Bloomberg	Today, we remember the lives lost on Sept. 11, 2001, including Bloomberg employees Peter Craig Alderman, William H. Kelly Jr., and Paul Ortiz Jr. #NeverForget https://t.co/CZkmFOzKOF
23	2021-08-24 12:39:18+00:00	Bloomberg	"RADAR is back — bringing together disruptive pioneers in government, business and finance to advance the progressive ideas, innovative policies and world-changing philanthropies shaping our future. #radar2021 

Find out more: https://t.co/rxZ4ZlM1L0 https://t.co/mirDXecXV4"
24	2021-08-20 14:34:36+00:00	Bloomberg	The benchmark is designed to measure the performance of the largest decentralized finance protocols by market value that offer financial services without a central financial intermediary, such as brokerages, exchanges, or banks.  https://t.co/pK4IbvoFme
25	2021-08-17 16:17:58+00:00	Bloomberg	Senior leaders need to be the catalyst for change in their organizations. Proud to see our Chairman, Peter T. Grauer, recognized as a top ally for the LGBT+ community in the workplace. #InclusionInAction https://t.co/Jw6ncccDEY
26	2021-08-13 14:49:42+00:00	Bloomberg	This Initiative will help cultivate a vast pool of untapped talent, while supporting NYC’s recovery and enable companies across the finance industry to engage students from first semester through graduation. #ImpactInAction https://t.co/mvLmsu6xYA
