	Date	User	Tweet
0	2020-10-29 13:03:39+00:00	Bloomberg	As #ESG investments grow, so too does the need to set global standards for sustainable finance.  https://t.co/9VrSDs4VQe
1	2020-10-27 14:12:28+00:00	Bloomberg	Our own Joe McHale, Head of European Government and Regulatory Affairs, has joined the Next Generation Leadership Council, which aims to challenge thinking and provide fresh perspectives on the big strategic issues facing the financial industry. https://t.co/A9TaJRO6mp
2	2020-10-26 14:55:52+00:00	Bloomberg	For decades, women have fought against bias within finance. In recognition of these challenges, #BloombergNewVoices partnered with @Smithsonian to bring together three trailblazing women to discuss the nuances of working in a male-dominated industry. #BecauseOfHerStory
3	2020-10-23 14:24:38+00:00	Bloomberg	In a moment when so much is changing so quickly, there’s no doubt that accurate reporting and reliable data are critically important -- as well as journalists with unique experiences and various points of view. #InclusionInAction https://t.co/4iyeNncPFr
4	2020-10-21 13:25:14+00:00	Bloomberg	At a time when accurate information can save lives, Bloomberg Media Initiative Africa is helping build media capacity in the region. In doing so, we're improving access to the independent data and analysis that can inform policy and public opinion.
5	2020-10-20 22:03:28+00:00	Bloomberg	A report today about Bloomberg LP ownership is not true.  The company is not for sale.
6	2020-10-20 13:59:58+00:00	Bloomberg	If you don't include everyone, you don't know what you're missing. #AbilitiesAwarenessMonth #InclusionInAction
7	2020-10-16 12:00:07+00:00	Bloomberg	The agenda for the four-day, live-streamed event, happening from November 16-19th, will focus on five core topic areas: finance, trade, climate, health and cities. https://t.co/hvvA5Dc7UQ
8	2020-10-14 13:32:07+00:00	Bloomberg	How it started:            How it's going: https://t.co/uHkPLGpMzg
9	2020-10-13 18:01:31+00:00	Bloomberg	"""There aren't a lot of companies that can credibly claim to be world-class tech infrastructure builders on par with the cloud giants. But Bloomberg, at the heart of the world's financial system, wouldn't have it any other way."" https://t.co/ajhkSOxSGS"
10	2020-10-12 14:20:37+00:00	Bloomberg	If you don't include everyone, you don't know what you're missing. #BlackHistoryMonth #InclusionInAction
11	2020-10-07 15:34:27+00:00	Bloomberg	In partnership with @FordFoundation, this financial support will strengthen regional journalism at a time when communities urgently need access to accurate, local information on #COVID19
12	2020-10-06 13:19:44+00:00	Bloomberg	'Spoofers' trick other investors into buying or selling by entering their own buy or sell orders with no intention of filling them. https://t.co/95SKENfLtZ
13	2020-10-02 17:14:07+00:00	Bloomberg	With the help of our own Nadia Humphreys, we're helping to move the #SustainableFinanceEU agenda forward as an official member of the Platform on Sustainable Finance. https://t.co/Vpbr6gLuXH
14	2020-10-01 14:32:07+00:00	Bloomberg	This new editorial vertical will help readers and viewers make smarter decisions about their personal finances with data-backed tools to help navigate key financial decisions in their lives. https://t.co/hy5cxHYYGQ
15	2020-10-01 13:29:20+00:00	Bloomberg	Investors looking to analyze which companies are leading the race to adapt to a less carbon-intensive world can leverage our proprietary #ESG scores. https://t.co/1P5yWKJXBU
16	2020-09-30 13:58:10+00:00	Bloomberg	This move will allow @QuickTake to further reach a reach a broader, younger audience from every business sector. https://t.co/V9OA1shb8N
17	2020-09-29 16:58:16+00:00	Bloomberg	Financial professionals communicate in multiple languages, including with slang or emojis, and firms need to remain compliant.
18	2020-09-25 17:34:41+00:00	Bloomberg	Ranked as one of the top senior leaders on the 2020 @HERoesinB #HERRoleModels20 list, our Chairman Peter Grauer is creating a more inclusive business environment for women. #InclusionInAction
19	2020-09-25 14:24:46+00:00	Bloomberg	Investors want to know how social investment criteria can be meaningfully identified and measured. Is it an opportunity or a liability? #ESG https://t.co/GzUulCiFLx
20	2020-09-24 15:37:50+00:00	Bloomberg	If you don't include everyone, you don't know what you're missing. #HispanicHeritageMonth #InclusionInAction
21	2020-09-21 14:25:34+00:00	Bloomberg	How do we take bold action to create an inclusive future? On September 23, join us for the third annual #BloombergEquality Summit. Don't miss conversations with @llcoolj, @aliciagarza, @sunny, @johnlegend, @Alyssa_Milano, and more.
22	2020-09-17 15:44:28+00:00	Bloomberg	This project is “one of the most consequential, if not the most consequential, launch in the news industry this year,” says @Justin_B_Smith.
23	2020-09-16 18:54:44+00:00	Bloomberg	As demand for alternative data skyrockets and firms continue to navigate a dislocated economy, this expansion will ensure  clients have access to a wide range of alt data - in conjunction with traditional financial data - to make critical investment decisions in this new normal.
24	2020-09-15 16:36:18+00:00	Bloomberg	#ESG ETFs, which have dominated fund investments along with gold this year, may soon outpace the metal.  https://t.co/X1S7R27yEe
25	2020-09-15 12:37:59+00:00	Bloomberg	@Eskobarito Hello, can you please send us a DM so that we can assist? https://t.co/Cr1gXgE2zY
26	2020-09-11 17:42:21+00:00	Bloomberg	Today, and every day, we honor the memory of the Bloomberg employees we lost on Sept. 11, 2001: Peter Craig Alderman, William H. Kelly Jr., and Paul Ortiz Jr. #NeverForget https://t.co/xnJhDqUwNO
27	2020-09-10 20:58:39+00:00	Bloomberg	To showcase our commitment to hire, promote, retain, &amp; celebrate Latinx talent, our Chairman Peter Grauer signed the @WAAH_Foundation's #HispanicPromise. We encourage others to join us this #HispanicHeritageMonth &amp; show your #InclusionInAction.
28	2020-09-09 15:43:46+00:00	Bloomberg	India’s solar auctions have emerged as one bright spot unaffected by #COVID19. The country has auctioned 8.2 gigawatts of #solar this year, of which 75% occurred after its lockdown began on March 25.  https://t.co/05xQtio1dn
29	2020-09-04 14:13:21+00:00	Bloomberg	Investors are beginning to view companies that prioritize sustainability as more resilient to external shocks, making them safer long-term investments.  https://t.co/iYfGp1Zhtc
30	2020-09-03 14:25:02+00:00	Bloomberg	The $100 million gift to historically Black medical schools will ease the debt burden of their students. More Black doctors will mean more Black lives saved in America.
31	2020-08-27 17:17:54+00:00	Bloomberg	The LGBTQI+ community has been disproportionately affected by COVID-19. For organizations looking for resources or inspiration on how to support this community, we encourage you to join us by participating in the @wef #HourOfPride.  https://t.co/OcR2Y1DnIb
32	2020-08-24 15:34:46+00:00	Bloomberg	"Investors are realizing that when it comes to diversity, there's a lack of company disclosures reporting on minorities in the workplace.  

🔊 Listen to our analysts discuss that and more on this episode of the Bloomberg Intelligence Radio show.
https://t.co/dMnD8VqJWi"
33	2020-08-19 13:13:49+00:00	Bloomberg	@iDprived Happy to hear our office (and restrooms) didn't disappoint 😊
34	2020-08-17 13:53:30+00:00	Bloomberg	SOFR. ESTR. SORA. Here’s how to make sense of the dizzying array of acronyms that have sprung up in major markets. https://t.co/8v3wZLCrgO
35	2020-08-14 16:11:19+00:00	Bloomberg	A new analysis shows that in Europe portfolio performance can be strengthened by focusing on companies that lead on gender #diversity metrics. In the US, the analysis found that screening out the laggards can add value.
36	2020-08-10 13:24:40+00:00	Bloomberg	The favorable economics of renewables compared to coal power make it more attractive to build new wind and solar projects. https://t.co/J0auraAHTy
37	2020-08-06 20:29:05+00:00	Bloomberg	What are the key industry concerns around the transition away from LIBOR? How will the discontinuation deadline will be impacted by #COVID19? These questions and more answered here:  https://t.co/JbUmtjlMis
38	2020-08-03 16:55:06+00:00	Bloomberg	If the commitment is ratified, the EU would be on track to deliver over half a trillion euros of green spending that is compliant with its goal to deliver a net-zero economy by 2050.
39	2020-07-22 14:34:41+00:00	Bloomberg	The global economy never sleeps, so you need a partner who can keep up no matter what. Now more than ever, our team is here for you — working hard, working responsibly — doing whatever it takes to keep you keeping on.
40	2020-07-21 18:00:55+00:00	Bloomberg	@StopFundingHate Thank you for bringing this to our attention. The advertisement appeared through a programmatic marketplace. We have now placed this site on our exclusion list.
41	2020-07-21 12:47:24+00:00	Bloomberg	#BloombergNewVoices is now taking nominations for an additional cohort of Black executives in finance and business across the United States. #InclusionInAction
42	2020-07-20 16:13:59+00:00	Bloomberg	The milestone - spanning 125 non-profit partners across 87 cities - was reached through a combination of grants, Bloomberg-matched employee giving programs, pantry donations redistributed from our offices and community-supported agriculture programs. #BloombergService
43	2020-07-16 14:20:30+00:00	Bloomberg	The global economy never sleeps, so you need a partner who can keep up no matter what. Now more than ever, our team is here for you — working hard, working responsibly, working from home — doing whatever it takes to keep you keeping on.
44	2020-07-08 14:58:28+00:00	Bloomberg	The global economy never sleeps, so you need a partner who can keep up no matter what. Now more than ever, our team is here for you — working hard, working responsibly — doing whatever it takes to keep you keeping on.
45	2020-07-07 13:35:54+00:00	Bloomberg	When we first set our renewable energy goals, one challenge we ran into was finding renewable energy projects in the US to supply us with the amount of energy we need at a competitive cost. Here's how we ended up creating a roadmap for other companies to follow. #BloombergImpact
46	2020-06-30 15:44:04+00:00	Bloomberg	The global economy never sleeps, so you need a partner who can keep up no matter what. Now more than ever, we're here for you — working hard, working responsibly, working from home — doing whatever it takes to keep you keeping on.
47	2020-06-29 22:31:06+00:00	Bloomberg	Ratifying the #EqualRightsAmendment will send a powerful message about the US' commitment to #genderequality. That’s why we joined 92 companies signing a brief supporting the elimination of systemic barriers impeding women’s economic &amp; social advancement.
48	2020-06-29 14:01:29+00:00	Bloomberg	If you don't include everyone, you don't know what you're missing.#Pride #InclusionInAction
49	2020-06-23 12:03:54+00:00	Bloomberg	Black Americans make up approximately 22% of #COVID19 cases, yet they represent only 13% of the population. What underpins this disparity? @MarioDParker moderates this discussion on what cities and citizens must do better. https://t.co/X43p9BEJEg
50	2020-06-18 17:50:29+00:00	Bloomberg	This story, part of a monthly series appearing on @TheTerminal, showcases changes in female representation on boards of companies in the S&amp;P 500.
51	2020-06-15 19:32:41+00:00	Bloomberg	"Today, #SCOTUS ruled that any ""employer who fires an individual merely for being gay or transgender defies the law."" This ruling is consistent with our existing policies and reinforces our enduring advocacy for inclusion and non-discrimination worldwide."
52	2020-06-11 19:27:05+00:00	Bloomberg	Companies can now submit their gender-related data to be considered for inclusion in the 2021 #BloombergGEI, which tracks the financial performance of public companies most committed to gender equality in the workplace.
