Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2018-01-02,24824.009765625,341130000,1.0,2,1,False,False,True,False
2018-01-03,24922.6796875,456790000,1.0,3,2,False,False,True,False
2018-01-04,25075.130859375,403280000,1.0,4,3,False,False,True,False
2018-01-05,25295.869140625,358020000,1.0,5,4,False,False,False,False
2018-01-08,25283.0,341390000,1.0,8,0,False,False,False,False
2018-01-09,25385.80078125,333490000,1.0,9,1,False,False,False,False
2018-01-10,25369.130859375,341470000,1.0,10,2,False,False,False,False
2018-01-11,25574.73046875,346830000,1.0,11,3,False,False,False,False
2018-01-12,25803.189453125,376390000,1.0,12,4,False,False,False,False
2018-01-16,25792.859375,606520000,1.0,16,1,False,False,False,False
2018-01-17,26115.650390625,522720000,1.0,17,2,False,False,False,False
2018-01-18,26017.810546875,492780000,1.0,18,3,False,False,False,False
2018-01-19,26071.720703125,585000000,1.0,19,4,False,False,False,False
2018-01-22,26214.599609375,431200000,1.0,22,0,False,False,False,False
2018-01-23,26210.810546875,433490000,1.0,23,1,False,False,False,False
2018-01-24,26252.119140625,518790000,1.0,24,2,False,False,False,False
2018-01-25,26392.7890625,401390000,1.0,25,3,False,False,False,False
2018-01-26,26616.7109375,477780000,1.0,26,4,False,False,False,False
2018-01-29,26439.48046875,421000000,1.0,29,0,False,True,False,False
2018-01-30,26076.890625,448330000,1.0,30,1,False,True,False,False
2018-01-31,26149.390625,479130000,1.0,31,2,False,True,False,False
2018-02-01,26186.7109375,410620000,1.0,1,3,False,False,True,False
2018-02-02,25520.9609375,522880000,1.0,2,4,False,False,True,False
2018-02-05,24345.75,714450000,1.0,5,0,False,False,False,False
2018-02-06,24912.76953125,823940000,1.0,6,1,False,False,False,False
2018-02-07,24893.349609375,504620000,1.0,7,2,False,False,False,False
2018-02-08,23860.4609375,657500000,1.0,8,3,False,False,False,False
2018-02-09,24190.900390625,735030000,1.0,9,4,False,False,False,False
2018-02-12,24601.26953125,496610000,1.0,12,0,False,False,False,False
2018-02-13,24640.44921875,374410000,1.0,13,1,False,False,False,False
2018-02-14,24893.490234375,431160000,1.0,14,2,False,False,False,True
2018-02-15,25200.369140625,416780000,1.0,15,3,False,False,False,False
2018-02-16,25219.380859375,406730000,1.0,16,4,False,False,False,False
2018-02-20,24964.75,421510000,1.0,20,1,False,False,False,False
2018-02-21,24797.779296875,456070000,1.0,21,2,False,False,False,False
2018-02-22,24962.48046875,378900000,1.0,22,3,False,False,False,False
2018-02-23,25309.990234375,335420000,1.0,23,4,False,False,False,False
2018-02-26,25709.26953125,473360000,1.0,26,0,False,False,False,False
2018-02-27,25410.029296875,438390000,1.0,27,1,False,False,False,False
2018-02-28,25029.19921875,451870000,1.0,28,2,False,True,False,False
2018-03-01,24608.98046875,506280000,1.0,1,3,False,False,True,False
2018-03-02,24538.060546875,437130000,1.0,2,4,False,False,True,False
2018-03-05,24874.759765625,383910000,1.0,5,0,False,False,False,False
2018-03-06,24884.119140625,331770000,1.0,6,1,False,False,False,False
2018-03-07,24801.359375,394070000,1.0,7,2,False,False,False,False
2018-03-08,24895.2109375,327300000,1.0,8,3,False,False,False,False
2018-03-09,25335.740234375,371570000,1.0,9,4,False,False,False,False
2018-03-12,25178.609375,362580000,1.0,12,0,False,False,False,False
2018-03-13,25007.029296875,447880000,1.0,13,1,False,False,False,False
2018-03-14,24758.119140625,356830000,1.0,14,2,False,False,False,False
2018-03-15,24873.66015625,316310000,1.0,15,3,False,False,False,False
2018-03-16,24946.509765625,654240000,1.0,16,4,False,False,False,False
2018-03-19,24610.91015625,377990000,1.0,19,0,False,False,False,False
2018-03-20,24727.26953125,342510000,1.0,20,1,False,False,False,False
2018-03-21,24682.310546875,343230000,1.0,21,2,False,False,False,False
2018-03-22,23957.890625,439280000,1.0,22,3,False,False,False,False
2018-03-23,23533.19921875,482550000,1.0,23,4,False,False,False,False
2018-03-26,24202.599609375,479540000,1.0,26,0,False,False,False,False
