Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-01-04,30223.890625,475080000,1.0,4,0,False,False,True,False
2021-01-05,30391.599609375,350910000,1.0,5,1,False,False,False,False
2021-01-06,30829.400390625,500430000,1.0,6,2,False,False,False,False
2021-01-07,31041.130859375,427810000,1.0,7,3,False,False,False,False
2021-01-08,31097.970703125,381150000,1.0,8,4,False,False,False,False
2021-01-11,31008.689453125,356540000,1.0,11,0,False,False,False,False
2021-01-12,31068.689453125,362620000,1.0,12,1,False,False,False,False
2021-01-13,31060.470703125,413250000,1.0,13,2,False,False,False,False
2021-01-14,30991.51953125,427810000,1.0,14,3,False,False,False,False
2021-01-15,30814.259765625,433000000,1.0,15,4,False,False,False,False
2021-01-19,30930.51953125,386400000,1.0,19,1,False,False,False,False
2021-01-20,31188.380859375,384980000,1.0,20,2,False,False,False,False
2021-01-21,31176.009765625,418780000,1.0,21,3,False,False,False,False
2021-01-22,30996.98046875,436040000,1.0,22,4,False,False,False,False
2021-01-25,30960.0,472890000,1.0,25,0,False,False,False,False
2021-01-26,30937.0390625,373150000,1.0,26,1,False,False,False,False
2021-01-27,30303.169921875,566470000,1.0,27,2,False,False,False,False
2021-01-28,30603.359375,465140000,1.0,28,3,False,True,False,False
2021-01-29,29982.619140625,536320000,1.0,29,4,False,True,False,False
2021-02-01,30211.91015625,347060000,1.0,1,0,False,False,True,False
2021-02-02,30687.48046875,333160000,1.0,2,1,False,False,True,False
2021-02-03,30723.599609375,305590000,1.0,3,2,False,False,True,False
2021-02-04,31055.859375,338330000,1.0,4,3,False,False,True,False
2021-02-05,31148.240234375,293550000,1.0,5,4,False,False,False,False
2021-02-08,31385.759765625,322250000,1.0,8,0,False,False,False,False
2021-02-09,31375.830078125,308210000,1.0,9,1,False,False,False,False
2021-02-10,31437.80078125,326450000,1.0,10,2,False,False,False,False
2021-02-11,31430.69921875,280320000,1.0,11,3,False,False,False,False
2021-02-12,31458.400390625,263090000,1.0,12,4,False,False,False,False
2021-02-16,31522.75,329210000,1.0,16,1,False,False,False,False
2021-02-17,31613.01953125,343510000,1.0,17,2,False,False,False,False
2021-02-18,31493.33984375,325990000,1.0,18,3,False,False,False,False
2021-02-19,31494.3203125,353070000,1.0,19,4,False,False,False,False
2021-02-22,31521.689453125,387210000,1.0,22,0,False,False,False,False
2021-02-23,31537.349609375,460410000,1.0,23,1,False,False,False,False
2021-02-24,31961.859375,410150000,1.0,24,2,False,False,False,False
2021-02-25,31402.009765625,454110000,1.0,25,3,False,False,False,False
2021-02-26,30932.369140625,532250000,1.0,26,4,False,False,False,False
2021-03-01,31535.509765625,385670000,1.0,1,0,False,False,True,False
2021-03-02,31391.51953125,337270000,1.0,2,1,False,False,True,False
2021-03-03,31270.08984375,409660000,1.0,3,2,False,False,True,False
2021-03-04,30924.140625,537850000,1.0,4,3,False,False,True,False
2021-03-05,31496.30078125,501810000,1.0,5,4,False,False,False,False
2021-03-08,31802.439453125,496980000,1.0,8,0,False,False,False,False
2021-03-09,31832.740234375,458690000,1.0,9,1,False,False,False,False
2021-03-10,32297.01953125,409110000,1.0,10,2,False,False,False,False
2021-03-11,32485.58984375,400020000,1.0,11,3,False,False,False,False
2021-03-12,32778.640625,346400000,1.0,12,4,False,False,False,False
2021-03-15,32953.4609375,360080000,1.0,15,0,False,False,False,False
2021-03-16,32825.94921875,386370000,1.0,16,1,False,False,False,False
2021-03-17,33015.37109375,391200000,1.0,17,2,False,False,False,False
2021-03-18,32862.30078125,418480000,1.0,18,3,False,False,False,False
2021-03-19,32627.970703125,811890000,1.0,19,4,False,False,False,False
2021-03-22,32731.19921875,383500000,1.0,22,0,False,False,False,False
2021-03-23,32423.150390625,385840000,1.0,23,1,False,False,False,False
2021-03-24,32420.060546875,399390000,1.0,24,2,False,False,False,False
2021-03-25,32619.48046875,411990000,1.0,25,3,False,False,False,False
2021-03-26,33072.87890625,382170000,1.0,26,4,False,False,False,False
2021-03-29,33171.37109375,351610000,1.0,29,0,False,True,False,False
2021-03-30,33066.9609375,307510000,1.0,30,1,False,True,False,False
2021-03-31,32981.55078125,414140000,1.0,31,2,False,True,False,False
2021-04-01,33153.2109375,311880000,1.0,1,3,False,False,True,False
2021-04-05,33527.19140625,344270000,1.0,5,0,False,False,False,False
2021-04-06,33430.23828125,297940000,1.0,6,1,False,False,False,False
2021-04-07,33446.26171875,273440000,1.0,7,2,False,False,False,False
2021-04-08,33503.5703125,304040000,1.0,8,3,False,False,False,False
2021-04-09,33800.6015625,316410000,1.0,9,4,False,False,False,False
2021-04-12,33745.3984375,327370000,1.0,12,0,False,False,False,False
2021-04-13,33677.26953125,324480000,1.0,13,1,False,False,False,False
2021-04-14,33730.890625,315330000,1.0,14,2,False,False,False,False
2021-04-15,34035.98828125,319680000,1.0,15,3,False,False,False,False
2021-04-16,34200.671875,343760000,1.0,16,4,False,False,False,False
2021-04-19,34077.62890625,312540000,1.0,19,0,False,False,False,False
2021-04-20,33821.30078125,350960000,1.0,20,1,False,False,False,False
2021-04-21,34137.30859375,290300000,1.0,21,2,False,False,False,False
2021-04-22,33815.8984375,344470000,1.0,22,3,False,False,False,False
2021-04-23,34043.48828125,346380000,1.0,23,4,False,False,False,False
2021-04-26,33981.5703125,279300000,1.0,26,0,False,False,False,False
2021-04-27,33984.9296875,289030000,1.0,27,1,False,False,False,False
2021-04-28,33820.37890625,335820000,1.0,28,2,False,True,False,False
2021-04-29,34060.359375,408450000,1.0,29,3,False,True,False,False
2021-04-30,33874.8515625,374890000,1.0,30,4,False,True,False,False
2021-05-03,34113.23046875,289770000,1.0,3,0,False,False,True,False
2021-05-04,34133.03125,407860000,1.0,4,1,False,False,True,False
2021-05-05,34230.33984375,253180000,1.0,5,2,False,False,False,False
2021-05-06,34548.53125,315430000,1.0,6,3,False,False,False,False
2021-05-07,34777.76171875,303400000,1.0,7,4,False,False,False,False
2021-05-10,34742.8203125,361620000,1.0,10,0,False,False,False,False
2021-05-11,34269.16015625,413180000,1.0,11,1,False,False,False,False
2021-05-12,33587.66015625,381350000,1.0,12,2,False,False,False,False
2021-05-13,34021.44921875,350820000,1.0,13,3,False,False,False,False
2021-05-14,34382.12890625,303230000,1.0,14,4,False,False,False,False
2021-05-17,34327.7890625,291910000,1.0,17,0,False,False,False,False
2021-05-18,34060.66015625,289590000,1.0,18,1,False,False,False,False
2021-05-19,33896.0390625,348480000,1.0,19,2,False,False,False,False
2021-05-20,34084.1484375,320150000,1.0,20,3,False,False,False,False
2021-05-21,34207.83984375,306360000,1.0,21,4,False,False,False,False
2021-05-24,34393.98046875,251010000,1.0,24,0,False,False,False,False
2021-05-25,34312.4609375,285760000,1.0,25,1,False,False,False,False
2021-05-26,34323.05078125,258780000,1.0,26,2,False,False,False,False
2021-05-27,34464.640625,520630000,1.0,27,3,False,False,False,False
2021-05-28,34529.44921875,290850000,1.0,28,4,False,True,False,False
2021-06-01,34575.30859375,287700000,1.0,1,1,False,False,True,False
2021-06-02,34600.37890625,263810000,1.0,2,2,False,False,True,False
2021-06-03,34577.0390625,297380000,1.0,3,3,False,False,True,False
2021-06-04,34756.390625,270050000,1.0,4,4,False,False,True,False
2021-06-07,34630.23828125,259120000,1.0,7,0,False,False,False,False
2021-06-08,34599.8203125,289440000,1.0,8,1,False,False,False,False
2021-06-09,34447.140625,245100000,1.0,9,2,False,False,False,False
2021-06-10,34466.23828125,309310000,1.0,10,3,False,False,False,False
2021-06-11,34479.6015625,260840000,1.0,11,4,False,False,False,False
2021-06-14,34393.75,295530000,1.0,14,0,False,False,False,False
2021-06-15,34299.328125,272430000,1.0,15,1,False,False,False,False
2021-06-16,34033.671875,347150000,1.0,16,2,False,False,False,False
2021-06-17,33823.44921875,354690000,1.0,17,3,False,False,False,False
2021-06-18,33290.078125,563920000,1.0,18,4,False,False,False,False
2021-06-21,33876.96875,317260000,1.0,21,0,False,False,False,False
2021-06-22,33945.578125,284130000,1.0,22,1,False,False,False,False
2021-06-23,33874.23828125,255280000,1.0,23,2,False,False,False,False
2021-06-24,34196.8203125,275870000,1.0,24,3,False,False,False,False
2021-06-25,34433.83984375,432550000,1.0,25,4,False,False,False,False
2021-06-28,34283.26953125,280280000,1.0,28,0,False,True,False,False
2021-06-29,34292.2890625,282360000,1.0,29,1,False,True,False,False
2021-06-30,34502.51171875,295560000,1.0,30,2,False,True,False,False
2021-07-01,34633.53125,268280000,1.0,1,3,False,False,True,False
2021-07-02,34786.3515625,301860000,1.0,2,4,False,False,True,False
2021-07-06,34577.37109375,348430000,1.0,6,1,False,False,False,False
2021-07-07,34681.7890625,302700000,1.0,7,2,False,False,False,False
2021-07-08,34421.9296875,335690000,1.0,8,3,False,False,False,False
2021-07-09,34870.16015625,301750000,1.0,9,4,False,False,False,False
2021-07-12,34996.1796875,294800000,1.0,12,0,False,False,False,False
2021-07-13,34888.7890625,322430000,1.0,13,1,False,False,False,False
