Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2022-02-24,33223.828125,590850000,1.0,24,3,False,False,False,False
2022-02-25,34058.75,417630000,1.0,25,4,False,False,False,False
2022-02-28,33892.6015625,443460000,1.0,28,0,False,True,False,False
2022-03-01,33294.94921875,438730000,1.0,1,1,False,False,True,False
2022-03-02,33891.3515625,400920000,1.0,2,2,False,False,True,False
2022-03-03,33794.66015625,369740000,1.0,3,3,False,False,True,False
2022-03-04,33614.80078125,408390000,1.0,4,4,False,False,True,False
2022-03-07,32817.37890625,488400000,1.0,7,0,False,False,False,False
2022-03-08,32632.640625,553750000,1.0,8,1,False,False,False,False
2022-03-09,33286.25,418670000,1.0,9,2,False,False,False,False
2022-03-10,33174.0703125,399480000,1.0,10,3,False,False,False,False
2022-03-11,32944.19140625,369480000,1.0,11,4,False,False,False,False
2022-03-14,32945.23828125,394940000,1.0,14,0,False,False,False,False
2022-03-15,33544.33984375,388810000,1.0,15,1,False,False,False,False
2022-03-16,34063.1015625,427400000,1.0,16,2,False,False,False,False
2022-03-17,34480.76171875,339470000,1.0,17,3,False,False,False,False
2022-03-18,34754.9296875,615420000,1.0,18,4,False,False,False,False
2022-03-21,34552.98828125,408490000,1.0,21,0,False,False,False,False
2022-03-22,34807.4609375,368550000,1.0,22,1,False,False,False,False
2022-03-23,34358.5,347880000,1.0,23,2,False,False,False,False
2022-03-24,34707.94140625,324870000,1.0,24,3,False,False,False,False
2022-03-25,34861.23828125,285440000,1.0,25,4,False,False,False,False
2022-03-28,34955.890625,299790000,1.0,28,0,False,True,False,False
2022-03-29,35294.19140625,355050000,1.0,29,1,False,True,False,False
2022-03-30,35228.80859375,317320000,1.0,30,2,False,True,False,False
2022-03-31,34678.3515625,433400000,1.0,31,3,False,True,False,False
2022-04-01,34818.26953125,340400000,1.0,1,4,False,False,True,False
2022-04-04,34921.87890625,316570000,1.0,4,0,False,False,True,False
2022-04-05,34641.1796875,304010000,1.0,5,1,False,False,False,False
2022-04-06,34496.51171875,386250000,1.0,6,2,False,False,False,False
2022-04-07,34583.5703125,319870000,1.0,7,3,False,False,False,False
2022-04-08,34721.12109375,301750000,1.0,8,4,False,False,False,False
2022-04-11,34308.078125,333290000,1.0,11,0,False,False,False,False
2022-04-12,34220.359375,333510000,1.0,12,1,False,False,False,False
2022-04-13,34564.58984375,313630000,1.0,13,2,False,False,False,False
2022-04-14,34451.23046875,353680000,1.0,14,3,False,False,False,False
2022-04-18,34411.69140625,264110000,1.0,18,0,False,False,False,False
2022-04-19,34911.19921875,296350000,1.0,19,1,False,False,False,False
2022-04-20,35160.7890625,337620000,1.0,20,2,False,False,False,False
2022-04-21,34792.76171875,366390000,1.0,21,3,False,False,False,False
2022-04-22,33811.3984375,373280000,1.0,22,4,False,False,False,False
