Date	User	Tweet
2020-11-08 23:00:29+00:00	binance	"Much wow 👇

https://t.co/wQglV0KX6M"
2020-11-08 19:30:00+00:00	binance	"Discover the benefits of building on #BinanceSmartChain in this virtual workshop!

Featuring Tim Dierckxsens, Co-Founder of @NetworkArkane, and Aleksey Studnev, Technical Director of @Bitquery_io!

Get your ticket ⬇️"
2020-11-08 18:30:00+00:00	binance	Put your $EUR in the #Binance Liquid Swap EUR/BUSD liquidity pool to earn daily interest.
2020-11-08 16:00:00+00:00	binance	What do you want to say to the person counter-trading you right now?
2020-11-08 15:30:00+00:00	binance	"Don't miss the #Binance Summit: #BlockchainApplied next week! 

You can learn all about staking, providing liquidity, automated yield generators and more from @EasyfiNetwork! 

Secure your spot now 👇"
2020-11-08 14:00:18+00:00	binance	Level up. https://t.co/e03PP7DruA
2020-11-08 13:03:04+00:00	binance	"#BinanceLearnAndEarn recap with @orion_protocol!

Complete the quiz for a chance to win up to $20 in $ORN ⬇️ 

https://t.co/5hWuqfNczU"
2020-11-08 12:53:20+00:00	binance	@JasonMaza This seems more useful than a dance. Nice one!
2020-11-08 12:00:29+00:00	binance	What a nocoiner sees when you're trying to explain #Bitcoin https://t.co/AJoQALHSav
2020-11-08 11:00:07+00:00	binance	"Before you become an investor, you need to know what you're trying to achieve. 

Get started today ⬇️

https://t.co/VzmvCM8zQj"
