Date	User	Tweet
2020-02-27 22:00:00+00:00	binance	"#Binance Futures traders are currently Long $BTC/USDT overall on the daily time frame.

""Top traders"" are defined as the top 20% of traders by margin balance.

Trade on #BinanceFutures with up to 125x leverage here:
📈 https://t.co/jkiHuCnnVe https://t.co/urmZcwA638"
2020-02-27 18:50:37+00:00	binance	@IamNomad 🌑   👀
2020-02-27 18:29:30+00:00	binance	"Happy #PokémonDay! 

If $BNB was a Pokémon, it would be Pikachu.

If $BTC was a Pokémon, it would be Charizard.

What Pokémon would your favourite altcoin be?

OG 151 only. #PokemonMasters https://t.co/Z4fxASaV5E"
2020-02-27 18:00:11+00:00	binance	"(2/2)
5. $BUSD Trading Pairs for $ALGO, $BTT, $TOMO, $XMR &amp; $ZEC
6. @BinanceAmerica adds multiple $BUSD trading pairs
7. #Binance Joins @shyftnetwork to Launch Global FATF Travel Rule Solution

#BUIDL"
2020-02-27 18:00:10+00:00	binance	"Today @Binance (1/2)

1. #BinanceFutures max position size update for BTC/USDT at low leverage
2. $BUSD margin pairs for $ETC, $TRX &amp; $ADA
3. Zero-fee payment methods on crypto purchases with $EUR, $GBP &amp; $AUD w/ @BanxaOfficial
4. @binancebcf donations for #Wuhan - phase 1 report https://t.co/X2m9qgrnx0"
2020-02-27 16:05:36+00:00	binance	"#Binance Joins @shyftnetwork to Launch Global FATF Travel Rule Solution

Binance will be the first major integration to drive the deployment of federated coalitions atop of the Shyft Network's discovery and data-interoperability layers.

https://t.co/I06we0mGV5"
2020-02-27 15:05:56+00:00	binance	"Join us tomorrow at 2PM UTC to take part in an exclusive AMA in the #Binance English Telegram group with the @KomodoPlatform team!

There will be $1,000 worth of $KMD tokens to give away!

Get involved here! ➡️ https://t.co/RVhQjH9dKX https://t.co/NzSDyBcuug"
2020-02-27 10:20:40+00:00	binance	"#Binance Charity Donations for #Wuhan - Phase 1 Report

So far @BinanceBCF has delivered to 116 hospitals &amp; teams:

200,000 pairs of gloves
28,000 masks
5 tons of disinfection liquid
20,000 testing kits
1,000 protective suits
9 sterilizers

On the way ⬇️
https://t.co/RkX8SCpCef"
2020-02-27 08:12:41+00:00	binance	"#Binance Adds $BUSD Trading Pairs for $ALGO, $BTT, 
$TOMO, $XMR &amp; $ZEC
https://t.co/PX4w4Kj7Ml https://t.co/npNjIQpymH"
2020-02-27 07:13:46+00:00	binance	"#Binance Announces Zero-Fee Payment Methods On Crypto Purchases With $EUR, $GBP and $AUD Through @BanxaOfficial

https://t.co/lb2SaJ9pt9 https://t.co/iJF929Nyfz"
