Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-09-01,35312.53125,265520000,1.0,1,2,False,False,True,False
2021-09-02,35443.8203125,263370000,1.0,2,3,False,False,True,False
2021-09-03,35369.08984375,221370000,1.0,3,4,False,False,True,False
2021-09-07,35100.0,289830000,1.0,7,1,False,False,False,False
2021-09-08,35031.0703125,261880000,1.0,8,2,False,False,False,False
2021-09-09,34879.37890625,261330000,1.0,9,3,False,False,False,False
2021-09-10,34607.71875,333230000,1.0,10,4,False,False,False,False
2021-09-13,34869.62890625,334190000,1.0,13,0,False,False,False,False
2021-09-14,34577.5703125,325140000,1.0,14,1,False,False,False,False
2021-09-15,34814.390625,317490000,1.0,15,2,False,False,False,False
2021-09-16,34751.3203125,278270000,1.0,16,3,False,False,False,False
2021-09-17,34584.87890625,560630000,1.0,17,4,False,False,False,False
2021-09-20,33970.46875,435780000,1.0,20,0,False,False,False,False
2021-09-21,33919.83984375,306970000,1.0,21,1,False,False,False,False
2021-09-22,34258.3203125,296590000,1.0,22,2,False,False,False,False
2021-09-23,34764.8203125,283890000,1.0,23,3,False,False,False,False
2021-09-24,34798.0,254310000,1.0,24,4,False,False,False,False
2021-09-27,34869.37109375,289480000,1.0,27,0,False,False,False,False
2021-09-28,34299.98828125,379020000,1.0,28,1,False,True,False,False
2021-09-29,34390.71875,290350000,1.0,29,2,False,True,False,False
2021-09-30,33843.921875,354830000,1.0,30,3,False,True,False,False
