Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2017-12-01,24231.58984375,417910000,1.0,1,4,False,False,True,False
2017-12-04,24290.05078125,424250000,1.0,4,0,False,False,True,False
2017-12-05,24180.640625,371190000,1.0,5,1,False,False,False,False
2017-12-06,24140.91015625,312720000,1.0,6,2,False,False,False,False
2017-12-07,24211.48046875,319060000,1.0,7,3,False,False,False,False
2017-12-08,24329.16015625,293590000,1.0,8,4,False,False,False,False
2017-12-11,24386.029296875,300580000,1.0,11,0,False,False,False,False
2017-12-12,24504.80078125,342220000,1.0,12,1,False,False,False,False
2017-12-13,24585.4296875,325280000,1.0,13,2,False,False,False,False
2017-12-14,24508.66015625,314780000,1.0,14,3,False,False,False,False
2017-12-15,24651.740234375,635740000,1.0,15,4,False,False,False,False
2017-12-18,24792.19921875,354880000,1.0,18,0,False,False,False,False
2017-12-19,24754.75,335330000,1.0,19,1,False,False,False,False
2017-12-20,24726.650390625,341790000,1.0,20,2,False,False,False,False
2017-12-21,24782.2890625,339530000,1.0,21,3,False,False,False,False
2017-12-22,24754.060546875,255140000,1.0,22,4,False,False,False,False
2017-12-26,24746.2109375,208290000,1.0,26,1,False,False,False,False
2017-12-27,24774.30078125,225890000,1.0,27,2,False,False,False,False
2017-12-28,24837.509765625,200960000,1.0,28,3,False,True,False,False
2017-12-29,24719.220703125,270760000,1.0,29,4,False,True,False,False
2018-01-02,24824.009765625,341130000,1.0,2,1,False,False,True,False
2018-01-03,24922.6796875,456790000,1.0,3,2,False,False,True,False
2018-01-04,25075.130859375,403280000,1.0,4,3,False,False,True,False
2018-01-05,25295.869140625,358020000,1.0,5,4,False,False,False,False
2018-01-08,25283.0,341390000,1.0,8,0,False,False,False,False
2018-01-09,25385.80078125,333490000,1.0,9,1,False,False,False,False
2018-01-10,25369.130859375,341470000,1.0,10,2,False,False,False,False
2018-01-11,25574.73046875,346830000,1.0,11,3,False,False,False,False
2018-01-12,25803.189453125,376390000,1.0,12,4,False,False,False,False
2018-01-16,25792.859375,606520000,1.0,16,1,False,False,False,False
2018-01-17,26115.650390625,522720000,1.0,17,2,False,False,False,False
2018-01-18,26017.810546875,492780000,1.0,18,3,False,False,False,False
2018-01-19,26071.720703125,585000000,1.0,19,4,False,False,False,False
2018-01-22,26214.599609375,431200000,1.0,22,0,False,False,False,False
2018-01-23,26210.810546875,433490000,1.0,23,1,False,False,False,False
2018-01-24,26252.119140625,518790000,1.0,24,2,False,False,False,False
2018-01-25,26392.7890625,401390000,1.0,25,3,False,False,False,False
2018-01-26,26616.7109375,477780000,1.0,26,4,False,False,False,False
2018-01-29,26439.48046875,421000000,1.0,29,0,False,True,False,False
