Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2018-09-04,25952.48046875,254600000,1.0,4,1,False,False,True,False
2018-09-05,25974.990234375,289210000,1.0,5,2,False,False,False,False
2018-09-06,25995.869140625,262380000,1.0,6,3,False,False,False,False
2018-09-07,25916.5390625,281350000,1.0,7,4,False,False,False,False
2018-09-10,25857.0703125,252170000,1.0,10,0,False,False,False,False
2018-09-11,25971.060546875,265960000,1.0,11,1,False,False,False,False
2018-09-12,25998.919921875,282770000,1.0,12,2,False,False,False,False
2018-09-13,26145.990234375,260800000,1.0,13,3,False,False,False,False
2018-09-14,26154.669921875,228640000,1.0,14,4,False,False,False,False
2018-09-17,26062.119140625,230230000,1.0,17,0,False,False,False,False
2018-09-18,26246.9609375,243000000,1.0,18,1,False,False,False,False
2018-09-19,26405.759765625,251330000,1.0,19,2,False,False,False,False
2018-09-20,26656.98046875,260480000,1.0,20,3,False,False,False,False
2018-09-21,26743.5,657620000,1.0,21,4,False,False,False,False
2018-09-24,26562.05078125,254850000,1.0,24,0,False,False,False,False
2018-09-25,26492.2109375,234110000,1.0,25,1,False,False,False,False
2018-09-26,26385.279296875,262620000,1.0,26,2,False,False,False,False
2018-09-27,26439.9296875,226350000,1.0,27,3,False,False,False,False
2018-09-28,26458.310546875,264030000,1.0,28,4,False,True,False,False
