Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2021-09-28,34299.98828125,379020000,1.0,28,1,False,True,False,False
2021-09-29,34390.71875,290350000,1.0,29,2,False,True,False,False
2021-09-30,33843.921875,354830000,1.0,30,3,False,True,False,False
2021-10-01,34326.4609375,427580000,1.0,1,4,False,False,True,False
2021-10-04,34002.921875,396860000,1.0,4,0,False,False,True,False
2021-10-05,34314.671875,311520000,1.0,5,1,False,False,False,False
2021-10-06,34416.98828125,322170000,1.0,6,2,False,False,False,False
2021-10-07,34754.94140625,273290000,1.0,7,3,False,False,False,False
2021-10-08,34746.25,238080000,1.0,8,4,False,False,False,False
2021-10-11,34496.05859375,256820000,1.0,11,0,False,False,False,True
2021-10-12,34378.33984375,319010000,1.0,12,1,False,False,False,False
2021-10-13,34377.80859375,316220000,1.0,13,2,False,False,False,False
2021-10-14,34912.55859375,338540000,1.0,14,3,False,False,False,False
2021-10-15,35294.76171875,327870000,1.0,15,4,False,False,False,False
2021-10-18,35258.609375,312640000,1.0,18,0,False,False,False,False
2021-10-19,35457.30859375,278510000,1.0,19,1,False,False,False,False
2021-10-20,35609.33984375,265750000,1.0,20,2,False,False,False,False
2021-10-21,35603.078125,298390000,1.0,21,3,False,False,False,False
2021-10-22,35677.01953125,346290000,1.0,22,4,False,False,False,False
2021-10-25,35741.1484375,267220000,1.0,25,0,False,False,False,False
2021-10-26,35756.87890625,321910000,1.0,26,1,False,False,False,False
2021-10-27,35490.69140625,354180000,1.0,27,2,False,False,False,False
