Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
1999-06-07,10909.3798828125,84220000,1.0,7,0,False,False,False,False
1999-06-08,10765.6396484375,80040000,1.0,8,1,False,False,False,False
1999-06-09,10690.2900390625,77250000,1.0,9,2,False,False,False,False
1999-06-10,10621.26953125,86330000,1.0,10,3,False,False,False,False
1999-06-11,10490.509765625,77530000,1.0,11,4,False,False,False,False
1999-06-14,10563.330078125,67040000,1.0,14,0,False,False,False,False
1999-06-15,10594.990234375,73190000,1.0,15,1,False,False,False,False
1999-06-16,10784.9501953125,86490000,1.0,16,2,False,False,False,False
1999-06-17,10841.6298828125,70150000,1.0,17,3,False,False,False,False
1999-06-18,10855.5595703125,111100000,1.0,18,4,False,False,False,False
1999-06-21,10815.98046875,74690000,1.0,21,0,False,False,False,False
1999-06-22,10721.6298828125,67370000,1.0,22,1,False,False,False,False
1999-06-23,10666.8603515625,68710000,1.0,23,2,False,False,False,False
1999-06-24,10534.830078125,78750000,1.0,24,3,False,False,False,False
1999-06-25,10552.5595703125,62020000,1.0,25,4,False,False,False,False
1999-06-28,10655.150390625,71640000,1.0,28,0,False,True,False,False
1999-06-29,10815.349609375,82390000,1.0,29,1,False,True,False,False
1999-06-30,10970.7998046875,125380000,1.0,30,2,False,True,False,False
1999-07-01,11066.419921875,100670000,1.0,1,3,False,False,True,False
1999-07-02,11139.240234375,65820000,1.0,2,4,False,False,True,False
1999-07-06,11135.1201171875,78110000,1.0,6,1,False,False,False,False
1999-07-07,11187.3603515625,81750000,1.0,7,2,False,False,False,False
1999-07-08,11126.8896484375,97370000,1.0,8,3,False,False,False,False
1999-07-09,11193.7001953125,88430000,1.0,9,4,False,False,False,False
1999-07-12,11200.98046875,75300000,1.0,12,0,False,False,False,False
1999-07-13,11175.01953125,80110000,1.0,13,1,False,False,False,False
1999-07-14,11148.099609375,72720000,1.0,14,2,False,False,False,False
1999-07-15,11186.41015625,83290000,1.0,15,3,False,False,False,False
1999-07-16,11209.83984375,80450000,1.0,16,4,False,False,False,False
1999-07-19,11187.6796875,79780000,1.0,19,0,False,False,False,False
1999-07-20,10996.1298828125,88320000,1.0,20,1,False,False,False,False
1999-07-21,11002.7802734375,85190000,1.0,21,2,False,False,False,False
1999-07-22,10969.2197265625,84310000,1.0,22,3,False,False,False,False
1999-07-23,10910.9599609375,64990000,1.0,23,4,False,False,False,False
1999-07-26,10863.16015625,69510000,1.0,26,0,False,False,False,False
1999-07-27,10979.0400390625,73550000,1.0,27,1,False,False,False,False
1999-07-28,10972.0703125,65370000,1.0,28,2,False,True,False,False
1999-07-29,10791.2900390625,74600000,1.0,29,3,False,True,False,False
1999-07-30,10655.150390625,82550000,1.0,30,4,False,True,False,False
1999-08-02,10645.9599609375,68670000,1.0,2,0,False,False,True,False
1999-08-03,10677.3095703125,76710000,1.0,3,1,False,False,True,False
1999-08-04,10674.76953125,88660000,1.0,4,2,False,False,True,False
