Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2020-02-03,28399.810546875,307910000,1.0,3,0,False,False,True,False
2020-02-04,28807.630859375,332750000,1.0,4,1,False,False,True,False
2020-02-05,29290.849609375,357540000,1.0,5,2,False,False,False,False
2020-02-06,29379.76953125,263700000,1.0,6,3,False,False,False,False
2020-02-07,29102.509765625,252860000,1.0,7,4,False,False,False,False
2020-02-10,29276.8203125,250510000,1.0,10,0,False,False,False,False
2020-02-11,29276.33984375,279540000,1.0,11,1,False,False,False,False
2020-02-12,29551.419921875,309530000,1.0,12,2,False,False,False,False
2020-02-13,29423.310546875,291150000,1.0,13,3,False,False,False,False
2020-02-14,29398.080078125,231000000,1.0,14,4,False,False,False,True
2020-02-18,29232.189453125,256600000,1.0,18,1,False,False,False,False
2020-02-19,29348.029296875,240640000,1.0,19,2,False,False,False,False
2020-02-20,29219.98046875,287780000,1.0,20,3,False,False,False,False
2020-02-21,28992.41015625,311210000,1.0,21,4,False,False,False,False
2020-02-24,27960.80078125,452580000,1.0,24,0,False,False,False,False
2020-02-25,27081.359375,513270000,1.0,25,1,False,False,False,False
2020-02-26,26957.58984375,472450000,1.0,26,2,False,False,False,False
2020-02-27,25766.640625,664980000,1.0,27,3,False,False,False,False
2020-02-28,25409.359375,915990000,1.0,28,4,False,True,False,False
