Date,^DJI_Close,^DJI_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2007-11-01,13567.8701171875,335560000,1.0,1,3,False,False,True,False
2007-11-02,13595.099609375,279780000,1.0,2,4,False,False,True,False
2007-11-05,13543.400390625,259590000,1.0,5,0,False,False,False,False
2007-11-06,13660.9404296875,252360000,1.0,6,1,False,False,False,False
2007-11-07,13300.01953125,273050000,1.0,7,2,False,False,False,False
2007-11-08,13266.2900390625,403680000,1.0,8,3,False,False,False,False
2007-11-09,13042.740234375,356840000,1.0,9,4,False,False,False,False
2007-11-12,12987.5498046875,291980000,1.0,12,0,False,False,False,False
2007-11-13,13307.08984375,298250000,1.0,13,1,False,False,False,False
2007-11-14,13231.009765625,267510000,1.0,14,2,False,False,False,False
2007-11-15,13110.0498046875,242570000,1.0,15,3,False,False,False,False
2007-11-16,13176.7900390625,314920000,1.0,16,4,False,False,False,False
2007-11-19,12958.4404296875,285790000,1.0,19,0,False,False,False,False
2007-11-20,13010.1396484375,325810000,1.0,20,1,False,False,False,False
2007-11-21,12799.0400390625,284550000,1.0,21,2,False,False,False,True
2007-11-23,12980.8798828125,122250000,1.0,23,4,False,False,False,False
2007-11-26,12743.4404296875,265610000,1.0,26,0,False,False,False,False
2007-11-27,12958.4404296875,296070000,1.0,27,1,False,False,False,False
2007-11-28,13289.4501953125,310080000,1.0,28,2,False,True,False,False
2007-11-29,13311.73046875,201410000,1.0,29,3,False,True,False,False
2007-11-30,13371.7197265625,312570000,1.0,30,4,False,True,False,False
2007-12-03,13314.5703125,212170000,1.0,3,0,False,False,True,False
2007-12-04,13248.73046875,204940000,1.0,4,1,False,False,True,False
2007-12-05,13444.9599609375,256800000,1.0,5,2,False,False,False,False
2007-12-06,13619.8896484375,197270000,1.0,6,3,False,False,False,False
2007-12-07,13625.580078125,179420000,1.0,7,4,False,False,False,False
2007-12-10,13727.0302734375,190220000,1.0,10,0,False,False,False,False
2007-12-11,13432.76953125,280630000,1.0,11,1,False,False,False,False
2007-12-12,13473.900390625,310470000,1.0,12,2,False,False,False,False
2007-12-13,13517.9599609375,248800000,1.0,13,3,False,False,False,False
2007-12-14,13339.849609375,245590000,1.0,14,4,False,False,False,False
2007-12-17,13167.2001953125,243400000,1.0,17,0,False,False,False,False
2007-12-18,13232.4697265625,233020000,1.0,18,1,False,False,False,False
2007-12-19,13207.26953125,208330000,1.0,19,2,False,False,False,False
2007-12-20,13245.6396484375,203910000,1.0,20,3,False,False,False,False
2007-12-21,13450.650390625,430600000,1.0,21,4,False,False,False,False
2007-12-24,13550.0400390625,86400000,1.0,24,0,False,False,False,True
2007-12-26,13551.6904296875,122410000,1.0,26,2,False,False,False,False
2007-12-27,13359.6103515625,145770000,1.0,27,3,False,False,False,False
2007-12-28,13365.8701171875,142930000,1.0,28,4,False,True,False,False
