,Ratio de Sharpe,beta
Anticor,-1.0109235644160957,0.986837042618576
BAH,-0.7598513020050077,0.9684915770090575
BCRP,0.4786468039690663,0.40944009880253124
BestMarkowitz,0.24459304981041663,1.0002546650728004
BestSoFar,0.06782642666045526,1.0456787004871273
BNN,-0.024736158745837636,1.1911170502815747
CORN,-0.7829423791066197,0.5491317191053448
CRP,-0.6662990362974919,1.0
CWMR,-1.7442931765376044,1.0021878547698468
DynamicCRP,-0.7427679164757457,0.8675894448155359
EG,-0.6683476098258982,0.998695820624089
OLMAR,-1.3860474846021296,1.027659584435557
ONS,-0.6784640424524516,1.0756269808927221
PAMR,-1.7809773799150903,1.0027901201041802
RMR,-1.3143152988906572,1.0403934119790514
