,Ratio de Sharpe,beta
Anticor,1.4930915246166057,0.9999999999999996
BAH,1.6460215529042659,1.0148894085605198
BCRP,4.7150015493881225,0.9920358955411931
BestMarkowitz,4.715001482833596,0.9920359917705117
BestSoFar,2.968496446801933,1.0391136900339972
BNN,0.44826316495537893,0.8845032653756285
CORN,3.279747652225699,0.9657569251074757
CRP,1.4930915246166057,0.9999999999999996
CWMR,1.671639853970994,1.0936758098973256
DynamicCRP,1.4930915246166057,0.9999999999999996
EG,1.5006740823355995,1.0007913294598212
OLMAR,1.180916393776872,1.095635465484677
ONS,0.5952340792389997,0.8934021745121475
PAMR,1.7037188914653405,1.0927369638773121
RMR,1.6948556191815667,1.109558798880459
