,Ratio de Sharpe,beta
Anticor,-0.8239624588046754,0.9999999999999996
BAH,-0.9499748594417341,0.9786128116181219
BCRP,2.341644697584923,0.9174334142895291
BestMarkowitz,2.341644690570947,0.9174334357706544
BestSoFar,-0.700313298386209,0.9496691678456661
BNN,-0.1204802200597949,0.8534631313365203
CORN,-2.766024900141051,1.170671544006965
CRP,-0.8239624588046754,0.9999999999999996
CWMR,-0.09364917644934326,1.6241011781903976
DynamicCRP,-0.8239624588046754,0.9999999999999996
EG,-0.8320675993398303,0.9988644184934437
OLMAR,-0.06096625338459671,1.2077245950694988
ONS,-0.13940917303411282,1.1758438826008182
PAMR,-0.08939887279555109,1.6309304574075874
RMR,1.2674514363422908,1.3985944336437075
