,Ratio de Sharpe,beta
Anticor,11.3185418810269,0.9999999999999996
BAH,11.295076284850458,1.0542239769574704
BCRP,9.804739374613163,3.0908406198981977
BestMarkowitz,9.804921000544478,3.09064442181199
BestSoFar,8.455112655937443,2.4487312798876855
BNN,7.299879834271171,1.0628880081206418
CORN,8.799302447737825,2.530592294373549
CRP,11.318541881026894,0.9999999999999997
CWMR,3.703200620869729,0.7831801230807266
DynamicCRP,11.3185418810269,0.9999999999999996
EG,11.55735187633672,1.0037834456636814
OLMAR,5.830497064474661,0.35627656865635093
ONS,5.4132067217779305,0.7942443419577901
PAMR,3.7660724800106897,0.7904326613422441
RMR,4.7981262032269365,0.37264684931924996
