,Ratio de Sharpe,beta
Anticor,1.5422041733866054,0.9999999999999998
BAH,1.5212506094350666,1.021974443301145
BCRP,4.309138244112483,1.8376170585344889
BestMarkowitz,4.30913846704161,1.8376168077440822
BestSoFar,2.146752536097098,1.7460726281136048
BNN,-1.0316726800078955,1.0555332511569449
CORN,2.5320396960783245,1.663577629572983
CRP,1.5422041733866054,0.9999999999999998
CWMR,3.664254462331871,1.0729696796470223
DynamicCRP,1.5422041733866054,0.9999999999999998
EG,1.5413695311501516,1.0010726805302477
OLMAR,2.275126842643705,0.8098217301316488
ONS,1.6298698441530104,0.8912345557551661
PAMR,3.6679089127212854,1.0727802912595823
RMR,2.084098567935053,0.7892548411729643
