,Ratio de Sharpe,beta
Anticor,-0.3956817049810369,1.0348100149561439
BAH,0.17158942989184228,1.0334761530332344
BCRP,1.6258323458662352,1.1687693301387116
BestMarkowitz,1.7480071833962678,1.3052584060944168
BestSoFar,-0.20622337892640424,1.4273602834047259
BNN,0.7697077236922768,1.4577095309568284
CORN,0.9935843177110492,1.4959678586970009
CRP,0.2143112654572546,0.9999999999999997
CWMR,1.1619815287165893,1.321710373689602
DynamicCRP,0.21431126545725682,0.9999999999999993
EG,0.21230381553612257,1.001517629135642
OLMAR,-0.28601484564733726,1.3380383265114266
ONS,0.8188773421618363,0.9009879744409072
PAMR,1.1448043075411987,1.3219791479158187
RMR,-0.62643341751717,1.3736011631194307
