,Ratio de Sharpe,beta
Anticor,1.4628071572961783,0.9999999999999998
BAH,1.318716987235961,0.9943233700097733
BCRP,7.393701813521926,1.5797139524717745
BestMarkowitz,8.19578811739065,1.5095855161103353
BestSoFar,-5.708739949444795,0.9618141769380808
BNN,-1.7725936895929952,1.0408699065093692
CORN,-4.640119692382818,1.402526921081781
CRP,1.4628071572961783,0.9999999999999998
CWMR,6.967576819540931,2.333118149589669
DynamicCRP,1.4628071572961783,0.9999999999999998
EG,1.4556899303904058,0.9997153813087637
OLMAR,-0.38561014104833224,1.2077263741642996
ONS,3.1442314723861755,1.155565142104968
PAMR,6.980436053318327,2.3453576492436117
RMR,2.302917132155882,1.0534533240880597
