,Ratio de Sharpe,beta
Anticor,-1.4715641235580956,0.9999999999999993
BAH,-1.2861356063612914,1.029508036591165
BCRP,5.5100640792364235,2.646727504497174
BestMarkowitz,6.078701615935973,2.455852612302176
BestSoFar,-0.6555546104238843,1.4843688486266717
BNN,-0.30862020335113993,2.041548379789895
CORN,-2.767437945516449,1.6890826706773288
CRP,-1.4715641235580956,0.9999999999999993
CWMR,-1.4039778884167438,0.7236073791306572
DynamicCRP,-1.4715641235580956,0.9999999999999993
EG,-1.4622071708041575,1.0014597422001037
OLMAR,-0.05300389444174274,0.7835146746311721
ONS,-3.326103692899132,0.5882020501871497
PAMR,-1.450837623156407,0.7177141477756757
RMR,-2.6556357245419537,0.5835090264557212
