,Ratio de Sharpe,beta
Anticor,5.709776050248041,1.0
BAH,5.788128125759513,0.9967359807503152
BCRP,8.007482745570554,0.4417531432416913
BestMarkowitz,8.007484765199942,0.44175353242988713
BestSoFar,-0.28703563397170045,-0.09003727361693227
BNN,7.347613192227385,0.7275633189166246
CORN,4.3634558086724455,0.7363745534138605
CRP,5.709776050248046,1.0000000000000024
CWMR,1.761549959483266,1.1375502893247251
DynamicCRP,5.709776050248041,1.0
EG,5.713814797906759,0.9998403396652871
OLMAR,2.8623863408147256,0.7233033429529692
ONS,3.608341340688736,1.0463953228988547
PAMR,1.771637460220245,1.136363660132804
RMR,2.8812787328868334,0.7233981458814882
