,Ratio de Sharpe,beta
Anticor,1.7449865335813364,1.199627166627559
BAH,1.42032657185857,1.0208949986687514
BCRP,2.520132651312759,1.4443283617325569
BestMarkowitz,2.636871414890024,1.3787128315446107
BestSoFar,1.917940559414939,1.4238165141850176
BNN,1.570224986954632,1.1311561464579531
CORN,1.7069806577481856,1.2034456231242618
CRP,1.3728335828748963,1.0
CWMR,1.1250160233732531,1.3544823927321854
DynamicCRP,1.3728335828748968,0.9999999999999998
EG,1.3753521890793357,1.0007083729733222
OLMAR,1.0474537920386475,1.2749294640020963
ONS,1.5558783961080356,1.0715391531349594
PAMR,1.1541212359797501,1.355931315178144
RMR,1.2686303603159408,1.3065146436134796
