,Ratio de Sharpe,beta
Anticor,-0.27346555839303965,1.0000000000000002
BAH,-0.06080240126738971,0.987285853313238
BCRP,5.972412275429147,1.3109785985900688
BestMarkowitz,5.9724122652886455,1.3109785919889905
BestSoFar,3.0402241443617544,1.205149212879015
BNN,0.28584947253142245,0.9735769708071963
CORN,-3.9497588072432714,1.2451795357005655
CRP,-0.27346555839303965,1.0000000000000002
CWMR,-0.6200044392045263,1.5854721777233503
DynamicCRP,-0.27346555839303965,1.0000000000000002
EG,-0.26225568377441927,0.99931004732665
OLMAR,-0.41349322169069974,1.7500414144938963
ONS,-2.2238303017539907,1.356138900597449
PAMR,-0.6247292573244738,1.5940552363920106
RMR,0.5323428619640999,1.616371662097702
