,Ratio de Sharpe,beta
Anticor,-2.364689626656816,0.9999999999999996
BAH,-2.421076477500577,1.0006402598932196
BCRP,4.148892344899118,0.510355344744393
BestMarkowitz,5.036014696991904,0.6589917996045839
BestSoFar,-7.114561639599991,0.686796375128856
BNN,-1.7004740017489888,0.9915119550051247
CORN,-5.430685002554838,1.405272237375095
CRP,-2.3646896266568214,0.9999999999999996
CWMR,-4.377977113027859,1.412522105793621
DynamicCRP,-2.364689626656816,0.9999999999999996
EG,-2.3674305639913897,1.0000713919406308
OLMAR,-4.285591747970881,1.0281834919283381
ONS,-1.3943059054662916,0.9437016604118681
PAMR,-4.374579196668715,1.4181017291300853
RMR,-5.622588362569015,1.8234906748651492
